Puzzle solver summary
  playable only: True
  won: False
  accepted near win: False
  need attempt: 0
  candidate index: -1
  candidates evaluated in winning attempt: 0
  ticks per candidate: 0
  win duration ticks: 3
  required alive ticks at end: 0
  final sustained ticks: 0
  stable at end: False
  glowing cells: 0/189
  swaps: 0
  reactions: 0
  active cells in last window: 0
  touching pairs: 326
  strain penalty: -0
  final score: 0

Cells
  cell-r28: produces R28; needs R60, R125, R170
  cell-r170: produces R170; needs R60, R28, R125
  cell-r125: produces R125; needs R170, R94, R83
  cell-r94: produces R94; needs R140, R83, R125
  cell-r83: produces R83; needs R132, R94, R140
  cell-r140: produces R140; needs R79, R83, R132
  cell-r132: produces R132; needs R140, R79, R167
  cell-r79: produces R79; needs R76, R132, R167
  cell-r167: produces R167; needs R117, R79, R76
  cell-r76: produces R76; needs R39, R117, R167
  cell-r117: produces R117; needs R39, R76, R128
  cell-r39: produces R39; needs R117, R181, R128
  cell-r128: produces R128; needs R173, R181, R39
  cell-r181: produces R181; needs R173, R63, R128
  cell-r173: produces R173; needs R63, R66, R181
  cell-r63: produces R63; needs R173, R66, R44
  cell-r66: produces R66; needs R44, X, R63
  cell-r44: produces R44; needs R73, X, R66
  cell-x: produces X; needs I, R44, R73
  cell-r73: produces R73; needs R68, I, X
  cell-i: produces I; needs R73, R68, R178
  cell-r68: produces R68; needs R178, R71, I
  cell-r178: produces R178; needs R71, R185, R68
  cell-r71: produces R71; needs R178, R185, G
  cell-r185: produces R185; needs G, R71, R57
  cell-g: produces G; needs R111, R185, R57
  cell-r57: produces R57; needs R43, G, R111
  cell-r111: produces R111; needs R32, R43, R57
  cell-r43: produces R43; needs R74, R32, R111
  cell-r32: produces R32; needs R175, R74, R43
  cell-r74: produces R74; needs R32, R175, R52
  cell-r175: produces R175; needs R74, R41, R52
  cell-r52: produces R52; needs R175, R108, R41
  cell-r41: produces R41; needs R108, D, R52
  cell-r108: produces R108; needs R41, R37, D
  cell-d: produces D; needs R108, R37, R78
  cell-r37: produces R37; needs R78, R89, D
  cell-r78: produces R78; needs R89, R115, R37
  cell-r89: produces R89; needs R115, M, R78
  cell-r115: produces R115; needs R129, R89, M
  cell-m: produces M; needs R129, R98, R115
  cell-r129: produces R129; needs R98, M, P
  cell-r98: produces R98; needs R129, P, R40
  cell-p: produces P; needs R40, R51, R98
  cell-r40: produces R40; needs R51, R92, P
  cell-r51: produces R51; needs R40, R187, R92
  cell-r92: produces R92; needs R187, R169, R51
  cell-r187: produces R187; needs R169, R92, R65
  cell-r169: produces R169; needs R65, W, R187
  cell-r65: produces R65; needs R169, W, R99
  cell-w: produces W; needs R99, R155, R65
  cell-r99: produces R99; needs R155, R48, W
  cell-r155: produces R155; needs R48, R35, R99
  cell-r48: produces R48; needs R35, R155, H
  cell-r35: produces R35; needs H, R48, R85
  cell-h: produces H; needs R35, R142, R85
  cell-r85: produces R85; needs H, R142, R124
  cell-r142: produces R142; needs R85, S, R124
  cell-r124: produces R124; needs S, R142, Z
  cell-s: produces S; needs Z, R46, R124
  cell-z: produces Z; needs S, R106, R46
  cell-r46: produces R46; needs R106, R64, Z
  cell-r106: produces R106; needs N, R64, R46
  cell-r64: produces R64; needs R106, R145, N
  cell-n: produces N; needs R103, R64, R145
  cell-r145: produces R145; needs R139, R103, N
  cell-r103: produces R103; needs R107, R145, R139
  cell-r139: produces R139; needs R149, R107, R103
  cell-r107: produces R107; needs R102, R149, R139
  cell-r149: produces R149; needs R107, R102, K
  cell-r102: produces R102; needs K, R179, R149
  cell-k: produces K; needs R179, R165, R102
