candidate,won,first_win_tick,best_10_tick_flow,best_10_tick_swaps,total_swaps,total_reactions,sustained_ticks,active_cells,glowing_cells,final_score,connected_cells,layout_score,diagnostics
0,false,-1,10.00,100,5489,1617,0,14,2,-14521,14,1281042,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-e-001,cell-g-001,cell-h-001,cell-i-001,cell-i-002,cell-i-003,cell-j-001,red-myco-001,red-myco-002;missingResources=E;strong=[cell-a-001,cell-d-001,cell-f-001,cell-i-003]|[cell-c-001,cell-h-001,cell-j-001]|[cell-b-001,cell-i-002]|[cell-e-001]|[cell-g-001]|[cell-i-001]|[red-myco-001]|[red-myco-002];weak=[cell-a-001,cell-d-001,cell-f-001,cell-i-003]|[cell-c-001,cell-h-001,cell-j-001]|[cell-b-001,cell-i-002]|[cell-e-001]|[cell-g-001]|[cell-i-001]|[red-myco-001]|[red-myco-002]"
1,false,-1,12.70,127,5787,1024,0,14,3,-21622,14,1521860,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,cell-i-001,cell-i-003,cell-j-001;missingResources=C,E,J;strong=[cell-b-001,cell-d-001,cell-g-001,cell-i-002,red-myco-002]|[cell-a-001,cell-f-001,cell-i-003,red-myco-001]|[cell-c-001]|[cell-e-001]|[cell-h-001]|[cell-i-001]|[cell-j-001];weak=[cell-b-001,cell-d-001,cell-g-001,cell-i-002,red-myco-002]|[cell-a-001,cell-f-001,cell-i-003,red-myco-001]|[cell-c-001]|[cell-e-001]|[cell-h-001]|[cell-i-001]|[cell-j-001]"
2,false,-1,13.40,134,10102,3881,0,14,6,13574,14,1531448,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-d-001,cell-e-001,cell-g-001,cell-i-002,cell-i-003,red-myco-001;missingResources=none;strong=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,cell-i-001,cell-i-002,cell-i-003,cell-j-001,red-myco-002]|[red-myco-001];weak=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,cell-i-001,cell-i-002,cell-i-003,cell-j-001,red-myco-002]|[red-myco-001]"
3,false,-1,13.40,134,8956,3873,0,14,5,13495,14,1514859,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-d-001,cell-e-001,cell-g-001,cell-i-002,cell-i-003,red-myco-001,red-myco-002;missingResources=none;strong=[cell-a-001,cell-b-001,cell-d-001,cell-f-001,cell-i-001,cell-i-002,cell-i-003]|[cell-c-001,cell-e-001,cell-g-001,cell-h-001,cell-j-001]|[red-myco-001]|[red-myco-002];weak=[cell-a-001,cell-b-001,cell-d-001,cell-f-001,cell-i-001,cell-i-002,cell-i-003]|[cell-c-001,cell-e-001,cell-g-001,cell-h-001,cell-j-001]|[red-myco-001]|[red-myco-002]"
4,false,-1,11.90,119,5051,1137,0,14,1,-19365,14,1417980,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-g-001,cell-h-001,cell-i-001,cell-i-002,cell-i-003,cell-j-001,red-myco-001,red-myco-002;missingResources=E,H;strong=[cell-a-001,cell-d-001,cell-f-001,cell-i-001]|[cell-b-001,cell-i-002]|[cell-c-001,cell-h-001]|[cell-e-001]|[cell-g-001]|[cell-i-003]|[cell-j-001]|[red-myco-001]|[red-myco-002];weak=[cell-a-001,cell-d-001,cell-f-001,cell-i-001]|[cell-b-001,cell-i-002]|[cell-c-001,cell-h-001]|[cell-e-001]|[cell-g-001]|[cell-i-003]|[cell-j-001]|[red-myco-001]|[red-myco-002]"
5,false,-1,13.40,134,8667,3561,0,14,6,9745,14,1373510,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-e-001,cell-g-001,cell-i-001,cell-i-003,red-myco-002;missingResources=none;strong=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,cell-i-002,cell-i-003,cell-j-001,red-myco-001]|[cell-i-001]|[red-myco-002];weak=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,cell-i-002,cell-i-003,cell-j-001,red-myco-001]|[cell-i-001]|[red-myco-002]"
6,false,-1,16.10,161,13660,6271,0,14,9,43406,14,1693048,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-d-001,cell-g-001,cell-h-001,cell-i-003;missingResources=none;strong=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,cell-i-001,cell-i-002,cell-i-003,cell-j-001,red-myco-001,red-myco-002];weak=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,cell-i-001,cell-i-002,cell-i-003,cell-j-001,red-myco-001,red-myco-002]"
7,false,-1,12.20,122,10759,3862,0,14,7,13362,14,1480595,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-d-001,cell-e-001,cell-g-001,cell-i-002,cell-i-003;missingResources=none;strong=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,cell-i-001,cell-i-002,cell-i-003,cell-j-001,red-myco-001,red-myco-002];weak=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,cell-i-001,cell-i-002,cell-i-003,cell-j-001,red-myco-001,red-myco-002]"
8,false,-1,13.40,134,9668,4002,0,14,6,15045,14,1446534,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-e-001,cell-g-001,cell-i-001,cell-i-002,cell-i-003,red-myco-001;missingResources=none;strong=[cell-b-001,cell-c-001,cell-e-001,cell-g-001,cell-h-001,cell-i-002,cell-j-001,red-myco-002]|[cell-a-001,cell-d-001,cell-f-001,cell-i-001]|[cell-i-003]|[red-myco-001];weak=[cell-b-001,cell-c-001,cell-e-001,cell-g-001,cell-h-001,cell-i-002,cell-j-001,red-myco-002]|[cell-a-001,cell-d-001,cell-f-001,cell-i-001]|[cell-i-003]|[red-myco-001]"
9,false,-1,13.00,130,5805,1019,0,14,3,-22570,14,1521747,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,cell-i-001,cell-i-003,cell-j-001;missingResources=C,E,J;strong=[cell-b-001,cell-d-001,cell-g-001,cell-i-002,red-myco-002]|[cell-a-001,cell-f-001,cell-i-003,red-myco-001]|[cell-c-001]|[cell-e-001]|[cell-h-001]|[cell-i-001]|[cell-j-001];weak=[cell-b-001,cell-d-001,cell-g-001,cell-i-002,red-myco-002]|[cell-a-001,cell-f-001,cell-i-003,red-myco-001]|[cell-c-001]|[cell-e-001]|[cell-h-001]|[cell-i-001]|[cell-j-001]"
10,false,-1,9.70,97,5387,1065,0,13,1,-22037,14,1307742,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,cell-i-001,cell-i-003,cell-j-001,red-myco-001,red-myco-002;missingResources=C,F,H;strong=[cell-b-001,cell-d-001,cell-e-001,cell-g-001,cell-i-002,cell-j-001]|[cell-a-001,cell-f-001]|[cell-c-001]|[cell-h-001]|[cell-i-001]|[cell-i-003]|[red-myco-001]|[red-myco-002];weak=[cell-b-001,cell-d-001,cell-e-001,cell-g-001,cell-i-002,cell-j-001]|[cell-a-001,cell-f-001]|[cell-c-001]|[cell-h-001]|[cell-i-001]|[cell-i-003]|[red-myco-001]|[red-myco-002]"
