Puzzle solver summary
  playable only: True
  won: False
  accepted near win: False
  need attempt: 0
  candidate index: -1
  candidates evaluated in winning attempt: 0
  ticks per candidate: 0
  win duration ticks: 3
  required alive ticks at end: 0
  final sustained ticks: 0
  stable at end: False
  glowing cells: 0/146
  swaps: 0
  reactions: 0
  active cells in last window: 0
  touching pairs: 217
  strain penalty: -0
  final score: 0

Cells
  cell-s-001: produces S; needs Y, M, Z
  cell-m-001: produces M; needs S, Z, Y
  cell-z-001: produces Z; needs M, J, S
  cell-j-001: produces J; needs Z, B, M
  cell-b-001: produces B; needs J, G, Z
  red-myco-001: red myco; needs G, Q, P, H
  cell-p-001: produces P; needs H, L, B
  cell-l-001: produces L; needs P, G, C
  cell-g-001: produces G; needs L, C, P
  cell-c-001: produces C; needs G, U, L
  cell-u-001: produces U; needs C, B, G
  red-myco-002: red myco; needs B, J, T, D
  cell-t-001: produces T; needs J, B, U
  cell-b-002: produces B; needs T, A, V
  cell-a-001: produces A; needs B, V, T
  cell-v-001: produces V; needs A, W, B
  cell-w-001: produces W; needs V, A, U
  red-myco-003: red myco; needs E, C, A, V
  cell-u-002: produces U; needs A, N, W
  cell-n-001: produces N; needs U, G, V
  cell-g-002: produces G; needs N, L, U
  cell-l-002: produces L; needs G, N, O
  cell-l-003: produces L; needs J, G, V
  red-myco-004: red myco; needs Q, J, F, O
  cell-v-002: produces V; needs J, E, L
  cell-e-001: produces E; needs V, G, F
  cell-g-003: produces G; needs E, V, B
  cell-v-003: produces V; needs G, B, E
  cell-b-003: produces B; needs V, Y, G
  red-myco-005: red myco; needs Q, K, Z, Y
  cell-h-001: produces H; needs Z, K, B
  cell-k-001: produces K; needs H, L, Y
  cell-l-004: produces L; needs K, Z, H
  cell-z-002: produces Z; needs L, Q, K
  cell-q-001: produces Q; needs Z, K, L
  red-myco-006: red myco; needs G, W, Q, K
  cell-d-001: produces D; needs K, A, Q
  cell-a-002: produces A; needs D, G, K
  cell-g-004: produces G; needs A, E, D
  cell-e-002: produces E; needs G, A, X
  cell-a-003: produces A; needs E, X, G
  red-myco-007: red myco; needs X, A, K, G
  cell-g-005: produces G; needs A, K, X
  cell-k-002: produces K; needs G, A, F
  cell-k-003: produces K; needs F, G, J
  cell-f-001: produces F; needs K, J, H
  cell-j-002: produces J; needs F, G, K
  red-myco-008: red myco; needs Q, H, C, G
  cell-b-004: produces B; needs C, Z, J
  cell-z-003: produces Z; needs B, G, N
  cell-b-005: produces B; needs Z, X, L
