Puzzle solver summary
  playable only: True
  won: False
  accepted near win: False
  need attempt: 0
  candidate index: -1
  candidates evaluated in winning attempt: 0
  ticks per candidate: 0
  win duration ticks: 3
  required alive ticks at end: 0
  final sustained ticks: 0
  stable at end: False
  glowing cells: 0/206
  swaps: 0
  reactions: 0
  active cells in last window: 0
  touching pairs: 307
  strain penalty: -0
  final score: 0

Cells
  cell-a-001: produces A; needs E, G, F
  cell-g-001: produces G; needs A, R, E
  cell-r-001: produces R; needs G, F, A
  cell-f-001: produces F; needs R, C, G
  cell-c-001: produces C; needs F, U, R
  red-myco-001: red myco; needs W, H, U, X
  cell-g-002: produces G; needs H, T, C
  cell-t-001: produces T; needs G, A, H
  cell-a-002: produces A; needs T, G, E
  cell-g-003: produces G; needs A, E, T
  cell-e-001: produces E; needs G, Y, A
  red-myco-002: red myco; needs L, Y, V, Z
  cell-o-001: produces O; needs Y, X, E
  cell-x-001: produces X; needs O, Y, A
  cell-x-002: produces X; needs A, O, V
  cell-a-003: produces A; needs X, V, O
  cell-v-001: produces V; needs A, O, X
  red-myco-003: red myco; needs J, E, O, L
  cell-d-001: produces D; needs L, E, V
  cell-e-002: produces E; needs D, P, L
  cell-p-001: produces P; needs E, B, D
  cell-b-001: produces B; needs P, T, E
  cell-t-002: produces T; needs B, V, P
  red-myco-004: red myco; needs F, U, M, V
  cell-p-002: produces P; needs M, J, T
  cell-j-001: produces J; needs P, R, V
  cell-r-002: produces R; needs J, H, P
  cell-h-001: produces H; needs R, W, J
  cell-w-001: produces W; needs H, N, R
  red-myco-005: red myco; needs O, P, N, H
  cell-y-001: produces Y; needs H, W, Z
  cell-y-002: produces Y; needs Z, P, O
  cell-z-001: produces Z; needs Y, S, T
  cell-z-002: produces Z; needs S, Y, D
  cell-s-001: produces S; needs Z, D, H
  red-myco-006: red myco; needs Q, K, D, O
  cell-h-002: produces H; needs Q, U, S
  cell-u-001: produces U; needs H, N, K
  cell-n-001: produces N; needs U, Z, H
  cell-z-003: produces Z; needs N, U, B
  cell-n-002: produces N; needs Z, U, E
  red-myco-007: red myco; needs W, N, U, A
  cell-u-002: produces U; needs N, Q, K
  cell-q-001: produces Q; needs U, K, B
  cell-k-001: produces K; needs Q, B, U
  cell-b-002: produces B; needs K, S, Q
  cell-s-002: produces S; needs B, E, K
  red-myco-008: red myco; needs E, H, L, Z
  cell-a-004: produces A; needs H, I, S
  cell-i-001: produces I; needs A, E, U
  cell-a-005: produces A; needs I, U, L
  cell-u-003: produces U; needs A, L, I
  cell-l-001: produces L; needs U, R, A
  red-myco-009: red myco; needs M, R, A, C
  cell-p-003: produces P; needs R, X, L
  cell-x-003: produces X; needs P, Z, C
  cell-z-004: produces Z; needs X, K, P
  cell-k-002: produces K; needs Z, G, X
  cell-g-004: produces G; needs K, R, Z
  red-myco-010: red myco; needs R, Y, D, S
  cell-e-003: produces E; needs D, Q, G
  cell-q-002: produces Q; needs E, Y, S
  cell-y-003: produces Y; needs Q, J, E
  cell-j-002: produces J; needs Y, A, Q
  cell-a-006: produces A; needs J, D, Y
  red-myco-011: red myco; needs D, Q, P, O
  cell-v-002: produces V; needs O, F, A
  cell-f-002: produces F; needs V, P, O
  cell-v-003: produces V; needs F, O, Y
  cell-o-002: produces O; needs V, Y, F
  cell-y-004: produces Y; needs O, V, J
  red-myco-012: red myco; needs Q, O, I, V
  cell-j-003: produces J; needs V, U, Y
  cell-u-004: produces U; needs J, L, Q
  cell-l-002: produces L; needs U, J, A
  cell-j-004: produces J; needs L, A, U
  cell-a-007: produces A; needs J, U, L
  red-myco-013: red myco; needs V, C, P, U
  cell-g-005: produces G; needs U, A, R
  cell-g-006: produces G; needs R, P, J
