candidate,won,first_win_tick,best_10_tick_flow,best_10_tick_swaps,total_swaps,total_reactions,sustained_ticks,active_cells,glowing_cells,final_score,connected_cells,layout_score,diagnostics
0,false,-1,16.10,161,2849,859,0,24,9,-8982,28,2252306,"alive=False;won=False;sustained=0;nonGlowing=cell-b-001,cell-c-001,cell-c-002,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,cell-i-001,cell-i-002,cell-j-001,cell-k-001,cell-l-001,cell-m-001,cell-n-001,cell-o-001,cell-q-001,cell-r-001,cell-t-001;missingResources=C,F,K,M,Q,T;strong=[cell-h-002,cell-j-002,cell-o-001,cell-r-001,red-myco-002,red-myco-003,red-myco-004]|[cell-a-001,cell-i-001,cell-l-001,cell-p-001,red-myco-001]|[cell-e-001,cell-i-002,cell-n-001,cell-s-001]|[cell-b-001,cell-k-001]|[cell-c-001]|[cell-c-002]|[cell-d-001]|[cell-f-001]|[cell-g-001]|[cell-h-001]|[cell-j-001]|[cell-m-001]|[cell-q-001]|[cell-t-001];weak=[cell-h-002,cell-j-002,cell-o-001,cell-r-001,red-myco-002,red-myco-003,red-myco-004]|[cell-a-001,cell-i-001,cell-l-001,cell-p-001,red-myco-001]|[cell-e-001,cell-i-002,cell-n-001,cell-s-001]|[cell-b-001,cell-k-001]|[cell-c-001]|[cell-c-002]|[cell-d-001]|[cell-f-001]|[cell-g-001]|[cell-h-001]|[cell-j-001]|[cell-m-001]|[cell-q-001]|[cell-t-001]"
1,false,-1,14.90,149,3078,942,0,24,9,-8235,28,2065713,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-c-002,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,cell-i-001,cell-i-002,cell-j-001,cell-l-001,cell-m-001,cell-n-001,cell-p-001,cell-q-001,cell-r-001,cell-t-001;missingResources=A,C,M,P,Q,T;strong=[cell-f-001,cell-h-002,cell-j-002,cell-o-001,cell-r-001,red-myco-002,red-myco-003,red-myco-004]|[cell-b-001,cell-g-001,cell-j-001,cell-k-001]|[cell-e-001,cell-i-002,cell-n-001,cell-s-001]|[cell-a-001,cell-l-001,red-myco-001]|[cell-c-001]|[cell-c-002]|[cell-d-001]|[cell-h-001]|[cell-i-001]|[cell-m-001]|[cell-p-001]|[cell-q-001]|[cell-t-001];weak=[cell-f-001,cell-h-002,cell-j-002,cell-o-001,cell-r-001,red-myco-002,red-myco-003,red-myco-004]|[cell-b-001,cell-g-001,cell-j-001,cell-k-001]|[cell-e-001,cell-i-002,cell-n-001,cell-s-001]|[cell-a-001,cell-l-001,red-myco-001]|[cell-c-001]|[cell-c-002]|[cell-d-001]|[cell-h-001]|[cell-i-001]|[cell-m-001]|[cell-p-001]|[cell-q-001]|[cell-t-001]"
2,false,-1,20.30,203,4025,1447,0,25,12,-502,28,2303245,"alive=False;won=False;sustained=0;nonGlowing=cell-b-001,cell-c-002,cell-d-001,cell-f-001,cell-h-001,cell-h-002,cell-i-002,cell-j-001,cell-j-002,cell-k-001,cell-l-001,cell-m-001,cell-n-001,cell-q-001,cell-r-001,cell-t-001;missingResources=K,M;strong=[cell-a-001,cell-i-001,cell-l-001,cell-p-001,cell-q-001,red-myco-001]|[cell-b-001,cell-e-001,cell-g-001,cell-i-002,cell-n-001,cell-s-001]|[cell-c-001,cell-c-002,cell-d-001,cell-h-001,cell-t-001]|[cell-f-001,cell-h-002,cell-j-002,cell-o-001]|[cell-r-001,red-myco-002,red-myco-003,red-myco-004]|[cell-j-001]|[cell-k-001]|[cell-m-001];weak=[cell-a-001,cell-i-001,cell-l-001,cell-p-001,cell-q-001,red-myco-001]|[cell-b-001,cell-e-001,cell-g-001,cell-i-002,cell-n-001,cell-s-001]|[cell-c-001,cell-c-002,cell-d-001,cell-h-001,cell-t-001]|[cell-f-001,cell-h-002,cell-j-002,cell-o-001]|[cell-r-001,red-myco-002,red-myco-003,red-myco-004]|[cell-j-001]|[cell-k-001]|[cell-m-001]"
3,false,-1,14.50,145,2787,706,0,21,8,-12000,28,2031303,"alive=False;won=False;sustained=0;nonGlowing=cell-b-001,cell-c-001,cell-c-002,cell-d-001,cell-f-001,cell-g-001,cell-h-001,cell-h-002,cell-i-001,cell-i-002,cell-j-001,cell-j-002,cell-k-001,cell-l-001,cell-m-001,cell-n-001,cell-q-001,cell-r-001,cell-s-001,cell-t-001;missingResources=C,K,M,N,Q,T;strong=[cell-a-001,cell-i-001,cell-l-001,cell-p-001,red-myco-001]|[cell-b-001,cell-e-001,cell-g-001,cell-i-002,cell-s-001]|[cell-f-001,cell-h-002,cell-j-002,cell-o-001]|[cell-r-001,red-myco-002,red-myco-003,red-myco-004]|[cell-c-001]|[cell-c-002]|[cell-d-001]|[cell-h-001]|[cell-j-001]|[cell-k-001]|[cell-m-001]|[cell-n-001]|[cell-q-001]|[cell-t-001];weak=[cell-a-001,cell-i-001,cell-l-001,cell-p-001,red-myco-001]|[cell-b-001,cell-e-001,cell-g-001,cell-i-002,cell-s-001]|[cell-f-001,cell-h-002,cell-j-002,cell-o-001]|[cell-r-001,red-myco-002,red-myco-003,red-myco-004]|[cell-c-001]|[cell-c-002]|[cell-d-001]|[cell-h-001]|[cell-j-001]|[cell-k-001]|[cell-m-001]|[cell-n-001]|[cell-q-001]|[cell-t-001]"
4,false,-1,13.50,135,2526,830,0,21,9,-11200,28,1835704,"alive=False;won=False;sustained=0;nonGlowing=cell-b-001,cell-c-001,cell-c-002,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,cell-i-002,cell-j-001,cell-k-001,cell-l-001,cell-m-001,cell-n-001,cell-o-001,cell-q-001,cell-r-001,cell-s-001,cell-t-001;missingResources=C,F,G,K,M,N,T;strong=[cell-h-002,cell-j-002,cell-o-001,cell-r-001,red-myco-002,red-myco-003,red-myco-004]|[cell-a-001,cell-i-001,cell-l-001,cell-p-001,cell-q-001,red-myco-001]|[cell-e-001,cell-s-001]|[cell-b-001]|[cell-c-001]|[cell-c-002]|[cell-d-001]|[cell-f-001]|[cell-g-001]|[cell-h-001]|[cell-i-002]|[cell-j-001]|[cell-k-001]|[cell-m-001]|[cell-n-001]|[cell-t-001];weak=[cell-h-002,cell-j-002,cell-o-001,cell-r-001,red-myco-002,red-myco-003,red-myco-004]|[cell-a-001,cell-i-001,cell-l-001,cell-p-001,cell-q-001,red-myco-001]|[cell-e-001,cell-s-001]|[cell-b-001]|[cell-c-001]|[cell-c-002]|[cell-d-001]|[cell-f-001]|[cell-g-001]|[cell-h-001]|[cell-i-002]|[cell-j-001]|[cell-k-001]|[cell-m-001]|[cell-n-001]|[cell-t-001]"
5,false,-1,15.00,150,2848,847,0,24,7,-9138,28,2138215,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-002,cell-d-001,cell-f-001,cell-g-001,cell-h-001,cell-h-002,cell-i-002,cell-j-001,cell-j-002,cell-k-001,cell-l-001,cell-m-001,cell-n-001,cell-o-001,cell-p-001,cell-q-001,cell-r-001,cell-t-001,red-myco-003;missingResources=F,K,L,M,R;strong=[cell-e-001,cell-g-001,cell-i-002,cell-n-001,cell-s-001]|[cell-a-001,cell-i-001,cell-p-001,cell-q-001]|[cell-c-001,cell-d-001,cell-h-001,cell-t-001]|[cell-h-002,cell-j-002,cell-o-001]|[red-myco-001,red-myco-002,red-myco-004]|[cell-b-001]|[cell-c-002]|[cell-f-001]|[cell-j-001]|[cell-k-001]|[cell-l-001]|[cell-m-001]|[cell-r-001]|[red-myco-003];weak=[cell-e-001,cell-g-001,cell-i-002,cell-n-001,cell-s-001]|[cell-a-001,cell-i-001,cell-p-001,cell-q-001]|[cell-c-001,cell-d-001,cell-h-001,cell-t-001]|[cell-h-002,cell-j-002,cell-o-001]|[red-myco-001,red-myco-002,red-myco-004]|[cell-b-001]|[cell-c-002]|[cell-f-001]|[cell-j-001]|[cell-k-001]|[cell-l-001]|[cell-m-001]|[cell-r-001]|[red-myco-003]"
6,false,-1,19.90,199,4178,1451,0,27,12,-7,28,2353000,"alive=False;won=False;sustained=0;nonGlowing=cell-b-001,cell-c-001,cell-c-002,cell-d-001,cell-f-001,cell-g-001,cell-h-001,cell-i-002,cell-j-002,cell-k-001,cell-l-001,cell-m-001,cell-o-001,cell-q-001,cell-r-001,cell-t-001;missingResources=none;strong=[cell-a-001,cell-i-001,cell-l-001,cell-p-001,cell-q-001,red-myco-001,red-myco-002,red-myco-004]|[cell-e-001,cell-f-001,cell-g-001,cell-i-002,cell-n-001,cell-s-001]|[cell-h-002,cell-j-002,cell-o-001,cell-r-001,red-myco-003]|[cell-b-001,cell-j-001,cell-k-001,cell-m-001]|[cell-c-001,cell-d-001,cell-t-001]|[cell-c-002]|[cell-h-001];weak=[cell-a-001,cell-i-001,cell-l-001,cell-p-001,cell-q-001,red-myco-001,red-myco-002,red-myco-004]|[cell-e-001,cell-f-001,cell-g-001,cell-i-002,cell-n-001,cell-s-001]|[cell-h-002,cell-j-002,cell-o-001,cell-r-001,red-myco-003]|[cell-b-001,cell-j-001,cell-k-001,cell-m-001]|[cell-c-001,cell-d-001,cell-t-001]|[cell-c-002]|[cell-h-001]"
7,false,-1,19.70,197,4028,1536,0,25,11,-74,28,2449652,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-c-002,cell-d-001,cell-f-001,cell-h-001,cell-i-002,cell-j-001,cell-k-001,cell-l-001,cell-m-001,cell-n-001,cell-q-001,cell-r-001,cell-s-001,cell-t-001;missingResources=C,M,N,T;strong=[cell-f-001,cell-h-002,cell-j-001,cell-j-002,cell-k-001,cell-o-001,cell-r-001,red-myco-002,red-myco-003,red-myco-004]|[cell-a-001,cell-i-001,cell-l-001,cell-p-001,cell-q-001,red-myco-001]|[cell-b-001,cell-e-001,cell-g-001,cell-i-002,cell-s-001]|[cell-c-001]|[cell-c-002]|[cell-d-001]|[cell-h-001]|[cell-m-001]|[cell-n-001]|[cell-t-001];weak=[cell-f-001,cell-h-002,cell-j-001,cell-j-002,cell-k-001,cell-o-001,cell-r-001,red-myco-002,red-myco-003,red-myco-004]|[cell-a-001,cell-i-001,cell-l-001,cell-p-001,cell-q-001,red-myco-001]|[cell-b-001,cell-e-001,cell-g-001,cell-i-002,cell-s-001]|[cell-c-001]|[cell-c-002]|[cell-d-001]|[cell-h-001]|[cell-m-001]|[cell-n-001]|[cell-t-001]"
8,false,-1,9.80,98,1448,446,0,18,7,-17704,28,1307928,"alive=False;won=False;sustained=0;nonGlowing=cell-b-001,cell-c-001,cell-c-002,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,cell-h-002,cell-i-002,cell-j-001,cell-j-002,cell-k-001,cell-l-001,cell-m-001,cell-n-001,cell-o-001,cell-q-001,cell-r-001,cell-s-001,cell-t-001;missingResources=C,F,G,H,J,K,M,N,O,S,T;strong=[cell-a-001,cell-i-001,cell-l-001,cell-p-001,cell-q-001,red-myco-001]|[red-myco-002,red-myco-003,red-myco-004]|[cell-b-001]|[cell-c-001]|[cell-c-002]|[cell-d-001]|[cell-e-001]|[cell-f-001]|[cell-g-001]|[cell-h-001]|[cell-h-002]|[cell-i-002]|[cell-j-001]|[cell-j-002]|[cell-k-001]|[cell-m-001]|[cell-n-001]|[cell-o-001]|[cell-r-001]|[cell-s-001]|[cell-t-001];weak=[cell-a-001,cell-i-001,cell-l-001,cell-p-001,cell-q-001,red-myco-001]|[red-myco-002,red-myco-003,red-myco-004]|[cell-b-001]|[cell-c-001]|[cell-c-002]|[cell-d-001]|[cell-e-001]|[cell-f-001]|[cell-g-001]|[cell-h-001]|[cell-h-002]|[cell-i-002]|[cell-j-001]|[cell-j-002]|[cell-k-001]|[cell-m-001]|[cell-n-001]|[cell-o-001]|[cell-r-001]|[cell-s-001]|[cell-t-001]"
9,false,-1,13.80,138,2421,471,0,21,7,-15291,28,1955081,"alive=False;won=False;sustained=0;nonGlowing=cell-b-001,cell-c-001,cell-c-002,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,cell-h-002,cell-i-001,cell-i-002,cell-j-001,cell-j-002,cell-k-001,cell-l-001,cell-m-001,cell-n-001,cell-q-001,cell-r-001,cell-s-001,cell-t-001;missingResources=C,G,K,M,N,Q,T;strong=[cell-a-001,cell-i-001,cell-l-001,cell-p-001,cell-r-001,red-myco-001,red-myco-002,red-myco-003,red-myco-004]|[cell-f-001,cell-h-002,cell-j-002,cell-o-001]|[cell-e-001,cell-s-001]|[cell-b-001]|[cell-c-001]|[cell-c-002]|[cell-d-001]|[cell-g-001]|[cell-h-001]|[cell-i-002]|[cell-j-001]|[cell-k-001]|[cell-m-001]|[cell-n-001]|[cell-q-001]|[cell-t-001];weak=[cell-a-001,cell-i-001,cell-l-001,cell-p-001,cell-r-001,red-myco-001,red-myco-002,red-myco-003,red-myco-004]|[cell-f-001,cell-h-002,cell-j-002,cell-o-001]|[cell-e-001,cell-s-001]|[cell-b-001]|[cell-c-001]|[cell-c-002]|[cell-d-001]|[cell-g-001]|[cell-h-001]|[cell-i-002]|[cell-j-001]|[cell-k-001]|[cell-m-001]|[cell-n-001]|[cell-q-001]|[cell-t-001]"
