candidate,won,first_win_tick,best_10_tick_flow,best_10_tick_swaps,total_swaps,total_reactions,sustained_ticks,active_cells,glowing_cells,final_score,connected_cells,layout_score,diagnostics
0,false,-1,7.80,78,5467,1766,0,10,3,-3744,10,975193,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-c-002,cell-d-001,cell-f-001,cell-h-001;missingResources=B,D,F;strong=[cell-a-001,cell-b-001,cell-c-002,cell-e-001,cell-g-001,cell-h-001,red-myco-001]|[cell-c-001]|[cell-d-001]|[cell-f-001];weak=[cell-a-001,cell-b-001,cell-c-002,cell-e-001,cell-g-001,cell-h-001,red-myco-001]|[cell-c-001]|[cell-d-001]|[cell-f-001]"
1,false,-1,6.70,67,4591,1766,0,10,3,-4702,10,1020710,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-c-002,cell-d-001,cell-f-001,cell-h-001;missingResources=B,D,F;strong=[cell-a-001,cell-c-002,cell-e-001,cell-g-001,cell-h-001,red-myco-001]|[cell-b-001]|[cell-c-001]|[cell-d-001]|[cell-f-001];weak=[cell-a-001,cell-c-002,cell-e-001,cell-g-001,cell-h-001,red-myco-001]|[cell-b-001]|[cell-c-001]|[cell-d-001]|[cell-f-001]"
2,false,-1,8.70,87,5841,4040,0,10,5,23527,10,1112102,"alive=False;won=False;sustained=0;nonGlowing=cell-b-001,cell-c-001,cell-d-001,cell-f-001,red-myco-001;missingResources=D;strong=[cell-a-001,cell-b-001,cell-c-002,cell-e-001,cell-f-001,cell-g-001,cell-h-001]|[cell-c-001]|[cell-d-001]|[red-myco-001];weak=[cell-a-001,cell-b-001,cell-c-002,cell-e-001,cell-f-001,cell-g-001,cell-h-001]|[cell-c-001]|[cell-d-001]|[red-myco-001]"
3,false,-1,10.50,105,8038,3341,0,10,5,16011,10,960864,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-002,cell-f-001,cell-h-001;missingResources=none;strong=[cell-a-001,cell-b-001,cell-c-001,cell-c-002,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,red-myco-001];weak=[cell-a-001,cell-b-001,cell-c-001,cell-c-002,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,red-myco-001]"
4,false,-1,8.70,87,4779,2833,0,9,4,8294,10,1024554,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001;missingResources=A,D,F;strong=[cell-b-001,cell-c-002,cell-e-001,cell-g-001,cell-h-001,red-myco-001]|[cell-a-001]|[cell-c-001]|[cell-d-001]|[cell-f-001];weak=[cell-b-001,cell-c-002,cell-e-001,cell-g-001,cell-h-001,red-myco-001]|[cell-a-001]|[cell-c-001]|[cell-d-001]|[cell-f-001]"
5,false,-1,9.00,90,7253,4483,0,10,6,28823,10,1021250,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-f-001;missingResources=none;strong=[cell-a-001,cell-b-001,cell-c-001,cell-c-002,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,red-myco-001];weak=[cell-a-001,cell-b-001,cell-c-001,cell-c-002,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,red-myco-001]"
6,false,-1,12.00,120,9921,5175,0,10,7,38042,10,1111298,"alive=False;won=False;sustained=0;nonGlowing=cell-b-001,cell-c-002,cell-h-001;missingResources=none;strong=[cell-a-001,cell-b-001,cell-c-001,cell-c-002,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,red-myco-001];weak=[cell-a-001,cell-b-001,cell-c-001,cell-c-002,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,red-myco-001]"
7,false,-1,11.00,110,9618,6285,0,10,8,51368,10,1109467,"alive=False;won=False;sustained=0;nonGlowing=cell-d-001,cell-f-001;missingResources=none;strong=[cell-a-001,cell-b-001,cell-c-001,cell-c-002,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,red-myco-001];weak=[cell-a-001,cell-b-001,cell-c-001,cell-c-002,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,red-myco-001]"
8,false,-1,8.70,87,5841,4038,0,10,5,23503,10,1109481,"alive=False;won=False;sustained=0;nonGlowing=cell-b-001,cell-c-001,cell-d-001,cell-f-001,red-myco-001;missingResources=D;strong=[cell-a-001,cell-b-001,cell-c-002,cell-e-001,cell-f-001,cell-g-001,cell-h-001]|[cell-c-001]|[cell-d-001]|[red-myco-001];weak=[cell-a-001,cell-b-001,cell-c-002,cell-e-001,cell-f-001,cell-g-001,cell-h-001]|[cell-c-001]|[cell-d-001]|[red-myco-001]"
9,false,-1,11.00,110,8878,3475,0,10,5,17586,10,976417,"alive=False;won=False;sustained=0;nonGlowing=cell-b-001,cell-c-002,cell-d-001,cell-f-001,cell-h-001;missingResources=none;strong=[cell-a-001,cell-b-001,cell-c-001,cell-c-002,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,red-myco-001];weak=[cell-a-001,cell-b-001,cell-c-001,cell-c-002,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,red-myco-001]"
