Puzzle solver summary
  playable only: True
  won: False
  accepted near win: False
  need attempt: 0
  candidate index: -1
  candidates evaluated in winning attempt: 0
  ticks per candidate: 0
  win duration ticks: 3
  required alive ticks at end: 0
  final sustained ticks: 0
  stable at end: False
  glowing cells: 0/212
  swaps: 0
  reactions: 0
  active cells in last window: 0
  touching pairs: 367
  strain penalty: -0
  final score: 0

Cells
  cell-f-001: produces F; needs U, L, Q
  cell-l-001: produces L; needs F, Z, U
  cell-z-001: produces Z; needs L, J, F
  cell-j-001: produces J; needs Z, S, L
  cell-s-001: produces S; needs J, I, Z
  red-myco-001: red myco; needs I, Q, K, H
  cell-l-002: produces L; needs K, Y, S
  cell-y-001: produces Y; needs L, I, K
  cell-y-002: produces Y; needs K, L, N
  cell-k-001: produces K; needs Y, N, O
  cell-n-001: produces N; needs K, O, Y
  red-myco-002: red myco; needs X, W, S, O
  cell-t-001: produces T; needs O, D, N
  cell-d-001: produces D; needs T, O, F
  cell-t-002: produces T; needs D, F, O
  cell-f-002: produces F; needs T, O, D
  cell-o-001: produces O; needs F, V, T
  red-myco-003: red myco; needs C, G, V, N
  cell-k-002: produces K; needs N, H, O
  cell-h-001: produces H; needs K, N, D
  cell-h-002: produces H; needs K, U, R
  cell-h-003: produces H; needs U, P, Q
  cell-u-001: produces U; needs H, C, Q
  red-myco-004: red myco; needs C, Q, X, P
  cell-q-001: produces Q; needs P, M, U
  cell-m-001: produces M; needs Q, X, H
  cell-x-001: produces X; needs M, H, Q
  cell-h-004: produces H; needs X, P, M
  cell-p-001: produces P; needs H, X, K
  red-myco-005: red myco; needs I, J, X, K
  cell-k-003: produces K; needs X, Y, P
  cell-y-003: produces Y; needs K, I, V
  cell-k-004: produces K; needs Y, V, O
  cell-v-001: produces V; needs K, O, Y
  cell-o-002: produces O; needs V, Y, K
  red-myco-006: red myco; needs Y, E, P, J
  cell-j-002: produces J; needs E, W, O
  cell-w-001: produces W; needs J, T, E
  cell-t-003: produces T; needs W, F, J
  cell-f-003: produces F; needs T, S, W
  cell-s-002: produces S; needs F, Y, T
  red-myco-007: red myco; needs B, U, Y, C
  cell-j-003: produces J; needs C, O, S
  cell-o-003: produces O; needs J, V, C
  cell-v-002: produces V; needs O, A, J
  cell-a-001: produces A; needs V, X, O
  cell-x-002: produces X; needs A, D, V
  red-myco-008: red myco; needs G, Q, D, S
  cell-e-001: produces E; needs S, V, X
  cell-v-003: produces V; needs E, H, G
  cell-h-005: produces H; needs V, X, E
  cell-x-003: produces X; needs H, J, V
  cell-j-004: produces J; needs X, B, H
  red-myco-009: red myco; needs B, O, T, J
  cell-w-002: produces W; needs T, V, J
  cell-v-004: produces V; needs W, Y, T
  cell-y-004: produces Y; needs V, J, W
  cell-j-005: produces J; needs Y, W, V
  cell-w-003: produces W; needs J, R, Y
  red-myco-010: red myco; needs C, R, W, F
  cell-o-004: produces O; needs W, P, C
  cell-p-002: produces P; needs O, C, W
  cell-c-001: produces C; needs P, D, O
  cell-d-002: produces D; needs C, X, P
  cell-x-004: produces X; needs D, T, C
  red-myco-011: red myco; needs W, X, I, T
  cell-u-002: produces U; needs X, K, I
