candidate,won,first_win_tick,best_10_tick_flow,best_10_tick_swaps,total_swaps,total_reactions,sustained_ticks,active_cells,glowing_cells,final_score,connected_cells,layout_score,diagnostics
0,false,-1,13.10,131,9019,4465,0,16,6,6268,18,1674618,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-g-001,cell-h-001,cell-i-001,cell-j-001,cell-l-001,cell-m-001,red-myco-001,red-myco-003;missingResources=B,C,D,H,L;strong=[cell-a-001,cell-e-001,cell-f-001,cell-f-002,cell-g-001,cell-i-001,cell-j-001,cell-j-002,cell-k-001,cell-m-001,red-myco-002]|[cell-b-001]|[cell-c-001]|[cell-d-001]|[cell-h-001]|[cell-l-001]|[red-myco-001]|[red-myco-003];weak=[cell-a-001,cell-e-001,cell-f-001,cell-f-002,cell-g-001,cell-i-001,cell-j-001,cell-j-002,cell-k-001,cell-m-001,red-myco-002]|[cell-b-001]|[cell-c-001]|[cell-d-001]|[cell-h-001]|[cell-l-001]|[red-myco-001]|[red-myco-003]"
1,false,-1,14.80,148,9927,4471,0,18,6,10847,18,1857264,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-g-001,cell-h-001,cell-i-001,cell-j-001,cell-l-001,cell-m-001,red-myco-001,red-myco-003;missingResources=B,C,H;strong=[cell-a-001,cell-e-001,cell-f-001,cell-f-002,cell-g-001,cell-i-001,cell-j-001,cell-j-002,cell-k-001,cell-m-001,red-myco-002]|[cell-b-001,cell-l-001]|[cell-c-001]|[cell-d-001]|[cell-h-001]|[red-myco-001]|[red-myco-003];weak=[cell-a-001,cell-e-001,cell-f-001,cell-f-002,cell-g-001,cell-i-001,cell-j-001,cell-j-002,cell-k-001,cell-m-001,red-myco-002]|[cell-b-001,cell-l-001]|[cell-c-001]|[cell-d-001]|[cell-h-001]|[red-myco-001]|[red-myco-003]"
2,false,-1,13.50,135,10603,4941,0,16,7,15561,18,1715725,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-c-001,cell-d-001,cell-g-001,cell-h-001,cell-i-001,cell-j-001,cell-l-001,cell-m-001,red-myco-001,red-myco-003;missingResources=C;strong=[cell-a-001,cell-e-001,cell-f-001,cell-f-002,cell-g-001,cell-i-001,cell-j-002,cell-k-001,cell-m-001,red-myco-002]|[cell-b-001,cell-d-001,cell-h-001,cell-l-001]|[cell-c-001]|[cell-j-001]|[red-myco-001]|[red-myco-003];weak=[cell-a-001,cell-e-001,cell-f-001,cell-f-002,cell-g-001,cell-i-001,cell-j-002,cell-k-001,cell-m-001,red-myco-002]|[cell-b-001,cell-d-001,cell-h-001,cell-l-001]|[cell-c-001]|[cell-j-001]|[red-myco-001]|[red-myco-003]"
3,false,-1,14.60,146,9198,3847,0,18,5,2450,18,1781297,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-f-002,cell-g-001,cell-h-001,cell-i-001,cell-j-001,cell-l-001,cell-m-001,red-myco-001,red-myco-003;missingResources=C,D,L;strong=[cell-a-001,cell-e-001,cell-f-001,cell-i-001,cell-j-001,red-myco-002]|[cell-f-002,cell-g-001,cell-j-002,cell-k-001,cell-m-001]|[cell-c-001,cell-h-001]|[cell-b-001]|[cell-d-001]|[cell-l-001]|[red-myco-001]|[red-myco-003];weak=[cell-a-001,cell-e-001,cell-f-001,cell-i-001,cell-j-001,red-myco-002]|[cell-f-002,cell-g-001,cell-j-002,cell-k-001,cell-m-001]|[cell-c-001,cell-h-001]|[cell-b-001]|[cell-d-001]|[cell-l-001]|[red-myco-001]|[red-myco-003]"
4,false,-1,11.90,119,7919,3646,0,16,5,-3574,18,1696867,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-g-001,cell-h-001,cell-i-001,cell-j-001,cell-j-002,cell-l-001,cell-m-001,red-myco-001,red-myco-003;missingResources=B,C,D,H,L,M;strong=[cell-a-001,cell-e-001,cell-f-001,cell-f-002,cell-g-001,cell-i-001,cell-j-001,cell-j-002,cell-k-001,red-myco-002]|[cell-b-001]|[cell-c-001]|[cell-d-001]|[cell-h-001]|[cell-l-001]|[cell-m-001]|[red-myco-001]|[red-myco-003];weak=[cell-a-001,cell-e-001,cell-f-001,cell-f-002,cell-g-001,cell-i-001,cell-j-001,cell-j-002,cell-k-001,red-myco-002]|[cell-b-001]|[cell-c-001]|[cell-d-001]|[cell-h-001]|[cell-l-001]|[cell-m-001]|[red-myco-001]|[red-myco-003]"
5,false,-1,13.80,138,10064,3724,0,18,5,1844,18,1715333,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-f-001,cell-g-001,cell-i-001,cell-j-001,cell-j-002,cell-l-001,cell-m-001,red-myco-001,red-myco-003;missingResources=D,M;strong=[cell-a-001,cell-e-001,cell-f-001,cell-j-001,red-myco-002]|[cell-f-002,cell-g-001,cell-i-001,cell-j-002,cell-k-001]|[cell-b-001,cell-c-001,cell-h-001,cell-l-001]|[cell-d-001]|[cell-m-001]|[red-myco-001]|[red-myco-003];weak=[cell-a-001,cell-e-001,cell-f-001,cell-j-001,red-myco-002]|[cell-f-002,cell-g-001,cell-i-001,cell-j-002,cell-k-001]|[cell-b-001,cell-c-001,cell-h-001,cell-l-001]|[cell-d-001]|[cell-m-001]|[red-myco-001]|[red-myco-003]"
6,false,-1,13.50,135,9533,4061,0,16,6,5922,18,1668334,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-c-001,cell-d-001,cell-f-002,cell-g-001,cell-h-001,cell-i-001,cell-j-001,cell-l-001,cell-m-001,red-myco-001,red-myco-003;missingResources=C;strong=[cell-a-001,cell-e-001,cell-f-001,cell-i-001,cell-j-001,red-myco-002]|[cell-f-002,cell-g-001,cell-j-002,cell-k-001,cell-m-001]|[cell-b-001,cell-d-001,cell-h-001,cell-l-001]|[cell-c-001]|[red-myco-001]|[red-myco-003];weak=[cell-a-001,cell-e-001,cell-f-001,cell-i-001,cell-j-001,red-myco-002]|[cell-f-002,cell-g-001,cell-j-002,cell-k-001,cell-m-001]|[cell-b-001,cell-d-001,cell-h-001,cell-l-001]|[cell-c-001]|[red-myco-001]|[red-myco-003]"
7,false,-1,12.50,125,7558,2788,0,16,3,-12985,18,1604137,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-002,cell-g-001,cell-h-001,cell-i-001,cell-j-001,cell-l-001,cell-m-001,red-myco-001,red-myco-002,red-myco-003;missingResources=B,C,H;strong=[cell-f-002,cell-g-001,cell-j-002,cell-k-001,cell-m-001]|[cell-a-001,cell-e-001,cell-f-001,cell-i-001]|[cell-b-001,cell-l-001]|[cell-c-001]|[cell-d-001]|[cell-h-001]|[cell-j-001]|[red-myco-001]|[red-myco-002]|[red-myco-003];weak=[cell-f-002,cell-g-001,cell-j-002,cell-k-001,cell-m-001]|[cell-a-001,cell-e-001,cell-f-001,cell-i-001]|[cell-b-001,cell-l-001]|[cell-c-001]|[cell-d-001]|[cell-h-001]|[cell-j-001]|[red-myco-001]|[red-myco-002]|[red-myco-003]"
8,false,-1,15.60,156,11963,5922,0,17,7,27993,18,1783725,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-g-001,cell-i-001,cell-j-001,cell-l-001,cell-m-001,red-myco-001,red-myco-003;missingResources=D;strong=[cell-a-001,cell-e-001,cell-f-001,cell-f-002,cell-g-001,cell-i-001,cell-j-002,cell-k-001,cell-m-001,red-myco-002]|[cell-b-001,cell-c-001,cell-h-001,cell-l-001]|[cell-d-001]|[cell-j-001]|[red-myco-001]|[red-myco-003];weak=[cell-a-001,cell-e-001,cell-f-001,cell-f-002,cell-g-001,cell-i-001,cell-j-002,cell-k-001,cell-m-001,red-myco-002]|[cell-b-001,cell-c-001,cell-h-001,cell-l-001]|[cell-d-001]|[cell-j-001]|[red-myco-001]|[red-myco-003]"
9,false,-1,11.90,119,6829,1977,0,15,2,-25447,18,1528198,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,cell-i-001,cell-j-001,cell-j-002,cell-l-001,cell-m-001,red-myco-001,red-myco-002,red-myco-003;missingResources=B,C,D,H,L,M;strong=[cell-f-002,cell-g-001,cell-i-001,cell-j-002,cell-k-001]|[cell-a-001,cell-e-001,cell-f-001]|[cell-b-001]|[cell-c-001]|[cell-d-001]|[cell-h-001]|[cell-j-001]|[cell-l-001]|[cell-m-001]|[red-myco-001]|[red-myco-002]|[red-myco-003];weak=[cell-f-002,cell-g-001,cell-i-001,cell-j-002,cell-k-001]|[cell-a-001,cell-e-001,cell-f-001]|[cell-b-001]|[cell-c-001]|[cell-d-001]|[cell-h-001]|[cell-j-001]|[cell-l-001]|[cell-m-001]|[red-myco-001]|[red-myco-002]|[red-myco-003]"
