Puzzle solver summary
  playable only: True
  won: False
  accepted near win: False
  need attempt: 0
  candidate index: -1
  candidates evaluated in winning attempt: 0
  ticks per candidate: 0
  win duration ticks: 3
  required alive ticks at end: 0
  final sustained ticks: 0
  stable at end: False
  glowing cells: 0/229
  swaps: 0
  reactions: 0
  active cells in last window: 0
  touching pairs: 426
  strain penalty: -0
  final score: 0

Cells
  cell-t-001: produces T; needs U, B, K
  cell-u-001: produces U; needs T, K, F
  cell-k-001: produces K; needs U, F, T
  cell-f-001: produces F; needs K, S, U
  cell-s-001: produces S; needs F, J, K
  red-myco-001: red myco; needs J, G, Q, Z
  cell-y-001: produces Y; needs Q, N, S
  cell-n-001: produces N; needs Y, E, Z
  cell-e-001: produces E; needs N, I, Y
  cell-i-001: produces I; needs E, G, N
  cell-g-001: produces G; needs I, Q, E
  red-myco-002: red myco; needs K, Q, L, V
  cell-d-001: produces D; needs L, S, G
  cell-s-002: produces S; needs D, Y, Q
  cell-y-002: produces Y; needs S, X, D
  cell-x-001: produces X; needs Y, C, S
  cell-c-001: produces C; needs X, B, Y
  red-myco-003: red myco; needs B, I, J, L
  cell-i-002: produces I; needs J, N, C
  cell-n-002: produces N; needs I, K, J
  cell-k-002: produces K; needs N, U, I
  cell-u-002: produces U; needs K, X, N
  cell-x-002: produces X; needs U, W, K
  red-myco-004: red myco; needs Z, A, W, H
  cell-g-002: produces G; needs A, K, X
  cell-k-003: produces K; needs G, I, H
  cell-i-003: produces I; needs K, E, G
  cell-e-002: produces E; needs I, V, K
  cell-v-001: produces V; needs E, O, I
  red-myco-005: red myco; needs P, H, O, L
  cell-l-001: produces L; needs H, Y, V
  cell-y-003: produces Y; needs L, H, R
  cell-y-004: produces Y; needs R, L, W
  cell-r-001: produces R; needs Y, W, C
  cell-w-001: produces W; needs R, C, Y
  red-myco-006: red myco; needs I, S, C, M
  cell-r-002: produces R; needs M, D, W
  cell-d-002: produces D; needs R, S, Z
  cell-d-003: produces D; needs Z, R, Y
  cell-z-001: produces Z; needs D, Y, H
  cell-y-005: produces Y; needs Z, H, D
  red-myco-007: red myco; needs S, J, H, Y
  cell-n-003: produces N; needs Y, H, U
  cell-h-001: produces H; needs N, U, J
  cell-u-003: produces U; needs H, E, N
  cell-e-003: produces E; needs U, G, H
  cell-g-003: produces G; needs E, U, S
  red-myco-008: red myco; needs I, X, E, V
  cell-s-003: produces S; needs I, O, G
  cell-o-001: produces O; needs S, H, X
