Puzzle solver summary
  playable only: True
  won: False
  accepted near win: False
  need attempt: 0
  candidate index: -1
  candidates evaluated in winning attempt: 0
  ticks per candidate: 0
  win duration ticks: 3
  required alive ticks at end: 0
  final sustained ticks: 0
  stable at end: False
  glowing cells: 0/204
  swaps: 0
  reactions: 0
  active cells in last window: 0
  touching pairs: 379
  strain penalty: -0
  final score: 0

Cells
  cell-u-001: produces U; needs D, A, L
  cell-a-001: produces A; needs U, B, O
  cell-b-001: produces B; needs A, C, U
  cell-c-001: produces C; needs B, Q, A
  cell-q-001: produces Q; needs C, J, B
  red-myco-001: red myco; needs J, A, D, X
  cell-r-001: produces R; needs A, C, Q
  cell-c-002: produces C; needs R, K, X
  cell-k-001: produces K; needs C, Y, R
  cell-y-001: produces Y; needs K, C, M
  cell-y-002: produces Y; needs F, K, R
  red-myco-002: red myco; needs F, Q, M, S
  cell-r-002: produces R; needs S, D, Y
  cell-d-001: produces D; needs R, Q, S
  cell-q-002: produces Q; needs D, W, R
  cell-w-001: produces W; needs Q, G, D
  cell-g-001: produces G; needs W, D, Q
  red-myco-003: red myco; needs B, D, I, C
  cell-i-001: produces I; needs B, P, G
  cell-p-001: produces P; needs I, J, K
  cell-j-001: produces J; needs P, K, I
  cell-k-002: produces K; needs J, E, P
  cell-e-001: produces E; needs K, F, J
  red-myco-004: red myco; needs F, K, I, G
  cell-z-001: produces Z; needs K, M, E
  cell-m-001: produces M; needs Z, D, I
  cell-d-002: produces D; needs M, Z, Q
  cell-z-002: produces Z; needs D, Q, M
  cell-q-003: produces Q; needs Z, T, D
  red-myco-005: red myco; needs U, E, Q, T
  cell-t-001: produces T; needs U, G, Q
  cell-g-002: produces G; needs T, W, U
  cell-w-002: produces W; needs G, E, T
  cell-e-002: produces E; needs W, G, K
  cell-e-003: produces E; needs K, W, U
  red-myco-006: red myco; needs V, K, U, X
  cell-u-002: produces U; needs X, G, E
  cell-g-003: produces G; needs U, B, V
  cell-b-002: produces B; needs G, V, U
  cell-v-001: produces V; needs B, M, G
  cell-m-002: produces M; needs V, I, B
  red-myco-007: red myco; needs P, L, I, O
  cell-z-003: produces Z; needs L, Q, M
  cell-q-004: produces Q; needs Z, K, I
  cell-k-003: produces K; needs Q, C, Z
  cell-c-003: produces C; needs K, M, Q
