O5 N5 O6 J6 L2 Z4 .. ## A6 X6 .. K8 K7 ## F8 ## K4 I4 .. *8
*4 ## K5 C4 *I .. ## X7 M4 *N J1 I7 G8 P4 *M ## .. *E R2 B7
U5 *J B5 ## ## *1 V2 .. N4 T2 A2 .. .. M2 Z1 U9 ## D2 L3 G3
F9 .. M1 L9 G6 L8 U8 ## W5 .. S8 .. K6 N3 L1 R1 *a G9 ## ..
.. .. *K D8 L7 *S S4 B6 V7 R3 G4 ## LB D1 M3 ## O8 U4 .. I6
## .. .. U1 O1 .. D4 B4 ## T5 W2 .. .. T4 P7 A1 .. G1 P2 ##
A5 ## S7 Z5 ## .. .. V5 S1 .. S3 B8 ## M5 ## F5 H6 ## ## ..
## .. .. B9 H1 ## *G *5 K2 E5 G5 .. *L ## F7 Q4 ## ## *X A7
N2 N1 .. .. D5 FB E2 .. *H U3 ## .. H5 ## I1 ## F3 ## ## I3
C1 ## *W G7 Y1 U6 C3 E6 .. B1 Q3 Y3 .. *D Z6 Z3 U2 ## T7 ..
S5 .. E3 P1 .. R4 F1 Q2 J4 E7 .. .. *T *3 *R *P ## H2 X8 T6
.. ## .. ## *V ## .. K3 *7 W1 *0 C2 ## I5 .. .. .. .. A3 ##
## M6 L5 ## LC X3 ## X4 *Z .. .. ## .. FA .. ## ## .. Q1 *A
W4 .. G2 P5 D9 C5 V3 S2 *B T3 K1 .. U7 *Q ## ## ## *C E8 LA
H4 L4 X1 ## J7 F4 ## ## X2 B2 J3 .. I2 .. .. Y4 A8 ## O2 ..
## *Y ## J5 ## ## ## E4 F2 O4 ## A4 ## Z2 ## .. ## ## D3 S6
.. ## H3 .. O7 *6 N6 .. *2 Y2 ## E1 .. D7 .. T1 .. D6 .. V4
S9 *U X5 F6 ## ## *9 .. B3 ## P6 .. *O .. .. ## J2 ## ## V1
.. ## .. .. ## .. .. .. P3 .. ## .. *F L6 ## W3 .. V6 O3 ..

Legend:
*0: red-myco-036; red-myco; needs H,S,C,X
*1: red-myco-001; red-myco; needs I,G,H,P
*2: red-myco-002; red-myco; needs F,D,T,Z
*3: red-myco-003; red-myco; needs D,E,P,Q
*4: red-myco-004; red-myco; needs X,P,V,N
*5: red-myco-005; red-myco; needs F,V,I,G
*6: red-myco-006; red-myco; needs P,T,N,J
*7: red-myco-007; red-myco; needs Q,Y,Z,F
*8: red-myco-008; red-myco; needs V,S,T,U
*9: red-myco-009; red-myco; needs Z,V,J,M
*A: red-myco-010; red-myco; needs C,U,I,B
*B: red-myco-011; red-myco; needs C,H,K,J
*C: red-myco-012; red-myco; needs J,G,U,M
*D: red-myco-013; red-myco; needs O,A,K,D
*E: red-myco-014; red-myco; needs D,N,V,A
*F: red-myco-015; red-myco; needs Q,Z,A,K
*G: red-myco-016; red-myco; needs S,A,W,N
*H: red-myco-017; red-myco; needs V,H,S,J
*I: red-myco-018; red-myco; needs L,E,D,O
*J: red-myco-019; red-myco; needs T,I,K,W
*K: red-myco-020; red-myco; needs M,W,E,O
*L: red-myco-021; red-myco; needs B,Q,V,D
*M: red-myco-022; red-myco; needs C,Y,S,G
*N: red-myco-023; red-myco; needs L,A,H,Q
*O: red-myco-024; red-myco; needs G,I,K,T
*P: red-myco-025; red-myco; needs A,H,P,R
*Q: red-myco-026; red-myco; needs O,Y,T,R
*R: red-myco-027; red-myco; needs Y,A,R,D
*S: red-myco-028; red-myco; needs G,S,I,Q
*T: red-myco-029; red-myco; needs M,C,Z,A
*U: red-myco-030; red-myco; needs S,V,O,K
*V: red-myco-031; red-myco; needs X,D,M,H
*W: red-myco-032; red-myco; needs A,W,M,F
*X: red-myco-033; red-myco; needs F,S,A,U
*Y: red-myco-034; red-myco; needs R,I,Y,N
*Z: red-myco-035; red-myco; needs S,M,H,V
*a: red-myco-037; red-myco; needs F,O,B,U
A1: cell-a-001; produces A; needs X,U,P
A2: cell-a-002; produces A; needs B,U,P
A3: cell-a-003; produces A; needs B,R,N
A4: cell-a-004; produces A; needs G,L,V
A5: cell-a-005; produces A; needs U,Z,L
A6: cell-a-006; produces A; needs Q,S,U
A7: cell-a-007; produces A; needs X,F,S
A8: cell-a-008; produces A; needs O,I,W
B1: cell-b-001; produces B; needs C,P,E
B2: cell-b-002; produces B; needs P,A,D
B3: cell-b-003; produces B; needs N,A,J
B4: cell-b-004; produces B; needs H,D,M
B5: cell-b-005; produces B; needs Q,S,A
B6: cell-b-006; produces B; needs V,X,D
B7: cell-b-007; produces B; needs F,J,I
B8: cell-b-008; produces B; needs F,A,O
B9: cell-b-009; produces B; needs E,Q,I
C1: cell-c-001; produces C; needs D,P,O
C2: cell-c-002; produces C; needs E,B,X
C3: cell-c-003; produces C; needs L,V,A
C4: cell-c-004; produces C; needs M,G,P
C5: cell-c-005; produces C; needs J,M,R
D1: cell-d-001; produces D; needs O,C,I
D2: cell-d-002; produces D; needs G,T,L
D3: cell-d-003; produces D; needs S,Q,L
D4: cell-d-004; produces D; needs O,S,T
D5: cell-d-005; produces D; needs W,V,S
D6: cell-d-006; produces D; needs H,M,T
D7: cell-d-007; produces D; needs E,V,J
D8: cell-d-008; produces D; needs R,M,X
D9: cell-d-009; produces D; needs K,M,E
E1: cell-e-001; produces E; needs X,C,F
E2: cell-e-002; produces E; needs N,U,J
