*4 .. ## AE Y4 ## RC X4 ## H3 .. P4 ## P7 H1 B9 ## R1 A2 ##
*P *1 *N E2 .. S7 I1 ## C3 .. Y8 .. .. .. .. ## X6 ## AF *L
## ## *H G3 U2 ## ## .. B6 .. R9 S1 *F .. Z7 X5 Q6 O7 *6 ..
.. F3 S6 ## F1 .. RA .. B5 .. *V *M V2 .. ## .. W1 I7 L1 T2
J2 ## L2 A4 L3 .. .. ## ## I5 .. L5 *I U6 Y1 D1 Q3 J5 W5 ##
.. .. ## W6 ## .. *J .. R3 S2 ## A8 ## G4 M1 *8 B2 .. .. G1
## .. K3 J8 P1 .. ## ## P6 *2 ## S3 A6 A9 B8 AD K4 O6 Z1 ##
.. *S ## .. C4 .. R4 .. D2 Y9 ## U4 ## AA K1 ## RB ## *U ##
O3 ## ## *B *Q ## .. .. .. S8 *7 ## ## .. I4 ## I9 *Z P9 J7
M2 I3 J4 W3 A5 W4 ## .. A3 P3 ## .. A7 C1 *0 .. M4 ## SB J9
Y5 V3 .. *R *D AG ## .. E1 RD .. .. Q8 V5 .. *W R6 .. Z6 ##
*O ## V1 *C ## U1 S9 I6 BA R8 S5 ## ## .. H6 .. SA X7 .. O1
R7 Q5 *3 JA *5 .. ## AC ## Q7 .. ## ## A1 .. Q2 ## D4 R5 ##
## ## O5 ## G2 N5 N6 .. .. .. H4 ## Y2 X1 .. .. .. .. Y7 N1
K2 B1 P5 ## .. .. J3 ## ## .. *T V7 S4 .. .. .. C5 .. J6 *Y
B4 ## Y6 *G B7 *X Z2 U3 ## .. W2 H2 T4 I2 T1 ## V4 B3 D3 O4
## Z3 N2 .. ## .. X2 N4 O2 P8 AB F2 U5 *E *K Z5 Z4 .. J1 T3
## L4 .. H5 C2 ## .. *a Q1 V6 .. I8 R2 E3 ## .. .. .. ## X3
M3 G5 M5 *9 ## .. .. .. *A F4 N3 .. P2 ## ## Y3 .. Q4 .. ..

Legend:
*0: red-myco-036; red-myco; needs B,K,Q,U
*1: red-myco-001; red-myco; needs V,S,R,A
*2: red-myco-002; red-myco; needs D,F,X,M
*3: red-myco-003; red-myco; needs V,A,O,E
*4: red-myco-004; red-myco; needs H,L,V,O
*5: red-myco-005; red-myco; needs J,V,T,D
*6: red-myco-006; red-myco; needs B,R,G,M
*7: red-myco-007; red-myco; needs R,S,K,V
*8: red-myco-008; red-myco; needs W,P,K,S
*9: red-myco-009; red-myco; needs H,C,N,X
*A: red-myco-010; red-myco; needs U,K,N,J
*B: red-myco-011; red-myco; needs O,Q,L,A
*C: red-myco-012; red-myco; needs P,E,V,I
*D: red-myco-013; red-myco; needs A,O,P,K
*E: red-myco-014; red-myco; needs U,M,G,R
*F: red-myco-015; red-myco; needs N,X,Y,T
*G: red-myco-016; red-myco; needs U,P,M,T
*H: red-myco-017; red-myco; needs C,R,H,F
*I: red-myco-018; red-myco; needs E,U,Z,D
*J: red-myco-019; red-myco; needs O,X,U,R
*K: red-myco-020; red-myco; needs P,J,N,D
*L: red-myco-021; red-myco; needs D,L,Q,P
*M: red-myco-022; red-myco; needs H,L,Y,V
*N: red-myco-023; red-myco; needs Q,C,Z,A
*O: red-myco-024; red-myco; needs F,J,L,E
*P: red-myco-025; red-myco; needs E,Z,V,H
*Q: red-myco-026; red-myco; needs W,O,M,V
*R: red-myco-027; red-myco; needs B,R,L,Y
*S: red-myco-028; red-myco; needs M,T,I,C
*T: red-myco-029; red-myco; needs T,K,A,G
*U: red-myco-030; red-myco; needs F,I,T,X
*V: red-myco-031; red-myco; needs J,Y,Q,T
*W: red-myco-032; red-myco; needs I,N,R,X
*X: red-myco-033; red-myco; needs D,H,V,J
*Y: red-myco-034; red-myco; needs P,O,X,Q
*Z: red-myco-035; red-myco; needs C,E,P,I
*a: red-myco-037; red-myco; needs T,V,I,M
A1: cell-a-001; produces A; needs Z,Q,M
A2: cell-a-002; produces A; needs C,N,P
A3: cell-a-003; produces A; needs H,O,X
A4: cell-a-004; produces A; needs J,F,M
A5: cell-a-005; produces A; needs P,S,B
A6: cell-a-006; produces A; needs N,F,H
A7: cell-a-007; produces A; needs F,Y,T
A8: cell-a-008; produces A; needs R,B,U
A9: cell-a-009; produces A; needs H,I,J
AA: cell-a-010; produces A; needs M,Z,Y
AB: cell-a-011; produces A; needs R,T,E
AC: cell-a-012; produces A; needs T,W,H
AD: cell-a-013; produces A; needs W,H,Y
AE: cell-a-014; produces A; needs F,H,I
AF: cell-a-015; produces A; needs N,B,T
AG: cell-a-016; produces A; needs T,N,M
B1: cell-b-001; produces B; needs D,F,O
B2: cell-b-002; produces B; needs Y,K,R
B3: cell-b-003; produces B; needs L,M,U
B4: cell-b-004; produces B; needs X,E,U
B5: cell-b-005; produces B; needs I,P,R
B6: cell-b-006; produces B; needs Q,R,N
B7: cell-b-007; produces B; needs L,R,Z
B8: cell-b-008; produces B; needs A,U,L
B9: cell-b-009; produces B; needs Z,I,A
BA: cell-b-010; produces B; needs G,N,K
C1: cell-c-001; produces C; needs P,A,V
C2: cell-c-002; produces C; needs U,R,X
C3: cell-c-003; produces C; needs N,Y,Q
C4: cell-c-004; produces C; needs P,T,U
C5: cell-c-005; produces C; needs G,U,H
D1: cell-d-001; produces D; needs N,J,A
D2: cell-d-002; produces D; needs H,W,P
D3: cell-d-003; produces D; needs V,G,Q
D4: cell-d-004; produces D; needs C,S,W
E1: cell-e-001; produces E; needs S,O,W
E2: cell-e-002; produces E; needs B,V,X
E3: cell-e-003; produces E; needs Q,R,M
