R3 HA ## J5 .. A6 .. T3 F5 .. T9 .. .. H1 .. W3 M9 V5 L1
I2 *8 .. .. *U K2 E1 Q6 ## X2 .. N7 ## ## *2 .. I1 M4 C4
H7 T6 .. ## .. ## U1 ## *3 G6 V1 C3 ## .. P4 .. ## N8 ..
.. D4 .. ## D1 .. *R .. P5 ## ## ## ## .. *A .. N2 Q4 ##
S7 Z2 .. ## ## ## UC H2 N6 D7 ## O1 U8 *Q I4 O6 M7 .. T7
.. M2 ## *7 A1 Y4 V7 ## .. U3 *X ## *H D3 P7 P6 R1 ## N5
H5 ## B6 ## .. *I ## A3 ## B7 ## ## T2 *1 X3 ## .. W2 G9
## P2 ## F2 Z5 ## F3 .. .. ## Q2 ## W1 .. .. .. H3 V3 B4
*6 E2 ## G2 ## M1 *B C2 M3 *5 Z1 .. *O ## .. U6 ## ## M5
C1 *9 P3 *G .. X1 .. H4 A5 V2 .. Q7 ## O5 ## Z3 Y1 ## ##
N3 *K .. .. G7 U4 .. O4 T8 Q3 ## .. U9 .. Y5 E3 G8 *0 A2
R2 .. U7 .. .. *N L3 ## Z7 .. UB W5 ## *Z .. P8 ## S5 S4
D5 MA B1 ## .. .. ## *P L4 J4 ## ## ## .. .. I3 ## ## ..
.. .. *T F6 Q5 W7 F7 ## X4 ## D2 B5 .. B3 .. G5 ## Z4 B2
## *C .. T5 .. .. *E P9 N9 E4 J3 ## I5 .. P1 V4 *J ## ..
.. ## .. Y3 G3 ## *S *Y S3 O2 ## .. L2 K1 .. N1 V6 HB U5
J1 *4 ## ## W6 L5 *L *D .. .. F1 *V D6 .. H8 *F .. M6 S1
## E6 Y2 *W G1 .. B8 ## H6 C5 W4 F4 *M .. ## S2 UA H9 S6
T1 Z8 O3 M8 A7 Z6 U2 .. ## Q1 N4 A4 E5 G4 ## ## .. T4 J2

Legend:
*0: red-myco-036; red-myco; needs Y,V,W,L
*1: red-myco-001; red-myco; needs Q,O,G,R
*2: red-myco-002; red-myco; needs M,V,P,I
*3: red-myco-003; red-myco; needs U,D,W,Z
*4: red-myco-004; red-myco; needs P,T,U,Q
*5: red-myco-005; red-myco; needs Z,I,J,H
*6: red-myco-006; red-myco; needs O,G,S,R
*7: red-myco-007; red-myco; needs D,B,R,L
*8: red-myco-008; red-myco; needs J,X,S,D
*9: red-myco-009; red-myco; needs S,U,X,B
*A: red-myco-010; red-myco; needs A,I,W,E
*B: red-myco-011; red-myco; needs X,L,O,G
*C: red-myco-012; red-myco; needs U,J,P,X
*D: red-myco-013; red-myco; needs E,Z,B,R
*E: red-myco-014; red-myco; needs F,N,G,X
*F: red-myco-015; red-myco; needs R,L,W,Q
*G: red-myco-016; red-myco; needs C,E,J,K
*H: red-myco-017; red-myco; needs K,B,R,P
*I: red-myco-018; red-myco; needs V,L,T,W
*J: red-myco-019; red-myco; needs V,I,N,K
*K: red-myco-020; red-myco; needs B,V,G,R
*L: red-myco-021; red-myco; needs A,O,G,C
*M: red-myco-022; red-myco; needs T,E,H,C
*N: red-myco-023; red-myco; needs K,R,D,J
*O: red-myco-024; red-myco; needs Z,M,L,Y
*P: red-myco-025; red-myco; needs J,V,G,X
*Q: red-myco-026; red-myco; needs U,L,R,K
*R: red-myco-027; red-myco; needs U,F,R,A
*S: red-myco-028; red-myco; needs Z,G,X,F
*T: red-myco-029; red-myco; needs O,A,W,K
*U: red-myco-030; red-myco; needs H,K,R,O
*V: red-myco-031; red-myco; needs I,Z,L,K
*W: red-myco-032; red-myco; needs Y,H,S,J
*X: red-myco-033; red-myco; needs B,F,R,V
*Y: red-myco-034; red-myco; needs D,T,V,B
*Z: red-myco-035; red-myco; needs C,Y,D,W
A1: cell-a-001; produces A; needs H,W,M
A2: cell-a-002; produces A; needs V,G,Q
A3: cell-a-003; produces A; needs Y,I,W
