.. .. ## J4 ## Y9 T1 R2 .. .. *Q ## ## ## *H ## R4 L2
H5 .. A7 ## .. W5 ## F5 ## JA X2 P6 ## .. H4 ## N3 ##
*1 J7 N2 U5 V7 A6 O1 .. .. YB H3 I1 ## ## ## X1 .. U7
## .. .. .. .. ## K1 .. C3 ## Q1 X5 ## R1 E3 Z8 .. ..
.. J5 S9 *B N5 .. Z5 ## ## *G T5 W3 *2 ## N4 ## W7 ##
Q3 E4 ## .. B5 U6 B1 .. .. H1 G2 .. ## Y2 L3 S8 ## ..
L1 *A .. *6 .. .. ## .. *7 .. Z3 F6 ## V5 ## Y4 S2 ##
A5 O4 F2 S1 O6 W4 ## B4 M3 C2 A4 D1 .. .. *I G1 ## ..
U1 J8 *8 V8 *4 I2 W6 Y7 ## V2 .. A1 ## .. S6 .. Z2 ..
O5 .. *C .. ## .. YC ## W2 Z7 .. .. .. J1 *J .. S4 *5
.. .. M1 .. *F *3 O3 .. ## .. .. .. T4 .. .. ## E1 F4
H2 L5 .. Z6 Y3 ## ## .. .. N6 ## Z4 ## D2 .. A2 .. ##
*O .. .. V4 .. F7 .. .. X3 *U R3 V6 .. .. E2 .. Y6 J6
Q4 ## .. J3 P7 T2 Q5 ## YA P3 ## ## A3 Y1 P1 Y5 .. ..
*E M2 J2 *9 F1 I4 *T ## *P ## ## .. ## U4 F3 .. X6 U3
P2 .. *D S5 ## B3 ## O2 J9 .. *L *M ## .. .. V3 .. P5
B2 ## L4 ## U2 .. Q2 M4 ## ## Z1 V1 .. *S .. *R S7 ..
W1 F8 *N P4 .. .. .. I3 .. X4 *K Y8 ## D3 T3 N1 S3 C1

Legend:
*1: red-myco-001; red-myco; needs Z,D,G,M
*2: red-myco-002; red-myco; needs K,S,C,Q
*3: red-myco-003; red-myco; needs Y,X,K,Z
*4: red-myco-004; red-myco; needs U,I,A,N
*5: red-myco-005; red-myco; needs E,H,V,F
*6: red-myco-006; red-myco; needs K,S,D,I
*7: red-myco-007; red-myco; needs P,X,D,F
*8: red-myco-008; red-myco; needs H,T,X,D
*9: red-myco-009; red-myco; needs C,J,A,S
*A: red-myco-010; red-myco; needs O,N,X,Z
*B: red-myco-011; red-myco; needs J,X,D,Y
*C: red-myco-012; red-myco; needs N,V,H,M
*D: red-myco-013; red-myco; needs V,P,A,Q
*E: red-myco-014; red-myco; needs Y,O,W,M
*F: red-myco-015; red-myco; needs G,Y,J,A
*G: red-myco-016; red-myco; needs D,H,E,R
*H: red-myco-017; red-myco; needs R,N,X,E
*I: red-myco-018; red-myco; needs Q,V,S,U
*J: red-myco-019; red-myco; needs O,S,P,L
*K: red-myco-020; red-myco; needs U,E,J,X
*L: red-myco-021; red-myco; needs S,I,N,H
*M: red-myco-022; red-myco; needs U,W,I,K
*N: red-myco-023; red-myco; needs D,K,H,R
*O: red-myco-024; red-myco; needs L,V,T,M
*P: red-myco-025; red-myco; needs J,D,V,N
*Q: red-myco-026; red-myco; needs H,W,X,G
*R: red-myco-027; red-myco; needs A,K,B,D
*S: red-myco-028; red-myco; needs J,Z,L,X
*T: red-myco-029; red-myco; needs U,B,K,H
*U: red-myco-030; red-myco; needs D,B,W,N
A1: cell-a-001; produces A; needs X,P,N
A2: cell-a-002; produces A; needs P,M,S
A3: cell-a-003; produces A; needs Z,D,W
A4: cell-a-004; produces A; needs W,Z,P
A5: cell-a-005; produces A; needs P,Q,Y
