.. *L ## .. A2 .. X3 C3 .. ## ## *D G3 ## ## I3
V2 *7 ## .. Z1 ## .. E1 Y4 X5 D4 L2 *I .. .. *M
JC *C E6 .. I2 Z3 L5 .. .. D5 T1 D6 .. .. N1 O1
J4 *6 ## J6 L4 *3 D1 .. M1 J7 H1 F1 D2 Z5 K2 L3
## *A Z4 ## B2 ## D3 .. O2 S2 C1 U7 ## .. .. *E
## B3 U4 J9 .. .. N2 O3 J3 H2 .. .. .. .. ## ..
## .. *K I1 H7 P5 JB *5 ## .. F4 *1 G5 I4 *B E5
.. N3 U6 .. P2 .. P3 J2 .. .. T2 .. .. Y1 .. JA
U1 ## A3 A4 M2 *H ## H4 V1 Y3 ## X4 S1 X1 *2 *8
.. Y5 ## .. .. .. .. .. H5 .. .. *G ## L1 I5 V3
## C2 ## B1 *O .. ## .. M3 J8 H6 ## E3 Y2 *4 P4
.. ## V4 ## ## .. F2 *J .. R1 U3 ## Q2 R2 Q3 ..
F3 .. E2 ## G1 ## A1 ## .. ## ## Z2 .. ## Z6 ##
I6 ## .. D7 ## G4 .. P1 ## E7 ## H3 U5 .. W1 *9
K1 B4 W3 Q1 E4 K3 .. ## ## *N *F .. ## .. .. ..
.. ## ## ## ## ## W2 J1 .. Y6 G2 J5 .. U2 X2 ..

Legend:
*1: red-myco-001; red-myco; needs C,D,H,J
*2: red-myco-002; red-myco; needs O,T,U,G
*3: red-myco-003; red-myco; needs J,T,G,S
*4: red-myco-004; red-myco; needs H,L,C,V
*5: red-myco-005; red-myco; needs J,H,Q,F
*6: red-myco-006; red-myco; needs W,U,C,Z
*7: red-myco-007; red-myco; needs V,H,C,Z
*8: red-myco-008; red-myco; needs C,O,E,N
*9: red-myco-009; red-myco; needs Z,U,J,A
*A: red-myco-010; red-myco; needs A,J,W,L
*B: red-myco-011; red-myco; needs S,W,K,P
*C: red-myco-012; red-myco; needs R,Y,Z,O
*D: red-myco-013; red-myco; needs L,R,T,G
*E: red-myco-014; red-myco; needs T,Z,V,N
*F: red-myco-015; red-myco; needs M,U,C,O
*G: red-myco-016; red-myco; needs V,E,J,X
*H: red-myco-017; red-myco; needs K,A,X,J
*I: red-myco-018; red-myco; needs C,N,I,Z
*J: red-myco-019; red-myco; needs X,M,H,J
*K: red-myco-020; red-myco; needs T,C,D,P
*L: red-myco-021; red-myco; needs B,P,X,C
*M: red-myco-022; red-myco; needs N,W,H,K
*N: red-myco-023; red-myco; needs I,A,E,O
*O: red-myco-024; red-myco; needs S,W,N,D
A1: cell-a-001; produces A; needs H,U,T
A2: cell-a-002; produces A; needs H,F,J
A3: cell-a-003; produces A; needs V,P,B
A4: cell-a-004; produces A; needs K,I,D
