*H Q5 J3 ## .. ## *J F2 .. Y3 S3 ## N2 .. ..
## C4 ## *E ## .. S1 I2 .. *9 G4 N1 N3 D1 P1
## G2 .. H3 .. .. D3 .. D5 .. G1 E2 .. J4 ##
P3 ## .. .. ## .. *8 Z1 H2 *6 *5 ## D4 ## E5
B3 .. .. X2 ## P4 ## .. ## ## Y4 ## *A .. A2
Q4 .. Y1 ## O1 W2 .. ## *B W3 .. L1 ## I1 ..
J2 L3 ## ## ## B1 B5 .. U1 L5 .. Q1 .. .. ..
## A3 ## .. L2 ## ## U5 E6 .. V2 B2 *I .. ..
*4 ## E3 .. P2 Q3 M4 V3 .. .. L6 .. U2 ## W1
H4 O2 J1 K2 M1 .. ## Y5 ## L4 E1 M3 T1 C1 M2
R1 D2 B4 U4 *D .. *1 *2 ## .. ## K1 .. C2 *F
## ## U3 .. .. .. Y2 *7 W5 H1 V1 ## W4 .. ..
K3 S2 F3 *C X1 E4 A4 .. G3 ## Q2 .. ## ## ..
.. *3 .. .. A1 C3 .. Q6 Z2 F1 O3 .. .. *G I3

Legend:
*1: red-myco-001; red-myco; needs N,X,D,J
*2: red-myco-002; red-myco; needs T,F,U,C
*3: red-myco-003; red-myco; needs H,X,W,P
*4: red-myco-004; red-myco; needs V,W,G,J
*5: red-myco-005; red-myco; needs A,N,R,J
*6: red-myco-006; red-myco; needs O,P,Q,C
*7: red-myco-007; red-myco; needs W,O,D,B
*8: red-myco-008; red-myco; needs S,E,H,L
*9: red-myco-009; red-myco; needs N,L,C,I
*A: red-myco-010; red-myco; needs K,A,H,Q
*B: red-myco-011; red-myco; needs A,L,Z,P
*C: red-myco-012; red-myco; needs T,W,B,X
*D: red-myco-013; red-myco; needs W,Q,P,C
*E: red-myco-014; red-myco; needs X,U,G,K
*F: red-myco-015; red-myco; needs C,W,Y,U
*G: red-myco-016; red-myco; needs R,Y,B,S
*H: red-myco-017; red-myco; needs G,I,R,Q
*I: red-myco-018; red-myco; needs L,C,Y,F
*J: red-myco-019; red-myco; needs V,S,U,J
A1: cell-a-001; produces A; needs D,W,E
A2: cell-a-002; produces A; needs F,E,Y
A3: cell-a-003; produces A; needs G,C,H
A4: cell-a-004; produces A; needs Y,N,B
B1: cell-b-001; produces B; needs I,O,D
B2: cell-b-002; produces B; needs O,M,X
B3: cell-b-003; produces B; needs J,Y,L
B4: cell-b-004; produces B; needs T,Y,E
B5: cell-b-005; produces B; needs H,U,L
C1: cell-c-001; produces C; needs U,E,H
C2: cell-c-002; produces C; needs A,F,G
C3: cell-c-003; produces C; needs Y,D,L
C4: cell-c-004; produces C; needs G,E,R
D1: cell-d-001; produces D; needs E,A,C
D2: cell-d-002; produces D; needs F,I,C
D3: cell-d-003; produces D; needs V,W,J
D4: cell-d-004; produces D; needs C,R,Y
D5: cell-d-005; produces D; needs L,I,Q
E1: cell-e-001; produces E; needs U,K,P
E2: cell-e-002; produces E; needs C,D,U
E3: cell-e-003; produces E; needs A,M,F
E4: cell-e-004; produces E; needs L,X,O
E5: cell-e-005; produces E; needs H,J,M
E6: cell-e-006; produces E; needs C,N,I
F1: cell-f-001; produces F; needs L,U,X
F2: cell-f-002; produces F; needs Y,A,J
F3: cell-f-003; produces F; needs C,D,A
G1: cell-g-001; produces G; needs C,M,K
G2: cell-g-002; produces G; needs E,A,V
G3: cell-g-003; produces G; needs K,S,L
G4: cell-g-004; produces G; needs N,C,A
H1: cell-h-001; produces H; needs Q,V,W
H2: cell-h-002; produces H; needs Y,W,E
H3: cell-h-003; produces H; needs E,C,J
H4: cell-h-004; produces H; needs L,B,P
I1: cell-i-001; produces I; needs D,B,L
I2: cell-i-002; produces I; needs Z,T,S
I3: cell-i-003; produces I; needs L,K,Q
J1: cell-j-001; produces J; needs X,Z,O
J2: cell-j-002; produces J; needs N,B,D
J3: cell-j-003; produces J; needs W,V,G
J4: cell-j-004; produces J; needs E,M,H
K1: cell-k-001; produces K; needs E,U,G
