## .. O1 F3 O5 E6 ## V1 .. Q1 M2 Z5 Z8 C1 .. N2 J4
.. *6 .. O2 .. V6 .. ## G3 L6 .. X2 .. C5 .. N3 ..
S1 ## P4 W3 ## ## .. A4 *L *9 V2 .. E7 F6 M4 *8 ..
*P ## P1 Z7 ## ## ## R1 ## ## Y3 ## E9 ## I4 J6 ##
## S2 .. Z2 *O *A .. I7 *3 .. *Q J7 R5 C2 ## X6 ##
R3 D5 I3 V4 .. ## D4 N4 .. *5 ## V5 Q2 *7 X7 .. ..
C4 V8 M1 J3 W1 .. *C P3 ## C6 D3 .. A6 F4 T3 ## ..
.. E8 I6 ## E5 *D *1 D2 A5 ## .. .. E2 ## A3 ## ##
I5 .. L4 ## .. Z6 R2 J2 ## J5 *K .. T2 *J O8 .. ..
S3 A1 .. O7 .. .. H5 ## ## V7 .. .. *I F1 .. W2 V3
.. ## .. R4 ## H2 Y1 .. *R I1 .. F7 .. *H X8 B2 ##
.. .. ## .. .. H4 X5 .. ## .. *B Q3 ## J1 *N .. ##
M6 ## ## Y4 *E .. H6 I2 ## .. C7 ## C3 ## .. L1 Y2
## H1 X4 E4 .. K2 F2 ## .. L2 O3 U1 L7 M5 E1 *G *2
## *F .. G2 .. H3 D1 .. Z1 ## .. O6 .. ## N1 L5 ..
G1 .. .. F5 .. X1 ## X3 K3 E3 O4 P5 .. .. ## B1 ..
M3 T1 A2 Z3 ## Z4 ## ## ## ## L3 O9 P2 K1 .. *M *4

Legend:
*1: red-myco-001; red-myco; needs L,W,E,A
*2: red-myco-002; red-myco; needs T,Q,D,G
*3: red-myco-003; red-myco; needs A,V,C,S
*4: red-myco-004; red-myco; needs Y,O,L,D
*5: red-myco-005; red-myco; needs K,Y,F,T
*6: red-myco-006; red-myco; needs C,F,K,H
*7: red-myco-007; red-myco; needs E,F,N,O
*8: red-myco-008; red-myco; needs J,T,O,Z
*9: red-myco-009; red-myco; needs T,K,S,U
*A: red-myco-010; red-myco; needs R,J,E,C
*B: red-myco-011; red-myco; needs N,O,Q,Y
*C: red-myco-012; red-myco; needs F,D,B,S
*D: red-myco-013; red-myco; needs S,A,B,T
*E: red-myco-014; red-myco; needs R,P,G,A
*F: red-myco-015; red-myco; needs J,Y,I,V
*G: red-myco-016; red-myco; needs R,A,O,L
*H: red-myco-017; red-myco; needs F,A,S,C
*I: red-myco-018; red-myco; needs V,E,O,L
*J: red-myco-019; red-myco; needs X,S,R,P
*K: red-myco-020; red-myco; needs B,K,I,W
*L: red-myco-021; red-myco; needs G,A,N,I
*M: red-myco-022; red-myco; needs L,I,M,T
*N: red-myco-023; red-myco; needs V,F,M,R
*O: red-myco-024; red-myco; needs R,I,G,A
*P: red-myco-025; red-myco; needs N,Q,W,T
*Q: red-myco-026; red-myco; needs A,S,D,H
*R: red-myco-027; red-myco; needs W,O,Q,G
A1: cell-a-001; produces A; needs R,J,C
A2: cell-a-002; produces A; needs O,L,M
A3: cell-a-003; produces A; needs O,L,V
A4: cell-a-004; produces A; needs M,C,E
A5: cell-a-005; produces A; needs X,E,I
