## Q1 .. I7 *9 S3 B7 G6 E2 .. *J .. O6 *S ## .. ## P6 ..
Y3 X4 .. .. ## V3 .. ## A2 *O YA *W Q4 Q2 ## O5 T1 S5 ..
Y7 M7 *U D3 .. ## B3 .. G3 ## ## B6 ## .. .. I1 *B YD A3
*P ## .. .. .. *7 B1 V1 O1 .. .. ## *Q ## L3 Y6 *D .. ..
K1 .. *V .. I6 N5 ## M2 ## Z1 ## A4 ## .. B5 U1 S7 T2 *E
.. QB O3 .. SA .. .. .. .. ## .. V2 .. ## ## ## B2 ## *G
H5 P5 .. ## ## X2 G5 H7 .. .. *F *H ## X3 .. X1 YC M1 F4
*L .. ## Y9 H8 .. R6 .. F7 R1 .. H1 ## S1 F3 P1 E1 S8 L5
*A P2 G4 *5 .. ## O2 ## R9 .. .. Q5 N3 ## .. .. *I ## ..
I3 ## L2 ## F1 R5 Y8 F5 .. .. .. D2 ## *6 RA ## ## Y2 B4
## ## .. Z3 ## S9 .. YB M6 ## .. .. ## S2 .. .. F2 P7 ..
## .. .. K3 .. N6 Z4 U2 Y5 M4 C1 W1 ## .. A7 G1 .. ## OB
*8 A1 .. T3 Q6 S4 O7 .. Q8 .. ## W3 ## Q9 P4 ## N2 .. K2
.. L4 .. OA R7 .. R8 Z2 *C .. *N .. .. .. .. O9 *T ## ##
A6 ## .. QA F6 .. T4 J2 Q7 I4 Q3 J1 .. L1 ## A5 .. H2 E3
N4 RB *3 .. *2 ## O4 ## ## .. M3 K4 ## C3 ## I5 P3 *4 *R
W2 ## R3 ## Y1 O8 ## S6 *K H4 ## ## *1 R2 R4 Z5 H3 G2 I2
D1 ## ## .. .. Z6 .. M8 .. *M H6 N1 M5 .. C2 ## .. Y4 ..

Legend:
*1: red-myco-001; red-myco; needs X,U,N,D
*2: red-myco-002; red-myco; needs S,C,Q,D
*3: red-myco-003; red-myco; needs F,O,L,P
*4: red-myco-004; red-myco; needs J,Y,D,A
*5: red-myco-005; red-myco; needs U,N,E,D
*6: red-myco-006; red-myco; needs R,Q,G,W
*7: red-myco-007; red-myco; needs Q,D,Z,A
*8: red-myco-008; red-myco; needs V,Q,E,T
*9: red-myco-009; red-myco; needs V,Z,U,R
*A: red-myco-010; red-myco; needs W,J,Y,V
*B: red-myco-011; red-myco; needs H,D,K,X
*C: red-myco-012; red-myco; needs R,K,H,I
*D: red-myco-013; red-myco; needs R,M,B,Q
*E: red-myco-014; red-myco; needs O,P,D,V
*F: red-myco-015; red-myco; needs H,S,L,R
*G: red-myco-016; red-myco; needs C,R,K,B
*H: red-myco-017; red-myco; needs G,R,M,A
*I: red-myco-018; red-myco; needs J,P,B,F
*J: red-myco-019; red-myco; needs L,V,Z,M
*K: red-myco-020; red-myco; needs M,I,A,P
*L: red-myco-021; red-myco; needs O,Y,E,X
*M: red-myco-022; red-myco; needs M,W,Z,J
*N: red-myco-023; red-myco; needs O,R,N,L
*O: red-myco-024; red-myco; needs X,Q,A,C
*P: red-myco-025; red-myco; needs W,L,E,Q
*Q: red-myco-026; red-myco; needs Y,H,C,N
*R: red-myco-027; red-myco; needs Y,Z,D,N
*S: red-myco-028; red-myco; needs O,L,J,U
*T: red-myco-029; red-myco; needs B,F,X,H
*U: red-myco-030; red-myco; needs S,Y,F,L
*V: red-myco-031; red-myco; needs T,R,Z,B
*W: red-myco-032; red-myco; needs G,Y,W,U
A1: cell-a-001; produces A; needs Q,Z,S
A2: cell-a-002; produces A; needs O,G,M
A3: cell-a-003; produces A; needs Q,O,Z
A4: cell-a-004; produces A; needs I,L,K
A5: cell-a-005; produces A; needs C,P,J
A6: cell-a-006; produces A; needs T,V,Y
A7: cell-a-007; produces A; needs S,Y,R
B1: cell-b-001; produces B; needs M,W,R
B2: cell-b-002; produces B; needs H,M,N
B3: cell-b-003; produces B; needs R,Y,L
B4: cell-b-004; produces B; needs R,X,Y
