Q9 ## I4 J1 I2 ## .. *N ## ## .. .. U3 A4 .. *X ## F5 P5 V3
## F4 J8 U1 *R *a J3 ## *E S2 H6 K5 .. G3 *0 OA .. N1 *9 K6
B2 J5 M8 W1 .. X3 C3 Z6 *G .. ## O2 G4 ## Q3 .. *2 MB ## ..
O8 ## .. P1 ## Q7 .. XA .. .. .. ## N5 XB W2 ## ## E5 .. ..
.. O3 *8 C1 ## .. .. .. .. ## Z4 ## O9 *O X7 MA ## *T X2 *I
N3 ## ## L5 QA ## ## *H *A *K *W S4 *S J7 .. .. Z5 R3 ## ..
## ## ## D1 T8 ## E1 *4 E4 ## .. .. R1 L3 Y1 .. ## L4 A1 ##
I5 ## M9 *J T5 NA F6 T4 .. R2 T2 ## ## .. .. K3 .. J9 C7 B1
U4 ## *L .. .. S5 B6 .. *5 ## ## I3 ## .. *V ## Q6 E2 T7 F1
## ## Y2 ## F3 ## A7 *b .. O1 N7 P8 H1 .. ## G2 K1 *Z E8 P2
*P .. X4 .. X5 B5 .. .. *F S3 C4 ## ## ## .. ## M3 *7 W4 F8
M2 N8 Y7 B3 .. *Y D2 .. ## ## D4 *U J6 .. .. .. *1 .. ## ..
X8 PB F7 E9 P4 .. G1 .. OB .. ## M6 M7 Q5 P7 T6 .. *B .. M5
B7 I1 .. A2 .. *3 .. .. Z1 ## .. ## PA .. ## O5 O7 U2 *C H3
J2 .. .. G5 X9 Q8 K4 ## B4 Z2 *Q N2 A5 .. Y5 H5 Y6 ## .. ..
Q1 Q4 ## .. W3 .. H9 ## *M .. .. OC Z3 L6 ## .. .. .. .. P3
.. .. N4 L1 *6 U5 E6 .. .. .. K2 ## H8 D3 S1 Y8 H7 A6 V1 C2
E7 .. ## G6 N9 V2 ## ## O6 U6 Y4 X1 X6 .. ## F9 H2 .. F2 V4
## .. .. ## ## ## P9 ## *D .. Y3 G7 M1 T3 ## C5 .. Q2 ## O4
P6 T1 .. ## E3 C6 .. M4 J4 ## .. L2 ## N6 ## A3 H4 ## .. ..

Legend:
*0: red-myco-036; red-myco; needs G,V,D,H
*1: red-myco-001; red-myco; needs V,M,Y,K
*2: red-myco-002; red-myco; needs G,C,R,N
*3: red-myco-003; red-myco; needs V,G,M,P
*4: red-myco-004; red-myco; needs H,O,W,V
*5: red-myco-005; red-myco; needs K,J,C,L
*6: red-myco-006; red-myco; needs R,X,I,L
*7: red-myco-007; red-myco; needs B,C,M,U
*8: red-myco-008; red-myco; needs W,D,V,E
*9: red-myco-009; red-myco; needs S,C,A,O
*A: red-myco-010; red-myco; needs H,F,T,Z
*B: red-myco-011; red-myco; needs G,F,X,R
*C: red-myco-012; red-myco; needs Q,T,F,N
*D: red-myco-013; red-myco; needs U,O,S,V
*E: red-myco-014; red-myco; needs K,V,F,G
*F: red-myco-015; red-myco; needs P,J,G,U
*G: red-myco-016; red-myco; needs M,S,Q,O
*H: red-myco-017; red-myco; needs M,A,X,C
*I: red-myco-018; red-myco; needs P,L,Z,T
*J: red-myco-019; red-myco; needs L,S,G,E
*K: red-myco-020; red-myco; needs Z,U,N,T
*L: red-myco-021; red-myco; needs W,A,P,V
*M: red-myco-022; red-myco; needs G,A,U,S
*N: red-myco-023; red-myco; needs U,F,S,G
*O: red-myco-024; red-myco; needs F,Z,V,R
*P: red-myco-025; red-myco; needs L,Z,G,F
*Q: red-myco-026; red-myco; needs K,X,H,J
*R: red-myco-027; red-myco; needs K,R,W,U
*S: red-myco-028; red-myco; needs H,Y,I,Z
*T: red-myco-029; red-myco; needs F,M,R,L
*U: red-myco-030; red-myco; needs Z,E,C,Y
*V: red-myco-031; red-myco; needs O,F,M,H
*W: red-myco-032; red-myco; needs A,D,T,K
*X: red-myco-033; red-myco; needs C,G,Y,E
*Y: red-myco-034; red-myco; needs M,C,K,F
*Z: red-myco-035; red-myco; needs O,T,M,S
*a: red-myco-037; red-myco; needs M,T,C,D
*b: red-myco-038; red-myco; needs M,O,T,R
A1: cell-a-001; produces A; needs G,L,M
A2: cell-a-002; produces A; needs F,K,O
A3: cell-a-003; produces A; needs B,Z,N
A4: cell-a-004; produces A; needs Y,J,F
A5: cell-a-005; produces A; needs F,C,U
A6: cell-a-006; produces A; needs E,V,G
A7: cell-a-007; produces A; needs M,P,Q
B1: cell-b-001; produces B; needs N,A,Q
B2: cell-b-002; produces B; needs P,O,L
B3: cell-b-003; produces B; needs I,V,Q
B4: cell-b-004; produces B; needs H,Y,N
B5: cell-b-005; produces B; needs Q,P,F
B6: cell-b-006; produces B; needs E,Z,M
B7: cell-b-007; produces B; needs U,G,O
C1: cell-c-001; produces C; needs L,M,A
C2: cell-c-002; produces C; needs P,X,R
C3: cell-c-003; produces C; needs O,U,V
C4: cell-c-004; produces C; needs X,W,U
C5: cell-c-005; produces C; needs M,F,L
C6: cell-c-006; produces C; needs K,O,F
C7: cell-c-007; produces C; needs J,Q,V
D1: cell-d-001; produces D; needs Y,T,B
D2: cell-d-002; produces D; needs S,F,O
D3: cell-d-003; produces D; needs N,E,P
D4: cell-d-004; produces D; needs X,P,J
E1: cell-e-001; produces E; needs J,U,S
E2: cell-e-002; produces E; needs K,F,A
E3: cell-e-003; produces E; needs Y,V,F
E4: cell-e-004; produces E; needs R,H,N
E5: cell-e-005; produces E; needs D,S,N
E6: cell-e-006; produces E; needs M,B,Z
E7: cell-e-007; produces E; needs T,H,K
E8: cell-e-008; produces E; needs H,M,X
E9: cell-e-009; produces E; needs G,A,S
F1: cell-f-001; produces F; needs H,A,C
F2: cell-f-002; produces F; needs E,C,K
F3: cell-f-003; produces F; needs P,Y,X
