## ## FA W7 .. X2 *a O7 ## .. ## D5 ## U1 .. .. F6 ## ## ..
## LA .. .. *O U6 .. Q2 I1 .. B1 ## ## M2 P2 .. ## .. .. K1
.. M1 *8 .. ## B9 .. C8 O2 ## M8 ## *K *B ## .. J6 *C *1 ..
O3 ## B3 W5 E2 K6 .. ## A3 .. S4 Q1 F5 P1 .. .. .. *L B5 ##
## L3 B2 A1 S7 R2 ## L5 C2 *Z O6 .. .. ## O1 S8 ## ## V5 J3
*F .. ## P7 .. W8 M6 S1 Y8 A4 P5 C3 H1 S3 B7 *H .. T8 ## P6
N3 W1 O9 J2 ## ## O8 N5 C9 V7 L2 J7 .. .. .. *W Y3 T2 S6 ##
.. S2 ## H4 N7 F2 ## .. ## Q5 *7 U8 .. ## E5 .. ## *D L6 *R
.. *E Y7 ## ## G2 T6 *0 ## ## .. *P L9 D3 ## I5 .. K5 .. ##
R6 Q6 H2 R4 .. ## K4 U5 U7 *5 D4 Y1 ## .. ## O5 ## L4 I6 ##
*2 X3 G6 G5 ## R5 Z3 T7 FB ## *M ## *6 ## R1 .. .. H3 .. U4
## T1 LB U2 P8 MA W3 .. *T L7 P4 .. .. .. ## .. *G C1 *9 ..
## ## *b *Y .. G1 .. ## ## T5 .. C7 V1 W6 X6 C5 G4 .. OA U3
N4 A2 R3 F1 X1 .. A5 ## .. *3 J1 M9 .. E4 S5 A6 .. Y5 F3 F7
Y4 ## ## *A J4 C4 O4 Z1 ## B4 G7 .. L1 ## .. V2 .. V8 *X V3
.. M3 V4 ## .. .. P3 .. W2 ## .. .. M7 .. C6 Q3 .. F8 .. ..
Q4 M4 .. .. N6 ## ## *I ## Y6 I4 ## T3 *S .. W4 .. .. .. ..
I2 V6 ## ## ## ## D2 ## *4 X8 ## X5 K2 .. Z4 .. J5 .. ## ##
T4 D1 *V .. .. ## *N *Q B8 .. B6 G3 E3 Y2 .. Z2 .. *U .. N1
F9 F4 .. K3 .. X7 .. I3 ## X4 .. ## M5 .. N2 .. ## L8 E1 *J

Legend:
*0: red-myco-036; red-myco; needs E,K,R,Q
*1: red-myco-001; red-myco; needs C,W,Y,H
*2: red-myco-002; red-myco; needs P,S,H,R
*3: red-myco-003; red-myco; needs Z,G,J,L
*4: red-myco-004; red-myco; needs M,T,S,E
*5: red-myco-005; red-myco; needs T,S,F,A
*6: red-myco-006; red-myco; needs M,R,B,O
*7: red-myco-007; red-myco; needs W,L,D,U
*8: red-myco-008; red-myco; needs Z,J,Q,H
*9: red-myco-009; red-myco; needs N,T,V,F
*A: red-myco-010; red-myco; needs N,H,U,X
*B: red-myco-011; red-myco; needs J,E,Q,B
*C: red-myco-012; red-myco; needs Q,V,C,S
*D: red-myco-013; red-myco; needs U,E,C,V
*E: red-myco-014; red-myco; needs M,A,S,R
*F: red-myco-015; red-myco; needs C,V,Y,Z
*G: red-myco-016; red-myco; needs I,Q,K,Z
*H: red-myco-017; red-myco; needs E,S,Q,B
*I: red-myco-018; red-myco; needs M,J,X,I
*J: red-myco-019; red-myco; needs A,J,E,S
*K: red-myco-020; red-myco; needs P,Z,W,V
*L: red-myco-021; red-myco; needs Y,I,T,E
*M: red-myco-022; red-myco; needs S,T,Z,Y
*N: red-myco-023; red-myco; needs P,Q,E,I
*O: red-myco-024; red-myco; needs F,L,S,X
*P: red-myco-025; red-myco; needs D,L,N,O
*Q: red-myco-026; red-myco; needs N,U,M,H
*R: red-myco-027; red-myco; needs H,E,W,D
*S: red-myco-028; red-myco; needs Z,U,A,N
*T: red-myco-029; red-myco; needs V,B,Y,P
*U: red-myco-030; red-myco; needs W,C,N,M
*V: red-myco-031; red-myco; needs L,Z,K,H
*W: red-myco-032; red-myco; needs V,L,A,S
*X: red-myco-033; red-myco; needs T,C,D,S
*Y: red-myco-034; red-myco; needs Y,A,O,E
*Z: red-myco-035; red-myco; needs J,Y,U,O
*a: red-myco-037; red-myco; needs I,M,B,L
*b: red-myco-038; red-myco; needs G,U,L,O
A1: cell-a-001; produces A; needs O,B,H
A2: cell-a-002; produces A; needs S,I,E
A3: cell-a-003; produces A; needs L,P,Z
A4: cell-a-004; produces A; needs J,W,T
