## ## ## ## .. Q7 .. ## ## J6 I5 .. J9 X2 F1 Z6 Z5 ## G4
V4 ## .. A3 E3 S4 E4 *K H2 .. K6 .. *7 N5 .. .. ## .. D7
G6 R7 *W R1 M5 .. X3 D3 *E *U O2 .. Z4 M2 .. I4 .. I2 C8
V2 ## K9 G2 .. Q1 ## *X ## X5 DA S1 *4 .. ## E6 D1 *Y ##
B1 O7 ## ## T1 U5 ## W4 W3 ## ## I3 B5 .. .. O6 .. ## G1
Y2 N4 J5 ## B2 .. .. A5 D9 H1 ## ## .. .. B8 S5 *F .. R2
Y1 J2 T5 .. .. ## ## .. M4 C5 Q3 ## *D .. *6 D6 F4 *G ##
*8 R3 J8 W1 L3 *M ## .. *S V1 .. U7 C2 P1 .. .. ## .. D8
.. *N W2 K7 T6 M6 O3 M8 .. F5 P4 .. E2 .. C3 ## E5 .. *V
## *5 ## .. U4 D2 G7 C1 D4 ## U2 ## .. C6 O5 .. O1 .. C7
.. B3 K1 .. .. .. N1 ## T7 A1 D5 .. P3 JA ## .. .. ## M3
.. Z1 .. Z2 .. E7 .. .. ## L2 R5 .. ## .. *B ## *L J4 R6
U6 ## .. ## ## *C .. G5 Y4 .. T4 .. *J ## O4 H6 ## .. Q6
DB N2 ## .. ## B7 ## F2 .. ## .. .. X4 I1 *1 .. ## I7 M7
.. .. N3 ## ## J1 .. S2 Q4 Y5 H3 *R ## ## *A I6 K4 H4 L1
## J3 .. ## .. .. G3 Z3 .. ## *2 P2 .. .. V3 A6 U1 *3 ..
H5 .. ## M1 R4 ## E1 U3 K3 N6 ## ## J7 U8 .. T3 K5 *P ##
T2 S3 X1 ## L4 ## .. B4 ## ## *9 ## Q2 .. A4 K2 .. .. ..
C4 ## B6 .. A2 .. .. Y3 *Q .. .. *T K8 *H F3 Q5 *O .. *I

Legend:
*1: red-myco-001; red-myco; needs H,Y,C,W
*2: red-myco-002; red-myco; needs P,W,O,G
*3: red-myco-003; red-myco; needs I,W,O,A
*4: red-myco-004; red-myco; needs I,R,O,E
*5: red-myco-005; red-myco; needs G,F,T,U
*6: red-myco-006; red-myco; needs K,E,G,J
*7: red-myco-007; red-myco; needs I,J,C,M
*8: red-myco-008; red-myco; needs O,T,P,D
*9: red-myco-009; red-myco; needs N,R,H,Q
*A: red-myco-010; red-myco; needs X,U,H,D
*B: red-myco-011; red-myco; needs Y,D,T,L
*C: red-myco-012; red-myco; needs B,Q,C,O
*D: red-myco-013; red-myco; needs F,Z,O,T
*E: red-myco-014; red-myco; needs Z,E,V,H
*F: red-myco-015; red-myco; needs X,J,H,C
*G: red-myco-016; red-myco; needs T,K,A,S
*H: red-myco-017; red-myco; needs D,C,R,I
*I: red-myco-018; red-myco; needs K,R,T,B
*J: red-myco-019; red-myco; needs Q,Z,P,R
*K: red-myco-020; red-myco; needs V,N,Q,O
*L: red-myco-021; red-myco; needs Z,H,G,L
*M: red-myco-022; red-myco; needs F,K,S,R
*N: red-myco-023; red-myco; needs G,C,A,K
*O: red-myco-024; red-myco; needs J,L,Q,G
*P: red-myco-025; red-myco; needs N,L,R,U
*Q: red-myco-026; red-myco; needs H,X,G,P
*R: red-myco-027; red-myco; needs S,L,P,W
*S: red-myco-028; red-myco; needs L,N,Y,Z
*T: red-myco-029; red-myco; needs S,B,J,L
*U: red-myco-030; red-myco; needs Z,D,G,E
*V: red-myco-031; red-myco; needs I,T,R,Z
*W: red-myco-032; red-myco; needs T,H,V,W
*X: red-myco-033; red-myco; needs U,V,P,I
*Y: red-myco-034; red-myco; needs A,Z,T,S
A1: cell-a-001; produces A; needs U,J,C
A2: cell-a-002; produces A; needs R,N,S
A3: cell-a-003; produces A; needs M,T,D
A4: cell-a-004; produces A; needs X,S,N
A5: cell-a-005; produces A; needs V,Z,W
