.. ## W6 .. .. Z3 W5 ## *8 .. ## .. ## W1 .. ..
.. L5 ## ## J1 .. L3 O5 K3 O4 ## Y4 .. G5 A1 H2
L4 U5 .. I3 .. ## .. P1 .. .. .. E3 .. T2 P3 V5
B4 *7 .. *F *I V2 ## F3 ## O3 E2 .. .. S3 .. ##
*K ## .. K4 ## .. ## .. .. B2 X2 .. ## ## ## R1
V3 I1 ## .. ## .. .. V7 ## E1 H4 Y5 ## ## V9 T1
.. ## ## *E A3 ## K5 ## W2 *2 .. .. N1 .. ## M2
U6 Q4 U4 Q6 *1 Q3 .. P4 G6 X1 K2 .. U1 D1 Q2 ..
## .. .. *3 .. Y3 U3 .. .. .. ## K1 .. *M .. ..
Q5 .. R2 ## Y6 O1 .. Z1 .. G4 P2 .. *G E5 W3 F5
O2 *A W4 ## ## P6 ## .. .. J2 .. ## M3 *B F1 H3
H1 L1 B1 Y2 Z2 G7 E6 Q1 *L *4 V6 F2 G3 *5 ## C3
A2 ## .. .. M1 I4 .. *H .. S1 .. C2 E4 *D .. ..
I2 S4 ## .. Z4 U2 G2 *6 S2 C1 ## F4 ## G1 L2 B3
.. *9 ## Y1 V8 *J ## .. B5 V4 ## V1 *C P5 ## ##

Legend:
*1: red-myco-001; red-myco; needs V,R,U,M
*2: red-myco-002; red-myco; needs B,Z,X,J
*3: red-myco-003; red-myco; needs U,S,D,B
*4: red-myco-004; red-myco; needs S,D,F,K
*5: red-myco-005; red-myco; needs J,L,A,Z
*6: red-myco-006; red-myco; needs S,A,I,P
*7: red-myco-007; red-myco; needs V,X,U,T
*8: red-myco-008; red-myco; needs P,J,V,U
*9: red-myco-009; red-myco; needs X,L,A,O
*A: red-myco-010; red-myco; needs J,W,L,F
*B: red-myco-011; red-myco; needs C,A,I,X
*C: red-myco-012; red-myco; needs L,C,T,X
*D: red-myco-013; red-myco; needs E,B,Q,T
*E: red-myco-014; red-myco; needs K,R,L,V
*F: red-myco-015; red-myco; needs I,T,C,A
*G: red-myco-016; red-myco; needs K,M,Z,T
*H: red-myco-017; red-myco; needs B,L,F,U
*I: red-myco-018; red-myco; needs W,J,V,Y
*J: red-myco-019; red-myco; needs A,H,F,Z
*K: red-myco-020; red-myco; needs G,O,T,J
*L: red-myco-021; red-myco; needs U,N,Y,P
*M: red-myco-022; red-myco; needs M,E,P,Q
A1: cell-a-001; produces A; needs U,P,L
A2: cell-a-002; produces A; needs G,W,C
A3: cell-a-003; produces A; needs Q,B,U
B1: cell-b-001; produces B; needs X,W,O
B2: cell-b-002; produces B; needs J,P,L
