I7 Z8 Q4 ## X2 .. ## .. ## V6 .. ## C3 O3 R2 W4 ## ## *J ..
## ## X4 ## .. *O ## S1 ## .. *1 D5 .. .. .. ## .. A5 ## *T
W3 J4 O4 .. I2 F1 ## ## X6 VA M4 ## X3 K7 I6 ## L2 .. .. ..
.. D1 .. ## D9 ## F2 V8 X9 ## .. .. ## R5 J6 .. W7 ## C5 Y4
S2 *F .. .. Q3 ## D8 .. D6 Z4 M6 T4 ## ## I1 ## B7 XC Y8 ..
.. K4 *M E1 ## .. *3 XA .. L8 ## K2 W5 ## S3 V2 *U .. V7 ##
G1 J8 .. *P *4 .. E2 .. .. R3 *9 ## .. .. W2 O8 B9 R6 .. ##
R4 L1 E6 .. P6 .. .. L6 ## G5 I4 F3 .. K3 C2 G2 O2 Q1 .. ..
*V .. XB ## ## .. EA ## A1 ## XD B8 X7 M2 J5 ## L9 J1 ## ..
K6 A6 ## Y3 .. Z3 V1 .. .. ## .. S6 N8 ## OA G3 Y1 D3 ## Q2
M7 T3 ## E3 ## *5 *7 J3 .. C1 V9 N9 N1 M5 L5 K5 O5 Y5 ## I8
A4 ## .. .. ## .. ## ## *2 .. B4 A7 ## .. ## .. *C M3 ## Y7
U2 ## .. *E I5 E9 ## .. *I C6 ## O9 F5 *W .. B5 .. .. NB X8
K1 E5 G4 C4 O1 S5 H1 C7 *Q B2 Z1 .. *B N7 .. O6 B1 ## .. R7
P5 V4 *A P3 .. A3 ## L7 O7 .. J9 N5 .. *D B3 .. *b ## .. K8
E7 ## Y2 .. ## ## .. J7 A8 ## .. U1 Z5 .. *L Q5 ## ## *N ##
X5 Z2 M8 *S L4 X1 ## Y6 G6 M1 ## .. *G ## *0 W6 Z7 .. ## S4
NA I3 *8 H2 A9 .. J2 *R P4 ## .. N3 *Z ## .. *a F4 .. N4 W1
A2 V3 P2 *Y P1 ## .. D7 .. ## R1 U3 *X L3 *K B6 T2 D4 .. V5
*c ## Z6 N2 Y9 E4 *6 .. *H .. .. ## D2 T1 ## ## ## N6 E8 ..

Legend:
*0: red-myco-036; red-myco; needs R,F,O,N
*1: red-myco-001; red-myco; needs L,Y,O,F
*2: red-myco-002; red-myco; needs P,D,B,U
*3: red-myco-003; red-myco; needs A,J,R,X
*4: red-myco-004; red-myco; needs M,V,R,A
*5: red-myco-005; red-myco; needs S,Z,G,U
*6: red-myco-006; red-myco; needs I,R,Q,T
*7: red-myco-007; red-myco; needs X,S,J,M
*8: red-myco-008; red-myco; needs Z,L,B,U
*9: red-myco-009; red-myco; needs O,V,R,X
*A: red-myco-010; red-myco; needs H,L,K,E
*B: red-myco-011; red-myco; needs Z,Y,Q,T
*C: red-myco-012; red-myco; needs W,O,J,R
*D: red-myco-013; red-myco; needs E,G,J,X
*E: red-myco-014; red-myco; needs J,U,S,W
*F: red-myco-015; red-myco; needs X,N,L,Z
*G: red-myco-016; red-myco; needs G,U,E,Q
*H: red-myco-017; red-myco; needs T,O,H,Y
*I: red-myco-018; red-myco; needs R,D,U,S
*J: red-myco-019; red-myco; needs J,X,V,P
*K: red-myco-020; red-myco; needs D,H,A,S
*L: red-myco-021; red-myco; needs A,D,M,K
*M: red-myco-022; red-myco; needs S,A,H,M
*N: red-myco-023; red-myco; needs D,G,Z,X
*O: red-myco-024; red-myco; needs O,V,A,Y
*P: red-myco-025; red-myco; needs F,P,O,W
*Q: red-myco-026; red-myco; needs P,J,K,S
*R: red-myco-027; red-myco; needs W,C,G,P
*S: red-myco-028; red-myco; needs W,Z,M,J
*T: red-myco-029; red-myco; needs E,K,N,G
*U: red-myco-030; red-myco; needs R,Z,X,P
*V: red-myco-031; red-myco; needs O,G,R,N
*W: red-myco-032; red-myco; needs Y,R,O,F
*X: red-myco-033; red-myco; needs L,T,B,D
*Y: red-myco-034; red-myco; needs R,K,Y,L
*Z: red-myco-035; red-myco; needs G,I,X,O
*a: red-myco-037; red-myco; needs J,B,O,I
*b: red-myco-038; red-myco; needs P,K,Y,M
*c: red-myco-039; red-myco; needs V,O,X,K
A1: cell-a-001; produces A; needs C,O,M
A2: cell-a-002; produces A; needs L,M,C
A3: cell-a-003; produces A; needs Z,L,Q
A4: cell-a-004; produces A; needs L,E,W
A5: cell-a-005; produces A; needs D,E,Z
A6: cell-a-006; produces A; needs F,S,I
A7: cell-a-007; produces A; needs L,O,B
A8: cell-a-008; produces A; needs B,Y,L
A9: cell-a-009; produces A; needs N,Y,K
B1: cell-b-001; produces B; needs S,N,E
B2: cell-b-002; produces B; needs M,N,C
B3: cell-b-003; produces B; needs L,U,Y
B4: cell-b-004; produces B; needs C,G,K
B5: cell-b-005; produces B; needs K,O,X
B6: cell-b-006; produces B; needs S,O,I
B7: cell-b-007; produces B; needs X,R,W
B8: cell-b-008; produces B; needs X,V,D
B9: cell-b-009; produces B; needs K,A,Y
C1: cell-c-001; produces C; needs M,A,B
C2: cell-c-002; produces C; needs W,L,F
C3: cell-c-003; produces C; needs N,E,J
C4: cell-c-004; produces C; needs K,B,L
C5: cell-c-005; produces C; needs Y,X,N
C6: cell-c-006; produces C; needs R,Y,M
C7: cell-c-007; produces C; needs O,Y,H
D1: cell-d-001; produces D; needs K,I,F
D2: cell-d-002; produces D; needs Z,A,W
D3: cell-d-003; produces D; needs X,L,N
D4: cell-d-004; produces D; needs X,P,B
D5: cell-d-005; produces D; needs O,R,T
D6: cell-d-006; produces D; needs E,P,Z
D7: cell-d-007; produces D; needs Z,C,P
D8: cell-d-008; produces D; needs W,O,G
D9: cell-d-009; produces D; needs Z,P,G
E1: cell-e-001; produces E; needs W,S,O
E2: cell-e-002; produces E; needs S,N,R
E3: cell-e-003; produces E; needs G,J,T
E4: cell-e-004; produces E; needs K,R,S
E5: cell-e-005; produces E; needs A,W,L
E6: cell-e-006; produces E; needs A,J,D
E7: cell-e-007; produces E; needs Q,R,O
E8: cell-e-008; produces E; needs S,D,O
E9: cell-e-009; produces E; needs X,V,O
EA: cell-e-010; produces E; needs Q,R,N
F1: cell-f-001; produces F; needs V,K,L
F2: cell-f-002; produces F; needs B,P,I
F3: cell-f-003; produces F; needs Q,W,G
F4: cell-f-004; produces F; needs Z,V,R
F5: cell-f-005; produces F; needs W,M,U
G1: cell-g-001; produces G; needs T,E,Z
G2: cell-g-002; produces G; needs J,T,E
G3: cell-g-003; produces G; needs D,J,P
G4: cell-g-004; produces G; needs S,Y,A
