Q3 C3 G5 ## ## .. B3 C5 P2 ## E1 K1 C4 .. ## C6 ##
.. J4 V2 B7 A2 ## *8 .. .. Z4 L8 Y1 B6 K2 R3 ## ..
*N B1 Q6 *I .. O2 N5 W7 .. .. ## V7 W4 ## ## .. ..
## ## ## S4 P1 Q1 ## *J X5 ## .. N1 .. .. .. C1 T1
## H4 W5 .. N2 I3 D3 H2 *2 D6 .. J1 *Q ## .. P4 ..
O4 .. L7 .. X4 U2 *C E4 W2 .. O5 .. ## D2 .. O3 R2
## .. .. .. ## ## *6 L3 P5 L5 V3 ## V1 L6 .. U1 ..
*P .. Z3 B4 M4 .. D4 .. M1 R1 X6 B2 *R *F *9 A1 ..
C2 .. ## H3 ## *K O6 X2 .. .. J2 I2 I1 .. S3 P6 M3
## ## .. G3 B5 .. *D .. ## ## ## .. J3 .. V6 ## ##
W6 W8 ## ## W3 A4 J5 *4 N3 X1 .. F2 J6 *B .. .. D1
.. J7 .. ## ## A5 D5 W9 ## .. ## T2 .. P3 ## B8 ..
## M2 .. .. Z1 Q5 ## ## .. *5 M5 .. .. *G V4 G2 ..
.. *H .. F1 *L ## ## Z2 M7 X3 A3 T3 *E S1 T4 H1 P7
N4 ## .. L1 G1 .. R5 ## O7 .. G4 .. *M .. M6 ## ..
*7 ## .. ## X7 .. .. O1 *3 *1 .. ## .. ## ## .. E2
L4 ## ## W1 *O ## Q2 Q4 E3 V5 K3 .. *A L2 R4 S2 ..

Legend:
*1: red-myco-001; red-myco; needs I,W,F,E
*2: red-myco-002; red-myco; needs D,Y,Q,F
*3: red-myco-003; red-myco; needs A,Q,R,N
*4: red-myco-004; red-myco; needs Y,W,D,V
*5: red-myco-005; red-myco; needs A,G,D,T
*6: red-myco-006; red-myco; needs F,S,M,I
*7: red-myco-007; red-myco; needs T,K,J,Z
*8: red-myco-008; red-myco; needs J,G,Z,C
*9: red-myco-009; red-myco; needs E,F,G,L
*A: red-myco-010; red-myco; needs B,L,P,Q
*B: red-myco-011; red-myco; needs O,P,V,F
*C: red-myco-012; red-myco; needs J,I,U,X
*D: red-myco-013; red-myco; needs F,Z,R,E
*E: red-myco-014; red-myco; needs P,L,Y,Z
*F: red-myco-015; red-myco; needs J,A,Z,O
*G: red-myco-016; red-myco; needs O,V,B,T
*H: red-myco-017; red-myco; needs S,P,H,C
*I: red-myco-018; red-myco; needs T,G,A,I
*J: red-myco-019; red-myco; needs E,U,O,Y
*K: red-myco-020; red-myco; needs F,Q,X,B
*L: red-myco-021; red-myco; needs T,E,S,C
*M: red-myco-022; red-myco; needs W,P,J,D
*N: red-myco-023; red-myco; needs S,M,L,H
*O: red-myco-024; red-myco; needs O,N,E,G
*P: red-myco-025; red-myco; needs E,V,M,Z
*Q: red-myco-026; red-myco; needs L,U,Y,S
*R: red-myco-027; red-myco; needs J,T,I,E
A1: cell-a-001; produces A; needs O,W,Z
A2: cell-a-002; produces A; needs W,L,D
A3: cell-a-003; produces A; needs M,S,V
A4: cell-a-004; produces A; needs Y,V,K
A5: cell-a-005; produces A; needs X,C,S
B1: cell-b-001; produces B; needs D,C,P
B2: cell-b-002; produces B; needs H,O,L
B3: cell-b-003; produces B; needs W,F,A
B4: cell-b-004; produces B; needs E,I,J
B5: cell-b-005; produces B; needs L,P,J
B6: cell-b-006; produces B; needs R,G,Q
B7: cell-b-007; produces B; needs T,J,N
