## .. ## K3 F3 W1 G3 ## J5 .. *X ## .. ## J2 .. *7 *Q ## J8
P8 .. M1 B3 M4 ## .. ## ## G6 S4 B6 H4 ## .. ## M7 M2 .. P5
.. T5 ## U4 ## .. Q7 E5 W7 .. Y1 ## *D .. W5 ## .. ## ## E2
*C ## O1 .. M6 A3 .. U3 .. *E .. I4 M8 *4 C1 *L K6 R7 U1 *0
F4 A2 G5 .. .. .. X2 P4 *B N1 H1 ## ## .. ## O6 V2 Y5 *G ..
Z3 *P ## .. .. .. ## R6 V1 M5 .. C3 ## ## V7 *N Q4 .. P3 H3
S5 Z5 K8 ## H9 ## H6 S8 F1 L4 E4 C4 SA .. .. T8 ## .. .. T2
L1 C2 I1 .. V8 *J B4 T6 E6 W2 ## B5 .. .. I3 K1 .. L3 *Z F5
.. U2 U5 L5 *W G8 V6 K7 *M .. B2 *1 .. GA .. *S ## .. ## ##
.. ## .. J7 .. *T Y6 C6 D1 B8 R8 B7 Q1 .. ## ## X3 Y3 S7 V5
.. ## .. .. PB ## ## S9 ## .. D5 .. .. R2 .. ## G1 Q3 ## X6
*H ## L6 *a H7 S2 *I .. I2 O2 ## .. *6 W3 RA ## K4 ## ## ##
J1 *2 D3 H2 *Y ## .. E1 H5 .. .. ## D6 .. .. *U P9 .. .. Y4
V3 .. .. *3 R1 ## .. ## ## .. ## N3 V4 J6 ## *A ## K5 *R D2
## .. F2 O3 M3 ## Z4 H8 *8 ## *K Z2 ## ## ## B1 Q6 .. P7 ..
X5 T4 X1 .. S1 M9 ## Y2 .. ## ## R3 D4 ## R5 .. .. G9 R9 L2
B9 *9 T1 ## *V .. .. ## N2 O5 PA J4 S6 ## ## ## *F X4 G4 Z1
K2 Q2 ## .. A1 .. P2 O8 W4 ## R4 .. S3 J3 ## E3 .. T7 .. ..
O7 P6 I5 *5 O4 I6 K9 Q5 .. W6 P1 I7 G7 ## C5 *O .. G2 T3 ..

Legend:
*0: red-myco-036; red-myco; needs U,J,C,R
*1: red-myco-001; red-myco; needs E,J,K,I
*2: red-myco-002; red-myco; needs Z,S,O,W
*3: red-myco-003; red-myco; needs W,G,Q,I
*4: red-myco-004; red-myco; needs G,B,K,C
*5: red-myco-005; red-myco; needs A,T,J,X
*6: red-myco-006; red-myco; needs F,V,J,O
*7: red-myco-007; red-myco; needs U,A,N,R
*8: red-myco-008; red-myco; needs O,X,C,P
*9: red-myco-009; red-myco; needs F,D,S,X
*A: red-myco-010; red-myco; needs J,G,R,F
*B: red-myco-011; red-myco; needs M,X,A,R
*C: red-myco-012; red-myco; needs Q,M,C,D
*D: red-myco-013; red-myco; needs Y,F,C,R
*E: red-myco-014; red-myco; needs N,Y,C,Z
*F: red-myco-015; red-myco; needs J,M,O,G
*G: red-myco-016; red-myco; needs X,H,G,T
*H: red-myco-017; red-myco; needs Q,M,N,H
*I: red-myco-018; red-myco; needs Q,X,K,O
*J: red-myco-019; red-myco; needs I,K,Y,G
*K: red-myco-020; red-myco; needs M,W,E,K
*L: red-myco-021; red-myco; needs L,R,H,F
*M: red-myco-022; red-myco; needs W,O,U,T
*N: red-myco-023; red-myco; needs L,T,H,V
*O: red-myco-024; red-myco; needs P,X,K,O
*P: red-myco-025; red-myco; needs H,A,B,T
*Q: red-myco-026; red-myco; needs N,H,C,X
*R: red-myco-027; red-myco; needs R,U,I,D
*S: red-myco-028; red-myco; needs M,A,Z,U
*T: red-myco-029; red-myco; needs N,Z,X,I
*U: red-myco-030; red-myco; needs G,E,Q,H
*V: red-myco-031; red-myco; needs B,X,L,V
*W: red-myco-032; red-myco; needs B,F,M,Q
*X: red-myco-033; red-myco; needs D,V,N,U
*Y: red-myco-034; red-myco; needs V,M,Q,D
*Z: red-myco-035; red-myco; needs Z,W,A,H
*a: red-myco-037; red-myco; needs G,E,R,X
A1: cell-a-001; produces A; needs I,B,E
A2: cell-a-002; produces A; needs Y,D,S
A3: cell-a-003; produces A; needs J,R,Y
