U6 ## L3 G5 Y5 W6 ## ## ## .. .. I3 ## K1 ## I5 ## ..
*R .. .. *5 U4 I7 K6 .. .. .. ## G1 ZC ## D5 .. ## B3
N3 H3 S7 .. E3 *N .. Q2 *1 *2 D2 .. S3 Z6 ## Z4 .. *7
Q6 C4 M3 U3 L2 *E X3 ## *G *V K4 R3 G4 .. ZD ## .. N1
*6 H1 C3 .. E4 ## U5 W4 S5 U1 Z9 R4 Y6 P5 .. S1 ## ##
## W8 H4 H6 .. *H I1 G2 J2 ## .. X4 C6 .. .. ## R2 ..
.. O4 .. C2 V1 F7 ## ## Z2 Y3 Q3 ## M2 ## ## G3 .. R5
*I ## C1 .. O2 .. *8 R1 ## .. *U B2 .. .. F6 ## .. ##
*F ## .. V5 F1 *S Z8 *3 *Q ## U7 .. A2 .. .. *K L1 Z5
F4 *J ## D1 Y1 H5 .. Z7 ## *A .. *L .. .. I2 A4 F5 ##
O3 M1 D3 ## B6 ## J6 Y7 *C U2 O5 ## .. E1 Y2 B4 Y4 J8
.. .. H7 .. W2 *D A3 P4 J3 I8 ZB N2 I6 X5 .. .. ## J4
Q5 A5 .. ## V4 ## V2 ## *O ## ## .. ## *9 I4 D7 K7 F3
*P P1 W7 P2 K5 ## ## .. .. .. .. X2 ## J7 *4 X6 .. W5
.. ## ## M4 .. .. ## B1 .. X1 .. D6 D4 J5 ## ## ## ..
*M *T *B .. Q4 ## .. T1 ## E2 A1 ## S2 A6 .. ## F2 Q1
C5 .. ## ## .. .. B5 .. .. ## S6 W3 ## H2 J1 P3 K2 ..
T2 Z3 ## W1 Z1 .. .. S4 ## K3 V3 O1 ZA ## .. S8 P6 ..

Legend:
*1: red-myco-001; red-myco; needs V,S,X,G
*2: red-myco-002; red-myco; needs H,M,U,E
*3: red-myco-003; red-myco; needs L,R,E,W
*4: red-myco-004; red-myco; needs M,N,B,H
*5: red-myco-005; red-myco; needs Y,A,K,L
*6: red-myco-006; red-myco; needs K,C,Z,F
*7: red-myco-007; red-myco; needs V,W,R,H
*8: red-myco-008; red-myco; needs S,R,U,D
*9: red-myco-009; red-myco; needs P,B,U,W
*A: red-myco-010; red-myco; needs P,T,L,R
*B: red-myco-011; red-myco; needs O,K,N,L
*C: red-myco-012; red-myco; needs Y,O,L,M
*D: red-myco-013; red-myco; needs P,E,R,N
*E: red-myco-014; red-myco; needs A,V,S,L
*F: red-myco-015; red-myco; needs Q,F,D,B
*G: red-myco-016; red-myco; needs J,X,K,W
*H: red-myco-017; red-myco; needs G,J,Q,V
*I: red-myco-018; red-myco; needs Y,X,H,C
*J: red-myco-019; red-myco; needs Q,W,O,R
*K: red-myco-020; red-myco; needs E,K,D,Q
*L: red-myco-021; red-myco; needs T,C,I,M
*M: red-myco-022; red-myco; needs R,M,Q,W
*N: red-myco-023; red-myco; needs D,W,S,G
*O: red-myco-024; red-myco; needs R,Y,Z,L
*P: red-myco-025; red-myco; needs W,F,C,L
*Q: red-myco-026; red-myco; needs E,B,R,K
*R: red-myco-027; red-myco; needs A,X,P,C
*S: red-myco-028; red-myco; needs W,A,D,B
*T: red-myco-029; red-myco; needs O,Q,V,F
*U: red-myco-030; red-myco; needs G,R,O,W
*V: red-myco-031; red-myco; needs S,I,O,R
A1: cell-a-001; produces A; needs H,Y,B
A2: cell-a-002; produces A; needs D,V,Z
A3: cell-a-003; produces A; needs D,S,B
A4: cell-a-004; produces A; needs H,I,D
A5: cell-a-005; produces A; needs C,F,U
A6: cell-a-006; produces A; needs K,S,P
B1: cell-b-001; produces B; needs Z,H,E
B2: cell-b-002; produces B; needs H,L,W
B3: cell-b-003; produces B; needs Q,Z,A
B4: cell-b-004; produces B; needs G,L,N
B5: cell-b-005; produces B; needs J,D,F
B6: cell-b-006; produces B; needs O,W,V
C1: cell-c-001; produces C; needs R,J,K
C2: cell-c-002; produces C; needs X,E,Q
C3: cell-c-003; produces C; needs S,X,A
C4: cell-c-004; produces C; needs G,X,S
C5: cell-c-005; produces C; needs Z,A,P
