.. J2 ## G2 Q1 .. B6 .. F1 O3 G3 Y2 B4 .. N2 U1 X3
IB CC U3 .. N6 ## ## ## E3 L2 M5 S3 B5 ## W4 ## ..
A4 L4 ## R1 Y1 ## ## C3 *2 X2 .. *F *1 .. ## A2 V3
## .. I4 ## F8 ## ## ## ## X4 F6 O4 ## ## .. A5 *N
Q2 *J .. C4 *P I8 *H .. CB .. ## .. P2 .. .. ## J1
W3 .. ## L5 .. ## F5 *5 ## N3 T3 ## *L X1 *9 O2 B1
E4 ## *G ## ## T2 .. P5 A1 *I M1 ## V2 ## ## ## ##
## M2 H2 S2 Q7 O1 I1 N1 .. .. M3 *8 .. M4 .. *E *6
*Q ## I2 I6 N7 .. .. .. Z1 P3 .. P1 I3 .. E2 .. C1
## ## .. .. F2 K1 .. M7 E1 C9 .. U2 B2 C2 W1 .. ##
N5 I5 C7 ## ## ## I7 L3 U4 S1 H1 .. L6 L1 CE ## ..
.. H4 .. M6 X5 K2 K3 .. ## ## N4 F7 D3 ## *3 .. *D
.. ## .. ## G1 .. ## .. ## .. Q3 *B A3 .. ## T1 CD
.. F4 V1 .. Q6 .. ## D2 F3 .. I9 U5 .. *M *A IA *C
C8 T4 *K *7 S4 B3 ## G4 .. P6 .. H3 .. C6 P4 .. ..
W2 *4 .. .. .. Q4 .. C5 CA D1 .. .. ## .. Y3 *O Q5

Legend:
*1: red-myco-001; red-myco; needs I,K,U,G
*2: red-myco-002; red-myco; needs Y,C,K,P
*3: red-myco-003; red-myco; needs Z,F,N,B
*4: red-myco-004; red-myco; needs G,Q,B,V
*5: red-myco-005; red-myco; needs D,L,E,H
*6: red-myco-006; red-myco; needs V,H,F,N
*7: red-myco-007; red-myco; needs Q,W,F,B
*8: red-myco-008; red-myco; needs T,O,P,X
*9: red-myco-009; red-myco; needs W,M,F,U
*A: red-myco-010; red-myco; needs Y,I,O,W
*B: red-myco-011; red-myco; needs U,Q,B,K
*C: red-myco-012; red-myco; needs C,P,I,T
*D: red-myco-013; red-myco; needs M,K,B,Z
*E: red-myco-014; red-myco; needs I,A,V,M
*F: red-myco-015; red-myco; needs M,K,Q,I
*G: red-myco-016; red-myco; needs Q,B,Z,V
*H: red-myco-017; red-myco; needs Z,M,G,K
*I: red-myco-018; red-myco; needs E,U,R,B
*J: red-myco-019; red-myco; needs J,H,A,Q
*K: red-myco-020; red-myco; needs H,J,E,N
*L: red-myco-021; red-myco; needs P,C,I,T
*M: red-myco-022; red-myco; needs D,C,G,F
*N: red-myco-023; red-myco; needs O,V,N,F
*O: red-myco-024; red-myco; needs S,C,N,H
*P: red-myco-025; red-myco; needs P,S,C,H
*Q: red-myco-026; red-myco; needs Q,H,C,Y
A1: cell-a-001; produces A; needs I,X,L
A2: cell-a-002; produces A; needs W,I,M
A3: cell-a-003; produces A; needs K,V,C
