A1 K6 *O ## ## .. ## W2 K2 ## H7 R8 I1 X3 ## G3 V5 U4 *R
Z2 G4 O6 U5 .. .. *S *7 P5 .. L5 U2 .. D3 L3 E2 Z7 X2 ##
Q7 *4 ## ## X4 L8 M7 *F .. V8 ## ## ## GC K3 ## ## .. H2
I2 .. .. *6 *T H5 ## .. .. F1 C3 .. *1 .. *N .. .. *3 C2
W1 Y1 ## ## .. *V L1 A2 ## G7 E4 .. ## Q1 R4 ## ## .. D4
*8 V9 .. F3 P4 F4 ## Y4 ## Z8 S4 .. X1 ## .. Q2 B3 K5 M8
S2 Z3 GA T5 ## .. ## .. K1 U6 ## .. ## J2 J1 .. Z1 G2 F5
.. .. ## ## N5 ## O1 M3 O3 ## C6 .. .. P7 X5 L9 ## Q4 ##
T3 .. ## J7 M6 .. P2 L7 ## T6 O2 *U J6 N3 .. .. H4 *D *A
.. .. ## .. ## R2 *J V2 ## K4 .. A5 .. M4 V1 *L ## B1 ..
.. N7 .. Z4 *E Z6 .. G8 .. .. W3 ## .. ## C5 .. R5 Q3 I6
T7 N1 T1 .. A4 V4 *M .. N6 I3 .. F2 ## .. .. G5 N8 *H ..
.. *B *I H6 .. J4 D1 M2 *W ## ## U8 .. V6 .. Y3 E1 .. L4
I7 J5 R7 C4 ## U1 P6 .. G9 ## Q6 M5 .. .. P1 ## B2 *2 T4
T2 E3 .. M1 O4 .. I4 G1 .. .. P8 ## .. GB .. J3 D2 ## ##
## .. .. K8 F6 L2 S1 ## ## C1 ## B5 ## V3 P3 *9 ## *G ..
## A3 ## LA S3 ## *Y Y2 R6 *Z ## .. .. *X ## ## .. ## ..
I5 G6 K7 Q5 ## L6 *C A6 ## R3 M9 N4 *Q O5 U3 *P ## ## Z5
.. N2 .. ## .. ## H1 .. V7 *5 R1 .. H3 .. B4 U7 *K .. ##

Legend:
*1: red-myco-001; red-myco; needs F,R,H,P
*2: red-myco-002; red-myco; needs V,N,S,I
*3: red-myco-003; red-myco; needs D,Q,X,T
*4: red-myco-004; red-myco; needs T,W,U,Z
*5: red-myco-005; red-myco; needs K,D,N,E
*6: red-myco-006; red-myco; needs L,U,F,A
*7: red-myco-007; red-myco; needs D,F,E,R
*8: red-myco-008; red-myco; needs V,U,W,B
*9: red-myco-009; red-myco; needs F,Z,O,M
*A: red-myco-010; red-myco; needs X,O,F,C
*B: red-myco-011; red-myco; needs S,U,V,K
*C: red-myco-012; red-myco; needs R,G,H,V
*D: red-myco-013; red-myco; needs O,A,E,U
*E: red-myco-014; red-myco; needs T,S,Q,H
*F: red-myco-015; red-myco; needs Q,S,T,G
*G: red-myco-016; red-myco; needs I,U,T,L
*H: red-myco-017; red-myco; needs P,U,Q,H
*I: red-myco-018; red-myco; needs B,X,P,K
*J: red-myco-019; red-myco; needs O,N,M,Y
*K: red-myco-020; red-myco; needs R,U,D,K
*L: red-myco-021; red-myco; needs C,Y,W,E
*M: red-myco-022; red-myco; needs Z,U,W,H
*N: red-myco-023; red-myco; needs T,F,C,V
*O: red-myco-024; red-myco; needs S,X,L,I
*P: red-myco-025; red-myco; needs M,R,Q,V
*Q: red-myco-026; red-myco; needs S,Q,Y,C
*R: red-myco-027; red-myco; needs S,A,N,Y
*S: red-myco-028; red-myco; needs T,X,J,B
*T: red-myco-029; red-myco; needs F,O,G,C
*U: red-myco-030; red-myco; needs O,C,U,P
*V: red-myco-031; red-myco; needs P,O,N,A
*W: red-myco-032; red-myco; needs D,O,F,G
*X: red-myco-033; red-myco; needs F,A,Y,X
*Y: red-myco-034; red-myco; needs H,L,D,I
*Z: red-myco-035; red-myco; needs P,R,W,U
A1: cell-a-001; produces A; needs G,I,E
A2: cell-a-002; produces A; needs U,F,N
A3: cell-a-003; produces A; needs I,L,M
A4: cell-a-004; produces A; needs E,T,R
