## E3 S9 .. X1 GB ## W3 *6 ## M8 *3 LA ## ## ## V4 ## *Z D7
*P B2 *1 M9 T3 GA .. ## ## .. D1 W6 W4 N6 Z7 .. .. ## *K R5
E2 .. T7 .. H5 *B V5 ## Q2 .. ## C3 .. ## *F D5 .. ## *G ..
G9 .. .. M5 ## S5 ## .. ## D6 A1 B3 F3 O1 *A .. .. J1 .. ##
.. LC .. .. E6 .. ## ## B5 ## X2 .. ## ## F5 .. .. M6 LD ..
## S4 ## .. .. .. N7 *L G1 M4 L5 ## W5 .. E5 P3 G8 ## .. T6
X3 Z8 ## ## ## ## .. ## *I KB .. ## ## .. U3 *0 .. .. G3 Z1
L3 K3 I4 *9 O8 Z4 .. J3 K5 .. *W R3 ## .. X5 ## S2 ## *4 U2
.. *8 Z3 P2 B4 ## U5 .. E4 ## .. .. *Y Q5 ## ## ## O5 .. ##
K1 .. ## E7 R6 G5 F4 .. Q6 .. .. .. .. .. L1 D4 C4 ## A2 M7
## .. *C .. *N *Q Z5 H4 D3 .. F1 .. H6 M3 I3 M2 *J ## E1 ##
U6 ## H2 ## N2 H3 .. L6 V1 .. Y5 J2 KA .. ## .. R4 J5 J4 ..
D2 G4 F2 G2 Z6 P5 S7 ## ## *E ## Y4 ## *2 *T ## P1 ## .. X6
## *R G6 ## K7 .. C8 ## N5 Z2 N8 *c K2 *X O3 *H ## KD .. X7
.. *5 S8 L2 H7 *D H1 .. ## .. W2 Q4 C7 S1 J6 N4 .. .. *b ..
.. O7 ## K6 ## LB K8 C1 .. O4 Q7 T2 ## ## ## ## Y3 ## O2 A4
L4 K4 .. .. ## R2 L8 Q1 A5 T4 .. H8 .. A6 .. *7 ## KC L9 ..
N1 V2 C6 I5 T5 M1 .. *a U1 .. G7 *M ## LE *S D9 T1 ## I2 C5
B1 O6 V3 U8 Y1 S3 W1 .. K9 X4 R1 ## .. *U ## ## L7 *O *V P4
Y2 A3 .. U4 U7 .. S6 .. R7 ## ## Q3 I6 .. .. I1 N3 C2 .. D8

Legend:
*0: red-myco-036; red-myco; needs Z,E,C,A
*1: red-myco-001; red-myco; needs E,A,Q,B
*2: red-myco-002; red-myco; needs B,Q,J,N
*3: red-myco-003; red-myco; needs F,H,Y,V
*4: red-myco-004; red-myco; needs E,B,L,I
*5: red-myco-005; red-myco; needs H,O,J,M
*6: red-myco-006; red-myco; needs Q,T,A,P
*7: red-myco-007; red-myco; needs T,K,P,X
*8: red-myco-008; red-myco; needs X,W,I,K
*9: red-myco-009; red-myco; needs T,M,B,Z
*A: red-myco-010; red-myco; needs Z,R,U,F
*B: red-myco-011; red-myco; needs W,S,G,J
*C: red-myco-012; red-myco; needs W,Q,G,M
*D: red-myco-013; red-myco; needs Z,X,Q,L
*E: red-myco-014; red-myco; needs Z,D,K,S
*F: red-myco-015; red-myco; needs R,M,S,L
*G: red-myco-016; red-myco; needs L,P,A,B
*H: red-myco-017; red-myco; needs Y,S,Q,B
*I: red-myco-018; red-myco; needs S,M,U,W
*J: red-myco-019; red-myco; needs O,E,L,B
*K: red-myco-020; red-myco; needs Y,Z,B,O
*L: red-myco-021; red-myco; needs Z,S,F,J
*M: red-myco-022; red-myco; needs Q,V,X,W
*N: red-myco-023; red-myco; needs L,C,R,O
*O: red-myco-024; red-myco; needs K,T,G,I
*P: red-myco-025; red-myco; needs Y,D,A,Q
*Q: red-myco-026; red-myco; needs Y,E,J,H
*R: red-myco-027; red-myco; needs F,D,I,B
*S: red-myco-028; red-myco; needs F,Q,O,M
*T: red-myco-029; red-myco; needs A,N,E,J
*U: red-myco-030; red-myco; needs J,A,L,Y
*V: red-myco-031; red-myco; needs P,J,C,I
*W: red-myco-032; red-myco; needs Z,B,D,V
*X: red-myco-033; red-myco; needs J,D,L,C
*Y: red-myco-034; red-myco; needs J,R,T,G
*Z: red-myco-035; red-myco; needs X,U,Q,G
*a: red-myco-037; red-myco; needs X,Z,Q,J
*b: red-myco-038; red-myco; needs U,Q,C,O
*c: red-myco-039; red-myco; needs J,Y,K,R
A1: cell-a-001; produces A; needs C,E,K
A2: cell-a-002; produces A; needs R,S,G
A3: cell-a-003; produces A; needs O,W,N
