I1 P4 B9 K4 .. C3 .. .. E2 S4 .. J5 W4 M6 .. A4 ## .. ## W1
.. A6 *9 .. L2 .. *Q *5 PD E9 .. T1 ## M5 .. E7 ## U6 Z5 KC
O5 ## S2 Y2 R4 I4 K3 .. .. .. *b E3 Q3 .. *a F9 ## L1 .. K7
*2 .. ## D2 .. .. ## *C .. K8 F7 K9 .. .. U5 J3 .. .. U3 ##
P5 A1 O6 ## *I .. I3 T4 .. U4 ## ## .. R2 ## F5 .. .. Z1 ##
.. *S ## ## KA ## X2 CA .. ## K1 OA ## W5 *c .. V1 Q7 ## *V
E5 Z4 U2 *O G4 O4 Q4 L6 ## .. N3 ## BA .. .. O1 ## G2 G3 *F
## ## ## ## *Y M7 BB ## .. ## .. .. A5 ## PA H6 *D D3 .. ##
F4 O8 J6 .. *3 C5 *1 .. B1 *B B4 .. ## C1 ## *U W2 .. I5 ##
B3 ## .. ## R7 ## B6 S1 J4 *7 *8 T5 *0 ## .. FA .. Q2 E6 ..
.. ## ## U7 .. .. ## N2 BF PB ## ## ## F2 A3 ## *X K5 Z2 P6
C2 S7 *6 ## .. ## ## .. *E E4 .. BD *L B7 .. W7 L5 Z7 ## M8
.. P2 ## I6 ## S8 L3 M3 ## *M ## Q6 N7 *P B2 P8 *d Q1 *4 *J
J1 H8 H3 ## X5 S9 .. ## ## W8 KB C9 .. ## D4 B8 H4 .. X4 Z6
P3 K6 H7 *Z .. ## FB S6 ## *N BC .. U1 N6 .. ## .. O7 ## Y1
.. P9 Q5 ## BE .. .. H2 .. .. N4 ## .. ## H1 .. *K R1 R6 ##
A8 W3 ## ## ## .. S5 T3 C8 F3 .. *H P1 ## ## .. ## Z3 ## O2
A7 U8 R3 G1 V2 .. H5 M1 ## *G PC F1 .. C7 .. ## ## N8 N1 *T
K2 O3 C4 I2 ## D1 E8 ## .. ## D5 R5 *A O9 *R M2 Y3 X1 ## S3
.. F6 P7 W6 L4 X3 B5 .. A2 .. E1 M4 N5 F8 T2 .. *W C6 ## J2

Legend:
*0: red-myco-036; red-myco; needs W,F,P,U
*1: red-myco-001; red-myco; needs N,C,M,L
*2: red-myco-002; red-myco; needs C,Q,X,R
*3: red-myco-003; red-myco; needs M,H,I,K
*4: red-myco-004; red-myco; needs K,B,O,T
*5: red-myco-005; red-myco; needs M,W,E,T
*6: red-myco-006; red-myco; needs R,D,U,K
*7: red-myco-007; red-myco; needs A,C,R,P
*8: red-myco-008; red-myco; needs Y,X,P,T
*9: red-myco-009; red-myco; needs B,J,Y,E
*A: red-myco-010; red-myco; needs L,I,R,O
*B: red-myco-011; red-myco; needs E,H,G,A
*C: red-myco-012; red-myco; needs X,E,Y,P
*D: red-myco-013; red-myco; needs M,E,Q,Y
*E: red-myco-014; red-myco; needs J,U,S,D
*F: red-myco-015; red-myco; needs B,E,N,H
*G: red-myco-016; red-myco; needs L,A,N,Y
*H: red-myco-017; red-myco; needs O,B,C,V
*I: red-myco-018; red-myco; needs R,U,A,N
*J: red-myco-019; red-myco; needs I,W,C,X
*K: red-myco-020; red-myco; needs R,I,A,P
*L: red-myco-021; red-myco; needs C,Y,M,O
*M: red-myco-022; red-myco; needs K,I,S,F
*N: red-myco-023; red-myco; needs K,P,Y,R
*O: red-myco-024; red-myco; needs U,Q,B,L
*P: red-myco-025; red-myco; needs K,O,Q,S
*Q: red-myco-026; red-myco; needs C,F,N,U
*R: red-myco-027; red-myco; needs B,A,V,T
*S: red-myco-028; red-myco; needs T,V,H,W
*T: red-myco-029; red-myco; needs B,C,T,Q
*U: red-myco-030; red-myco; needs W,A,N,F
*V: red-myco-031; red-myco; needs X,S,F,R
*W: red-myco-032; red-myco; needs M,Q,H,Y
*X: red-myco-033; red-myco; needs Y,H,M,A
*Y: red-myco-034; red-myco; needs F,C,K,L
*Z: red-myco-035; red-myco; needs F,Q,D,A
*a: red-myco-037; red-myco; needs H,F,S,K
*b: red-myco-038; red-myco; needs A,N,D,V
*c: red-myco-039; red-myco; needs K,R,H,M
*d: red-myco-040; red-myco; needs G,V,N,Q
A1: cell-a-001; produces A; needs Q,R,E
A2: cell-a-002; produces A; needs B,Q,O
