## .. I4 *B S2 ## .. .. .. C1 K1 M3 ## N2 W3
*1 .. ## J5 *A E1 ## .. .. Z4 .. ## ## .. ##
Y3 .. .. T1 *C G2 H1 .. .. ## Q3 *6 X2 *D N1
F3 .. .. M5 .. U4 X1 J6 O3 .. K7 .. Z6 .. ..
## X3 U1 ## .. .. .. Q2 ## *K A1 Z5 ## B2 ##
I2 V1 Q1 *2 G6 .. *H V3 ## *E .. P2 L3 .. H2
.. Y5 D1 P1 R3 .. N3 K3 S1 Z3 U3 V2 .. W2 ..
.. A3 .. ## Q5 V5 K4 J3 F2 .. Y1 .. *3 *5 *G
.. E3 ## ## .. ## .. R2 ## .. O4 G3 ## .. ##
.. ## .. ## .. M1 I3 ## G5 ## ## Y4 .. *9 ..
L2 .. .. .. ## J4 .. ## C2 V4 Q6 J2 O1 ## D2
## *F ## .. J1 K2 B3 *4 *8 ## ## R1 .. .. ##
*7 U2 .. V6 .. ## B1 Y2 F1 .. M4 .. O2 S3 I1
K5 .. G1 R4 .. E2 ## ## Q4 .. D3 *I ## .. G4
## C3 .. W1 *J Z2 L1 .. .. A2 Z1 .. M2 W4 K6

Legend:
*1: red-myco-001; red-myco; needs A,B,K,H
*2: red-myco-002; red-myco; needs X,F,B,G
*3: red-myco-003; red-myco; needs H,W,M,O
*4: red-myco-004; red-myco; needs U,F,J,W
*5: red-myco-005; red-myco; needs C,P,X,M
*6: red-myco-006; red-myco; needs J,C,S,W
*7: red-myco-007; red-myco; needs O,R,C,V
*8: red-myco-008; red-myco; needs M,C,P,I
*9: red-myco-009; red-myco; needs L,M,D,E
*A: red-myco-010; red-myco; needs I,V,S,D
*B: red-myco-011; red-myco; needs L,Z,I,M
*C: red-myco-012; red-myco; needs D,N,T,Z
*D: red-myco-013; red-myco; needs K,N,X,D
*E: red-myco-014; red-myco; needs V,S,O,K
*F: red-myco-015; red-myco; needs D,J,R,E
*G: red-myco-016; red-myco; needs E,W,U,D
*H: red-myco-017; red-myco; needs N,S,R,E
*I: red-myco-018; red-myco; needs V,D,B,P
*J: red-myco-019; red-myco; needs G,H,U,Z
*K: red-myco-020; red-myco; needs O,H,K,A
A1: cell-a-001; produces A; needs N,B,W
A2: cell-a-002; produces A; needs E,D,K
A3: cell-a-003; produces A; needs Z,Y,J
B1: cell-b-001; produces B; needs Z,K,I
B2: cell-b-002; produces B; needs Z,U,G
B3: cell-b-003; produces B; needs D,X,W
C1: cell-c-001; produces C; needs U,J,R
C2: cell-c-002; produces C; needs U,S,V
C3: cell-c-003; produces C; needs D,U,Z
D1: cell-d-001; produces D; needs K,G,B
D2: cell-d-002; produces D; needs Z,E,J
D3: cell-d-003; produces D; needs W,J,U
E1: cell-e-001; produces E; needs O,H,Q
E2: cell-e-002; produces E; needs D,A,J
E3: cell-e-003; produces E; needs A,K,L
F1: cell-f-001; produces F; needs V,Q,L
