O4 *D .. RA .. T1 .. S1 .. ## D9 I2 .. Z2 .. C3 ## .. Q6 V4
BC .. .. .. F3 V3 *a *Q ## ## Q1 ## B4 D7 ## UB N1 *E ## R3
## N5 K6 ## ## *P Z4 R2 .. ## B7 J1 ## L1 Y3 *M UA ## S2 *U
M2 N7 *1 .. N6 *J ## U9 A4 *Y E2 *7 O2 D1 K7 E3 A3 *G I1 Y4
S4 ## C6 NA ## L2 K5 .. K8 W2 S5 ## .. X2 L3 *H ## Y6 BA V1
## GA A5 M1 K1 ## .. Y1 A9 .. .. ## Q4 M4 G9 ## ## Z5 O3 ##
O5 *T W7 *F L4 D2 W4 .. H1 .. D4 *X ## ## ## .. ## .. ## ..
.. C2 J2 K2 .. *K .. O7 .. *S U6 ## A7 W1 O1 V2 U2 ## T3 U3
## D8 C5 P1 ## .. D3 ## F1 ## A6 F2 X4 .. F4 GC ## B5 ## B3
B9 *8 .. .. .. J4 .. ## .. G6 .. .. I9 *L K4 ## H3 O6 R7 ##
## R1 B8 *2 G1 W5 YA .. W8 H4 Q3 .. Y5 .. Y8 Z3 E4 N3 U8 I4
T2 J5 G8 A8 .. .. .. *R ## .. T4 I7 N9 ## *5 W6 ## ## M3 V5
GB ## ## DA E1 Y7 .. .. .. X1 *A ## P3 I5 ## ## .. ## U1 U4
## ## ## S6 J3 ## L6 .. *9 .. ## .. U7 .. ## ## W3 Z1 C7 ##
I6 ## *b K3 G7 Y9 DC ## .. ## ## .. B2 L5 G4 D5 P2 ## .. ##
## .. ## *C Y2 U5 *6 .. A1 .. *B .. B1 .. DB S3 .. .. G2 *V
.. R8 H5 T5 ## .. .. .. RB *W H2 N8 C1 .. *N BB .. ## ## ..
## G3 *0 Q2 .. N4 ## ## *3 R5 B6 X3 R9 S7 I8 *4 .. *I V6 ##
R6 .. E5 .. .. .. *O A2 D6 N2 C4 .. .. Q5 ## R4 *Z ## G5 I3

Legend:
*0: red-myco-036; red-myco; needs S,W,E,Z
*1: red-myco-001; red-myco; needs J,G,Q,Z
*2: red-myco-002; red-myco; needs K,Q,L,V
*3: red-myco-003; red-myco; needs B,I,J,L
*4: red-myco-004; red-myco; needs Z,A,W,H
*5: red-myco-005; red-myco; needs P,H,O,L
*6: red-myco-006; red-myco; needs I,S,C,M
*7: red-myco-007; red-myco; needs S,J,H,Y
*8: red-myco-008; red-myco; needs I,X,E,V
*9: red-myco-009; red-myco; needs Z,A,K,Y
*A: red-myco-010; red-myco; needs V,D,U,J
*B: red-myco-011; red-myco; needs L,R,Q,G
*C: red-myco-012; red-myco; needs H,N,S,Z
*D: red-myco-013; red-myco; needs F,Z,K,O
*E: red-myco-014; red-myco; needs B,M,C,Y
*F: red-myco-015; red-myco; needs O,W,Y,H
*G: red-myco-016; red-myco; needs K,U,Z,V
*H: red-myco-017; red-myco; needs S,M,T,I
*I: red-myco-018; red-myco; needs S,L,B,E
*J: red-myco-019; red-myco; needs Z,E,P,Y
*K: red-myco-020; red-myco; needs V,Z,J,O
*L: red-myco-021; red-myco; needs L,B,T,W
*M: red-myco-022; red-myco; needs A,O,L,M
*N: red-myco-023; red-myco; needs O,N,A,Z
*O: red-myco-024; red-myco; needs Y,P,L,H
*P: red-myco-025; red-myco; needs J,P,C,B
*Q: red-myco-026; red-myco; needs R,B,J,T
*R: red-myco-027; red-myco; needs F,N,G,K
*S: red-myco-028; red-myco; needs X,L,Z,T
*T: red-myco-029; red-myco; needs E,K,Z,N
*U: red-myco-030; red-myco; needs H,Y,Z,G
*V: red-myco-031; red-myco; needs X,S,Q,K
*W: red-myco-032; red-myco; needs V,O,I,T
*X: red-myco-033; red-myco; needs Y,J,F,K
*Y: red-myco-034; red-myco; needs K,N,P,F
*Z: red-myco-035; red-myco; needs T,E,Z,V
*a: red-myco-037; red-myco; needs B,Y,U,S
*b: red-myco-038; red-myco; needs B,E,R,S
A1: cell-a-001; produces A; needs N,J,G
A2: cell-a-002; produces A; needs C,M,J
A3: cell-a-003; produces A; needs G,V,Q
A4: cell-a-004; produces A; needs Q,G,M
A5: cell-a-005; produces A; needs U,Z,P
A6: cell-a-006; produces A; needs X,Q,Z
A7: cell-a-007; produces A; needs C,I,S
A8: cell-a-008; produces A; needs F,Z,D
A9: cell-a-009; produces A; needs C,E,L
B1: cell-b-001; produces B; needs H,W,O
B2: cell-b-002; produces B; needs L,D,X
B3: cell-b-003; produces B; needs X,L,Y
B4: cell-b-004; produces B; needs R,H,N
B5: cell-b-005; produces B; needs N,J,R
B6: cell-b-006; produces B; needs U,I,P
B7: cell-b-007; produces B; needs Y,J,I
B8: cell-b-008; produces B; needs J,C,I
B9: cell-b-009; produces B; needs Z,Q,E
BA: cell-b-010; produces B; needs G,Y,N
BB: cell-b-011; produces B; needs T,I,O
BC: cell-b-012; produces B; needs Y,K,T
C1: cell-c-001; produces C; needs X,B,Y
C2: cell-c-002; produces C; needs J,A,F
C3: cell-c-003; produces C; needs B,I,T
C4: cell-c-004; produces C; needs Y,G,I
C5: cell-c-005; produces C; needs K,A,F
C6: cell-c-006; produces C; needs K,V,O
C7: cell-c-007; produces C; needs L,A,K
D1: cell-d-001; produces D; needs L,S,G
D2: cell-d-002; produces D; needs R,S,Z
D3: cell-d-003; produces D; needs Z,R,Y
D4: cell-d-004; produces D; needs X,G,B
D5: cell-d-005; produces D; needs G,K,Y
D6: cell-d-006; produces D; needs V,Q,L
D7: cell-d-007; produces D; needs Z,O,H
D8: cell-d-008; produces D; needs S,R,U
D9: cell-d-009; produces D; needs V,N,G
DA: cell-d-010; produces D; needs F,W,A
DB: cell-d-011; produces D; needs N,S,L
DC: cell-d-012; produces D; needs S,H,R
E1: cell-e-001; produces E; needs N,I,Y
E2: cell-e-002; produces E; needs I,V,K
E3: cell-e-003; produces E; needs U,G,H
E4: cell-e-004; produces E; needs G,Y,K
E5: cell-e-005; produces E; needs P,M,H
F1: cell-f-001; produces F; needs K,S,U
F2: cell-f-002; produces F; needs T,M,J
F3: cell-f-003; produces F; needs R,Q,U
F4: cell-f-004; produces F; needs D,A,Y
G1: cell-g-001; produces G; needs I,Q,E
G2: cell-g-002; produces G; needs A,K,X
G3: cell-g-003; produces G; needs E,U,S
G4: cell-g-004; produces G; needs N,Y,B
G5: cell-g-005; produces G; needs Z,N,A
G6: cell-g-006; produces G; needs Y,D,J
G7: cell-g-007; produces G; needs H,W,U
G8: cell-g-008; produces G; needs S,O,N
G9: cell-g-009; produces G; needs M,K,O
