W1 B7 P6 .. G3 .. .. P3 .. *5 ## *M ## P5 .. Q2 ##
B4 X1 *2 ## C2 .. L2 ## ## W3 ## O1 *H M1 D1 O3 ##
A2 *4 Q1 *F .. T3 ## R1 X2 B5 K4 ## .. .. N1 .. I4
.. J9 M7 Q5 M2 U4 .. ## J8 B6 V3 S4 .. Q4 ## *6 *C
.. P1 .. L4 *I X3 Q7 .. J1 ## ## J7 .. P4 V1 .. W5
*N S3 T6 F2 .. ## C4 .. M4 *P I1 G2 K3 Y3 ## Z2 *E
Q6 ## *A T5 ## U2 .. M3 ## C7 ## .. ## .. U3 ## ..
F1 C1 .. J5 P7 ## K5 J3 I2 ## F5 ## .. .. .. B2 L3
*O .. ## .. ## Y1 .. .. I3 J6 ## ## W2 Q3 C6 X4 M5
Y2 ## *7 *G ## .. ## ## G5 J2 .. ## T7 ## .. *J ##
.. .. F3 .. T2 S6 *K E1 ## .. C5 .. .. G1 Y4 D3 Q8
.. .. .. .. *8 T1 G6 .. V2 G4 .. *1 N3 *9 S5 ## ..
M6 ## F4 .. C3 .. S1 J4 .. .. .. ## A3 ## .. .. ##
.. K7 *3 .. .. ## R2 .. N2 .. L1 ## .. K1 .. B1 ..
*L *B H2 Z1 ## ## K6 .. T4 .. K2 A1 D2 .. H1 W4 F6
.. .. .. .. ## O2 Q9 B3 S2 ## U1 P2 W6 ## ## .. *D

Legend:
*1: red-myco-001; red-myco; needs P,W,T,Z
*2: red-myco-002; red-myco; needs E,D,P,T
*3: red-myco-003; red-myco; needs H,P,R,D
*4: red-myco-004; red-myco; needs Y,D,M,Z
*5: red-myco-005; red-myco; needs I,K,Q,Y
*6: red-myco-006; red-myco; needs R,J,Q,A
*7: red-myco-007; red-myco; needs D,Y,O,I
*8: red-myco-008; red-myco; needs K,F,S,B
*9: red-myco-009; red-myco; needs C,O,J,L
*A: red-myco-010; red-myco; needs K,O,Z,H
*B: red-myco-011; red-myco; needs L,O,W,F
*C: red-myco-012; red-myco; needs P,F,A,S
*D: red-myco-013; red-myco; needs I,D,T,C
*E: red-myco-014; red-myco; needs F,R,A,T
*F: red-myco-015; red-myco; needs K,C,M,B
*G: red-myco-016; red-myco; needs F,Z,D,R
*H: red-myco-017; red-myco; needs K,T,O,Q
*I: red-myco-018; red-myco; needs T,M,V,G
*J: red-myco-019; red-myco; needs W,R,M,G
*K: red-myco-020; red-myco; needs P,W,B,A
*L: red-myco-021; red-myco; needs T,G,O,K
*M: red-myco-022; red-myco; needs U,D,R,C
*N: red-myco-023; red-myco; needs R,I,Y,A
*O: red-myco-024; red-myco; needs G,E,O,F
*P: red-myco-025; red-myco; needs M,I,X,D
A1: cell-a-001; produces A; needs L,U,K
A2: cell-a-002; produces A; needs T,P,K
A3: cell-a-003; produces A; needs S,G,J
B1: cell-b-001; produces B; needs J,Y,T
B2: cell-b-002; produces B; needs T,J,Q
B3: cell-b-003; produces B; needs R,X,I
B4: cell-b-004; produces B; needs E,C,V
B5: cell-b-005; produces B; needs G,P,Z
B6: cell-b-006; produces B; needs Y,X,K
B7: cell-b-007; produces B; needs X,N,C
C1: cell-c-001; produces C; needs P,J,Q
C2: cell-c-002; produces C; needs T,R,H
C3: cell-c-003; produces C; needs R,J,W
C4: cell-c-004; produces C; needs K,P,T
C5: cell-c-005; produces C; needs S,T,M
C6: cell-c-006; produces C; needs B,E,L
C7: cell-c-007; produces C; needs S,Q,M
D1: cell-d-001; produces D; needs J,I,P
D2: cell-d-002; produces D; needs W,T,S
D3: cell-d-003; produces D; needs M,N,Q
E1: cell-e-001; produces E; needs V,B,T
F1: cell-f-001; produces F; needs M,T,R
F2: cell-f-002; produces F; needs G,O,X
F3: cell-f-003; produces F; needs T,L,P
F4: cell-f-004; produces F; needs W,U,L
F5: cell-f-005; produces F; needs J,K,T
F6: cell-f-006; produces F; needs A,K,N
G1: cell-g-001; produces G; needs N,S,I
G2: cell-g-002; produces G; needs X,F,B
G3: cell-g-003; produces G; needs L,Z,I
G4: cell-g-004; produces G; needs U,Q,A
G5: cell-g-005; produces G; needs D,B,Q
G6: cell-g-006; produces G; needs Q,M,H
H1: cell-h-001; produces H; needs P,T,J
H2: cell-h-002; produces H; needs F,Q,Y
I1: cell-i-001; produces I; needs D,A,J
I2: cell-i-002; produces I; needs H,L,T
I3: cell-i-003; produces I; needs L,K,E
I4: cell-i-004; produces I; needs L,O,M
