.. ## ## R4 *X ## ## ## W4 D5 Z2 W7 *W .. CC .. J8 *R .. ..
W9 Z1 K2 J6 S4 ## A3 S6 E5 ## .. L8 F8 .. *C .. ## .. ## H1
L2 CB ## *O .. F2 *P ## ## D6 W5 Q1 .. .. T8 .. ## *5 .. ##
J7 ## ## L7 F6 S3 J5 FA K1 .. F4 ## *B X3 .. .. F9 V6 ## ..
## .. ## *A V1 .. *Y J1 Q7 M6 .. ## L3 I3 H7 Z3 ## T6 .. K3
Q6 F5 .. H3 .. .. Z6 U4 .. M3 .. Q3 ## X1 T4 .. E4 P5 .. *3
## CA ## .. .. ## G3 M1 ## *V *F B6 .. ## .. V7 .. *a ## V4
R1 ## P7 Q5 T3 .. .. K6 *D *E M4 .. ## I2 ## *0 F7 .. .. P6
Z4 .. T5 U2 *Z ## .. .. ## P3 .. F3 .. Y3 Y4 I1 *2 ## G1 ##
.. C3 A1 R3 V2 .. B5 *6 *L Z8 BB .. X4 W3 H8 L5 .. *M .. ..
O4 ## L1 M2 Q4 ## C9 Y6 ## S2 D1 J2 WA .. .. .. U6 C5 K4 ##
## C1 B4 U1 ## .. ## .. K5 .. G4 P1 U3 E1 W6 C4 ## .. .. H5
C7 P4 G2 K7 .. .. .. *4 X2 A5 H9 ## ## ## *U R5 E3 .. Z5 U5
.. B2 U7 H6 Y1 ## *S .. ## .. F1 G5 B3 A4 ## *N P2 D4 *8 C2
B8 .. Q2 .. .. .. E2 X5 H4 D2 D8 .. T1 .. .. .. *9 V3 B9 *J
.. .. W2 .. ## .. .. .. ## G6 Z7 ## ## H2 *T ## D7 ## ## O2
*7 ## ## *K BA C6 T2 A8 ## L4 ## ## D3 A6 V5 .. X6 ## O1 *G
M5 N2 ## ## .. ## L6 ## Y5 S5 *H O3 ## ## J4 R2 W1 T7 *Q ##
N1 J3 ## ## *I B7 .. B1 S1 W8 A7 A2 N3 ## Y2 C8 .. *1 ## ..

Legend:
*0: red-myco-036; red-myco; needs T,J,X,H
*1: red-myco-001; red-myco; needs J,X,T,A
*2: red-myco-002; red-myco; needs F,J,D,I
*3: red-myco-003; red-myco; needs B,P,I,G
*4: red-myco-004; red-myco; needs H,G,E,K
*5: red-myco-005; red-myco; needs G,U,C,P
*6: red-myco-006; red-myco; needs Z,O,J,G
*7: red-myco-007; red-myco; needs W,Q,L,I
*8: red-myco-008; red-myco; needs R,T,A,F
*9: red-myco-009; red-myco; needs S,P,C,N
*A: red-myco-010; red-myco; needs U,L,C,R
*B: red-myco-011; red-myco; needs S,D,J,V
*C: red-myco-012; red-myco; needs V,L,S,U
*D: red-myco-013; red-myco; needs I,Q,F,H
*E: red-myco-014; red-myco; needs A,E,D,L
*F: red-myco-015; red-myco; needs L,U,M,V
*G: red-myco-016; red-myco; needs K,B,O,W
*H: red-myco-017; red-myco; needs Z,Y,H,A
*I: red-myco-018; red-myco; needs H,B,R,G
*J: red-myco-019; red-myco; needs T,B,L,E
*K: red-myco-020; red-myco; needs K,Y,E,I
*L: red-myco-021; red-myco; needs L,J,G,T
*M: red-myco-022; red-myco; needs T,I,M,S
*N: red-myco-023; red-myco; needs Y,Q,B,J
*O: red-myco-024; red-myco; needs N,I,Q,T
*P: red-myco-025; red-myco; needs T,G,L,Q
*Q: red-myco-026; red-myco; needs F,Z,L,D
*R: red-myco-027; red-myco; needs T,X,R,I
*S: red-myco-028; red-myco; needs Z,X,A,H
*T: red-myco-029; red-myco; needs X,S,P,A
*U: red-myco-030; red-myco; needs D,X,K,G
*V: red-myco-031; red-myco; needs M,G,Z,Q
*W: red-myco-032; red-myco; needs P,T,F,C
*X: red-myco-033; red-myco; needs N,M,Z,A
*Y: red-myco-034; red-myco; needs D,L,U,P
*Z: red-myco-035; red-myco; needs H,V,B,D
*a: red-myco-037; red-myco; needs K,M,W,L
A1: cell-a-001; produces A; needs S,Z,V
A2: cell-a-002; produces A; needs L,N,T
A3: cell-a-003; produces A; needs V,C,B
A4: cell-a-004; produces A; needs R,K,O
