.. H2 ## ## F3 ## L4 O4 .. ## U2 .. *9 .. .. M1 G2
## A4 ## ## *7 .. T6 D4 R2 .. .. ## C4 S9 ## .. C8
M4 Z3 E2 D1 .. I3 Y4 .. ## T7 *L M3 .. .. L6 .. ##
B3 .. Q2 B1 .. *5 .. .. X1 P3 *1 *4 .. S5 .. V1 *N
J2 C1 G1 .. J1 Z4 X3 *M .. A6 N3 P4 ## .. D5 .. K1
C9 ## *A .. P1 .. ## X4 A2 R1 R4 ## *J U3 N2 ## N1
A1 E1 ## .. .. .. .. *8 L2 T1 *F .. .. G3 *G A7 ..
M2 ## X2 S3 I2 .. .. U1 B7 *D E3 C3 .. O1 ## .. ..
## *B D2 .. ## ## .. S7 R3 .. W2 ## Z2 .. .. .. D3
.. ## Y1 .. ## .. .. *E .. *H *P V3 ## V2 N4 U5 ##
L1 S2 ## I1 S4 L3 *6 W3 ## Y2 T8 *K U4 .. ## ## L5
## Z1 .. .. ## .. *O S6 .. T4 ## .. N5 ## A3 O3 ##
B4 .. ## .. *I .. Y3 .. ## *C .. ## ## *2 TA *3 E4
## .. F2 ## F4 .. B6 F5 ## T5 S1 .. T3 C6 T9 T2 B2
## .. H3 CA ## C7 ## K2 ## C5 W1 Y5 S8 D6 ## H4 B5
## Z5 ## C2 ## P2 Q1 .. .. .. V4 Z6 F1 H1 .. A5 O2

Legend:
*1: red-myco-001; red-myco; needs M,S,Y,G
*2: red-myco-002; red-myco; needs K,H,M,J
*3: red-myco-003; red-myco; needs V,P,A,H
*4: red-myco-004; red-myco; needs D,R,L,G
*5: red-myco-005; red-myco; needs R,G,I,W
*6: red-myco-006; red-myco; needs L,O,W,Q
*7: red-myco-007; red-myco; needs V,B,Z,I
*8: red-myco-008; red-myco; needs F,O,B,N
*9: red-myco-009; red-myco; needs G,Z,Q,I
*A: red-myco-010; red-myco; needs K,X,U,P
*B: red-myco-011; red-myco; needs T,K,V,S
*C: red-myco-012; red-myco; needs P,K,E,L
*D: red-myco-013; red-myco; needs R,V,F,K
*E: red-myco-014; red-myco; needs A,F,T,O
*F: red-myco-015; red-myco; needs I,Y,C,T
*G: red-myco-016; red-myco; needs N,J,P,H
*H: red-myco-017; red-myco; needs Q,D,L,Y
*I: red-myco-018; red-myco; needs A,O,D,M
*J: red-myco-019; red-myco; needs J,A,T,U
*K: red-myco-020; red-myco; needs V,U,K,L
*L: red-myco-021; red-myco; needs B,J,O,Y
*M: red-myco-022; red-myco; needs T,I,J,P
*N: red-myco-023; red-myco; needs I,M,X,Q
*O: red-myco-024; red-myco; needs L,D,Q,X
*P: red-myco-025; red-myco; needs G,X,A,F
A1: cell-a-001; produces A; needs F,C,D
A2: cell-a-002; produces A; needs H,F,R
A3: cell-a-003; produces A; needs Z,X,E
A4: cell-a-004; produces A; needs E,Z,D
A5: cell-a-005; produces A; needs Z,U,Y
A6: cell-a-006; produces A; needs R,Q,J
A7: cell-a-007; produces A; needs P,D,X
B1: cell-b-001; produces B; needs H,D,Y
B2: cell-b-002; produces B; needs W,T,D
B3: cell-b-003; produces B; needs U,Y,K
B4: cell-b-004; produces B; needs A,O,D
B5: cell-b-005; produces B; needs E,L,X
B6: cell-b-006; produces B; needs U,S,N
B7: cell-b-007; produces B; needs U,J,E
C1: cell-c-001; produces C; needs A,H,F
C2: cell-c-002; produces C; needs K,R,L
C3: cell-c-003; produces C; needs R,T,L
C4: cell-c-004; produces C; needs W,X,I
C5: cell-c-005; produces C; needs N,P,Y
C6: cell-c-006; produces C; needs Z,K,T
C7: cell-c-007; produces C; needs I,V,L
C8: cell-c-008; produces C; needs M,O,D
