L8 ## .. W4 .. *D ## .. *6 Z5 I3 .. ## M2 J5 B3 K1 V1
J3 L3 J1 *3 ## .. A2 R6 L9 *P .. NA *L B2 .. .. .. L7
.. ## T9 O5 R4 S2 .. ## ## ## N7 ## .. .. ## *R *M T6
V4 *1 P2 ## .. ## .. .. E4 I7 H9 C1 ## ## ## .. ## N1
.. J2 ## D1 B6 .. .. *H U2 L1 D4 B5 ## N3 .. L2 *G ..
.. .. ## Y2 .. U1 I5 .. W5 Q1 .. .. ## .. .. .. H4 L5
## T5 E2 M1 H7 W2 H1 B4 *4 Y3 ## ## .. .. .. Q4 T8 D2
X1 T3 .. P1 H6 .. .. TB R1 .. N9 Y6 E3 ## I6 E6 ## Y5
.. W1 *I A1 L6 U3 .. .. R7 H3 ## T1 .. .. .. N4 ## ##
M3 *A *O ## *C Y4 O4 Q2 *2 .. .. *K L4 ## O2 G3 .. ..
## .. .. *9 G1 .. B1 ## .. ## X2 TA V3 E1 *N S1 ## ..
*B Z2 Z4 N6 .. ## V2 .. Q3 ## .. ## .. D3 .. .. C2 B7
.. ## .. ## P4 ## T7 H2 S3 P7 ## O3 *E .. ## I4 *S I1
## .. ## ## H5 .. ## .. ## NC I2 .. S6 O6 P6 *F S4 ..
Y1 .. R2 R3 F2 .. .. A4 S5 T4 ## *J .. ## .. ## .. A3
T2 U4 *7 G2 ## .. NB ## Z3 E5 .. W3 R5 .. *Q N2 ## U5
N5 F1 P5 P3 ## ## J4 O1 .. X3 *5 H8 ## N8 .. *8 ## Z1

Legend:
*1: red-myco-001; red-myco; needs J,D,U,T
*2: red-myco-002; red-myco; needs U,X,K,R
*3: red-myco-003; red-myco; needs O,E,B,S
*4: red-myco-004; red-myco; needs S,U,V,H
*5: red-myco-005; red-myco; needs Q,P,O,F
*6: red-myco-006; red-myco; needs P,A,I,Q
*7: red-myco-007; red-myco; needs A,F,V,O
*8: red-myco-008; red-myco; needs T,V,A,E
*9: red-myco-009; red-myco; needs A,T,G,L
*A: red-myco-010; red-myco; needs P,S,T,U
*B: red-myco-011; red-myco; needs B,P,V,N
*C: red-myco-012; red-myco; needs W,G,E,K
*D: red-myco-013; red-myco; needs U,E,Z,A
*E: red-myco-014; red-myco; needs I,P,A,B
*F: red-myco-015; red-myco; needs B,G,Z,P
*G: red-myco-016; red-myco; needs S,E,T,H
*H: red-myco-017; red-myco; needs V,C,L,Q
*I: red-myco-018; red-myco; needs T,O,S,V
*J: red-myco-019; red-myco; needs W,I,E,S
*K: red-myco-020; red-myco; needs A,W,H,U
*L: red-myco-021; red-myco; needs A,M,F,R
*M: red-myco-022; red-myco; needs E,B,O,K
*N: red-myco-023; red-myco; needs W,V,Z,C
*O: red-myco-024; red-myco; needs H,L,A,M
*P: red-myco-025; red-myco; needs Q,C,Z,Y
*Q: red-myco-026; red-myco; needs X,C,G,I
*R: red-myco-027; red-myco; needs S,I,J,D
*S: red-myco-028; red-myco; needs C,Y,R,F
A1: cell-a-001; produces A; needs T,V,P
A2: cell-a-002; produces A; needs U,N,T
A3: cell-a-003; produces A; needs U,I,D
A4: cell-a-004; produces A; needs O,T,Z
B1: cell-b-001; produces B; needs U,D,N
