R9 .. *O .. *7 L4 G7 .. ## I2 .. X8 .. O2 *Z .. .. T2 W2 G2
A1 V1 R6 .. ## .. .. .. ## ## Q3 .. ## Z2 U5 .. .. ## *L Z3
## X6 B9 K6 D2 ## ## .. Y3 A3 W5 S5 E2 KC U8 B1 V7 .. .. K1
J5 .. M5 J2 .. N3 .. .. KE J4 .. T1 U6 P9 *2 C4 B7 *P *S ##
R7 M6 *M I4 U9 ## ## *B A2 .. P8 O5 .. E3 *X ## Q1 J6 *1 ..
## G1 KD .. .. ## U4 ## J7 O6 X3 L3 .. *N KF K5 .. ## Z5 ..
## X2 *8 P5 U7 K9 K7 ## O9 ## .. C1 *6 .. C5 ## *0 ## .. ..
P2 J1 X1 .. M4 *F L2 G5 *Q R3 H1 V5 Y6 O1 *U ## ## I3 ## *W
.. .. ## W4 F5 Z1 ## *K P7 ## *5 P4 C6 .. F2 *R F1 M3 Q4 U1
V4 ## B6 E4 W1 .. .. D3 .. Y8 *J ## O7 P1 E5 V6 .. .. .. KB
.. ## D4 H3 ## Q2 .. H5 .. F4 ## M7 BB Z4 S3 .. .. L5 .. G9
.. ## ## ## .. ## KA .. ## ## *H T3 .. ## O3 F7 *A BA N1 G4
Y2 ## B5 ## ## ## *I .. *3 .. V3 *9 Y5 ## .. K3 .. Y4 ## Y7
## Z6 ## .. .. .. .. .. .. .. ## ## G6 *C *E ## X5 *V K8 ..
B2 S2 E1 ## G3 M8 X7 .. U2 P6 P3 M2 ## ## T4 .. R2 F6 R1 ..
## S1 V2 .. K2 *Y .. I1 B8 ## O4 O8 S6 ## ## D1 .. .. X4 H6
.. U3 ## *G .. .. ## N4 *T L1 Y1 H2 C3 X9 ## J3 R5 G8 F3 ..
C2 OA ## ## ## K4 I6 W3 ## ## ## .. .. .. .. ## .. ## ## ..
## S4 M1 R8 H4 .. B4 N2 .. .. .. ## ## *D *4 I5 .. R4 E6 B3

Legend:
*0: red-myco-036; red-myco; needs F,E,Z,T
*1: red-myco-001; red-myco; needs Q,M,X,B
*2: red-myco-002; red-myco; needs A,G,J,D
*3: red-myco-003; red-myco; needs M,N,H,G
*4: red-myco-004; red-myco; needs X,K,Q,F
*5: red-myco-005; red-myco; needs W,T,M,D
*6: red-myco-006; red-myco; needs Q,Z,S,U
*7: red-myco-007; red-myco; needs H,N,O,V
*8: red-myco-008; red-myco; needs L,W,R,I
*9: red-myco-009; red-myco; needs F,K,M,J
*A: red-myco-010; red-myco; needs K,A,U,F
*B: red-myco-011; red-myco; needs L,B,R,X
*C: red-myco-012; red-myco; needs B,R,N,K
*D: red-myco-013; red-myco; needs L,E,W,H
*E: red-myco-014; red-myco; needs G,I,L,R
*F: red-myco-015; red-myco; needs Q,D,E,C
*G: red-myco-016; red-myco; needs V,B,X,H
*H: red-myco-017; red-myco; needs M,Z,N,K
*I: red-myco-018; red-myco; needs B,R,J,A
*J: red-myco-019; red-myco; needs U,I,A,T
*K: red-myco-020; red-myco; needs U,B,R,E
*L: red-myco-021; red-myco; needs G,D,E,A
*M: red-myco-022; red-myco; needs R,J,P,Y
*N: red-myco-023; red-myco; needs G,W,M,I
*O: red-myco-024; red-myco; needs K,T,F,C
*P: red-myco-025; red-myco; needs S,G,K,T
*Q: red-myco-026; red-myco; needs N,U,C,V
*R: red-myco-027; red-myco; needs N,X,H,L
*S: red-myco-028; red-myco; needs G,O,N,F
*T: red-myco-029; red-myco; needs D,F,L,I
*U: red-myco-030; red-myco; needs F,Y,Z,D
*V: red-myco-031; red-myco; needs T,O,A,Z
*W: red-myco-032; red-myco; needs A,U,E,G
*X: red-myco-033; red-myco; needs I,U,M,Y
*Y: red-myco-034; red-myco; needs K,F,J,E
*Z: red-myco-035; red-myco; needs L,G,T,H
A1: cell-a-001; produces A; needs B,J,K
A2: cell-a-002; produces A; needs K,S,Q
A3: cell-a-003; produces A; needs G,J,O
B1: cell-b-001; produces B; needs K,Q,N
B2: cell-b-002; produces B; needs H,Q,G
B3: cell-b-003; produces B; needs U,K,P
B4: cell-b-004; produces B; needs K,T,X
B5: cell-b-005; produces B; needs M,F,K
