X4 K1 O5 O3 *Q T6 Z4 P1 .. L6 *K .. ## ## Z1 ## .. ##
## H5 .. .. ## D3 K3 .. ## .. .. *A ## D4 *8 ## .. ..
C5 O4 T5 I8 *1 I5 *N L2 .. ## ## F7 U1 I3 *W .. I6 ..
M6 ## M7 .. A3 Q2 ## ## .. ## .. S4 ## *O ## ## X8 G3
## ## .. X1 K5 O1 N3 S5 *C I7 F1 *G .. A5 T3 *V .. *B
## .. .. *D K6 Z9 K7 U3 L5 E8 ## ## M4 R4 X6 .. *S ##
## *P Z5 Y2 WA E6 ## T2 .. ## ## ## F4 K8 ## .. I4 ..
## ## A4 P4 .. .. P8 .. *5 ## Z3 W8 EA W9 PA P6 M3 ..
S3 *T F6 ## .. .. *6 *J G1 ZA .. *9 ## .. H4 S6 W6 E5
X3 .. .. .. W4 .. .. ## E2 P2 .. P9 ## .. D1 E7 M1 P7
L3 J2 J1 .. .. S2 ## V1 E4 *7 S1 G2 EB N2 ## .. ## ##
M9 D7 .. W3 *3 R3 W2 G4 ## Y1 H1 O2 *I .. R5 H2 WB ..
## .. ## C2 ## *U *4 .. E1 F5 X5 L1 .. C1 M8 M5 D6 ..
.. K4 ## .. Z6 *L .. E9 *F D2 W7 F2 ## .. D5 *M T7 K2
C4 Y4 ## .. .. *H .. ## I1 A2 .. R1 ## ## F3 .. ## ##
*E ## .. A1 P3 X2 Z7 Z8 Q1 E3 .. B2 .. ## Q3 R2 .. ##
## ## .. V3 ## T4 *R ## *2 T1 H3 .. ## W1 T8 .. .. N1
U2 P5 ## I2 W5 C3 B1 .. M2 V2 X7 ## L4 Y3 ## Z2 V4 V5

Legend:
*1: red-myco-001; red-myco; needs E,X,R,W
*2: red-myco-002; red-myco; needs R,X,D,M
*3: red-myco-003; red-myco; needs Q,I,F,K
*4: red-myco-004; red-myco; needs Y,B,V,N
*5: red-myco-005; red-myco; needs L,R,D,Z
*6: red-myco-006; red-myco; needs U,V,R,Y
*7: red-myco-007; red-myco; needs U,K,X,F
*8: red-myco-008; red-myco; needs O,I,V,Q
*9: red-myco-009; red-myco; needs Q,N,B,C
*A: red-myco-010; red-myco; needs X,F,A,B
*B: red-myco-011; red-myco; needs S,J,T,R
*C: red-myco-012; red-myco; needs I,J,Z,X
*D: red-myco-013; red-myco; needs J,E,I,B
*E: red-myco-014; red-myco; needs R,A,I,B
*F: red-myco-015; red-myco; needs I,P,U,Y
*G: red-myco-016; red-myco; needs N,A,P,I
*H: red-myco-017; red-myco; needs W,N,B,L
*I: red-myco-018; red-myco; needs V,J,Q,U
*J: red-myco-019; red-myco; needs Q,U,K,N
*K: red-myco-020; red-myco; needs L,J,D,Y
*L: red-myco-021; red-myco; needs W,H,F,C
*M: red-myco-022; red-myco; needs N,X,L,H
*N: red-myco-023; red-myco; needs U,C,Y,I
*O: red-myco-024; red-myco; needs J,E,A,H
*P: red-myco-025; red-myco; needs J,T,K,E
*Q: red-myco-026; red-myco; needs E,J,Z,I
*R: red-myco-027; red-myco; needs S,I,E,F
*S: red-myco-028; red-myco; needs M,H,I,J
*T: red-myco-029; red-myco; needs X,B,F,Y
*U: red-myco-030; red-myco; needs A,L,H,G
*V: red-myco-031; red-myco; needs R,Y,I,X
*W: red-myco-032; red-myco; needs B,C,O,Z
A1: cell-a-001; produces A; needs I,F,D
A2: cell-a-002; produces A; needs I,R,M
A3: cell-a-003; produces A; needs S,U,F
A4: cell-a-004; produces A; needs Q,G,B
A5: cell-a-005; produces A; needs V,N,P
B1: cell-b-001; produces B; needs U,V,W
B2: cell-b-002; produces B; needs C,S,E
C1: cell-c-001; produces C; needs T,B,M
C2: cell-c-002; produces C; needs V,G,B
C3: cell-c-003; produces C; needs S,B,N
C4: cell-c-004; produces C; needs P,H,J
C5: cell-c-005; produces C; needs I,Z,T
D1: cell-d-001; produces D; needs K,L,I
D2: cell-d-002; produces D; needs X,I,M
D3: cell-d-003; produces D; needs Z,V,F
D4: cell-d-004; produces D; needs E,X,K
D5: cell-d-005; produces D; needs Z,K,I
D6: cell-d-006; produces D; needs P,J,M
D7: cell-d-007; produces D; needs P,O,A
E1: cell-e-001; produces E; needs O,U,T
E2: cell-e-002; produces E; needs U,O,M
E3: cell-e-003; produces E; needs K,D,M
E4: cell-e-004; produces E; needs U,K,A
E5: cell-e-005; produces E; needs S,L,B
E6: cell-e-006; produces E; needs S,C,F
E7: cell-e-007; produces E; needs H,J,W
E8: cell-e-008; produces E; needs V,R,Y
E9: cell-e-009; produces E; needs Z,N,X
EA: cell-e-010; produces E; needs Y,T,X
EB: cell-e-011; produces E; needs Y,C,Z
F1: cell-f-001; produces F; needs Z,D,V
F2: cell-f-002; produces F; needs Z,M,N
F3: cell-f-003; produces F; needs V,W,U
F4: cell-f-004; produces F; needs W,L,P
F5: cell-f-005; produces F; needs P,S,Z
F6: cell-f-006; produces F; needs I,W,O
F7: cell-f-007; produces F; needs S,R,G
G1: cell-g-001; produces G; needs A,P,Q
G2: cell-g-002; produces G; needs P,V,X
G3: cell-g-003; produces G; needs C,T,V
G4: cell-g-004; produces G; needs W,E,L
H1: cell-h-001; produces H; needs X,P,K
H2: cell-h-002; produces H; needs K,X,Y
H3: cell-h-003; produces H; needs I,L,X
H4: cell-h-004; produces H; needs Y,Z,O
H5: cell-h-005; produces H; needs T,X,E
I1: cell-i-001; produces I; needs X,K,T
I2: cell-i-002; produces I; needs D,A,X
I3: cell-i-003; produces I; needs M,A,R
I4: cell-i-004; produces I; needs T,J,K
I5: cell-i-005; produces I; needs K,E,D
I6: cell-i-006; produces I; needs J,S,M
I7: cell-i-007; produces I; needs X,H,M
I8: cell-i-008; produces I; needs O,F,Q
J1: cell-j-001; produces J; needs E,P,H
J2: cell-j-002; produces J; needs R,P,F
K1: cell-k-001; produces K; needs I,D,E
K2: cell-k-002; produces K; needs H,N,Z
K3: cell-k-003; produces K; needs M,E,R
K4: cell-k-004; produces K; needs F,T,W
K5: cell-k-005; produces K; needs E,S,U
K6: cell-k-006; produces K; needs X,T,R
K7: cell-k-007; produces K; needs D,I,Z
