*B H3 ## I2 B2 N4 GC O9 F5 V9 ## ## E7 Z8 ## *3 .. ## ## X2
.. *K Z6 S2 .. G6 .. *a X1 B4 T7 .. .. F9 .. *J C4 *8 J6 *N
Y7 .. K7 V2 ## D2 P4 .. K6 .. .. F4 M1 L4 W4 U1 .. ## L2 ..
.. .. .. F2 ## ## .. *6 ## *U JA ## J7 I6 F1 Z1 J5 *7 ## ..
W2 D9 G9 ## .. SC ## *T ## H6 *O ## ## A7 ## K9 C1 ## S4 R8
L1 P6 *E .. Q3 T8 *F *Y R4 C7 .. SA ## H7 ## ## S8 X4 O7 F6
## R3 U5 ## *c C5 *M S9 .. O6 W1 G7 T3 L5 V6 Q1 D7 R6 *2 A6
.. ## ## J1 ZA .. ## ## .. GB ## .. ## L3 .. V5 ## R1 *9 D5
.. .. N6 *I ## ## D3 A3 .. .. T5 ## ## ## Y3 S6 ## Q2 E4 J9
## Z4 .. T6 V8 *C P7 ## O3 ## V4 .. X3 R5 .. *5 O2 S7 N9 N5
G5 ## .. F8 .. T4 T1 .. I7 U2 ## P2 *D ## .. K8 .. .. ## A2
E3 *S S5 .. .. .. ## A4 H1 F3 *Z .. ## R7 E1 G2 L6 G8 J2 ..
*4 ## .. H2 ## E6 ## .. ## ## B3 K2 ## .. T2 O4 I8 D1 N3 ##
Y2 S3 .. .. ## Z5 ## M2 W6 ## ## C6 .. *d ## *0 A1 H5 N7 ..
## ## *X W5 .. P3 P5 ## J8 *V ## .. .. ## C2 P1 V7 .. ## *L
## Y5 Y4 .. .. K3 ## .. M3 J3 U3 .. W3 Z9 .. F7 G1 .. N8 N2
## D4 P8 G3 Q5 .. .. *H SB .. GA Q6 J4 I3 .. U4 O8 ## Y6 ##
H8 ## ## .. ## ## *Q V1 I5 .. V3 D6 N1 *1 B1 .. ## .. C3 I1
*R G4 Z3 Z2 .. *b .. .. .. O5 .. E2 S1 M4 D8 K5 Z7 K4 *P *G
E5 ## *W Y1 W7 I4 A5 ## .. ## *A R2 .. Q4 K1 H4 ## ## O1 ..

Legend:
*0: red-myco-036; red-myco; needs O,Z,N,B
*1: red-myco-001; red-myco; needs E,N,L,S
*2: red-myco-002; red-myco; needs Z,X,G,S
*3: red-myco-003; red-myco; needs Q,D,W,E
*4: red-myco-004; red-myco; needs Y,T,M,R
*5: red-myco-005; red-myco; needs H,I,B,O
*6: red-myco-006; red-myco; needs B,Q,J,D
*7: red-myco-007; red-myco; needs S,W,Q,P
*8: red-myco-008; red-myco; needs T,I,R,D
*9: red-myco-009; red-myco; needs N,T,S,P
*A: red-myco-010; red-myco; needs Z,W,R,Y
*B: red-myco-011; red-myco; needs P,I,U,X
*C: red-myco-012; red-myco; needs T,E,Y,I
*D: red-myco-013; red-myco; needs I,C,T,E
*E: red-myco-014; red-myco; needs N,O,M,K
*F: red-myco-015; red-myco; needs S,W,B,L
*G: red-myco-016; red-myco; needs B,H,G,A
*H: red-myco-017; red-myco; needs V,F,B,M
*I: red-myco-018; red-myco; needs B,F,R,Y
*J: red-myco-019; red-myco; needs N,K,M,U
*K: red-myco-020; red-myco; needs M,I,X,U
*L: red-myco-021; red-myco; needs J,Z,B,C
*M: red-myco-022; red-myco; needs Y,P,T,Z
*N: red-myco-023; red-myco; needs P,X,L,C
*O: red-myco-024; red-myco; needs A,M,Z,B
*P: red-myco-025; red-myco; needs R,K,Q,T
*Q: red-myco-026; red-myco; needs Z,W,O,G
*R: red-myco-027; red-myco; needs O,I,G,E
*S: red-myco-028; red-myco; needs Y,D,B,Q
*T: red-myco-029; red-myco; needs S,R,M,T
*U: red-myco-030; red-myco; needs G,V,K,Q
*V: red-myco-031; red-myco; needs M,G,Q,T
*W: red-myco-032; red-myco; needs R,C,J,Y
*X: red-myco-033; red-myco; needs K,U,X,T
*Y: red-myco-034; red-myco; needs M,K,L,A
*Z: red-myco-035; red-myco; needs D,E,O,J
*a: red-myco-037; red-myco; needs V,H,S,G
*b: red-myco-038; red-myco; needs I,K,O,M
*c: red-myco-039; red-myco; needs X,E,P,R
*d: red-myco-040; red-myco; needs K,J,Y,F
A1: cell-a-001; produces A; needs T,G,H
A2: cell-a-002; produces A; needs H,T,O
A3: cell-a-003; produces A; needs O,E,W
A4: cell-a-004; produces A; needs M,Y,W
A5: cell-a-005; produces A; needs I,K,P
A6: cell-a-006; produces A; needs Y,K,L
A7: cell-a-007; produces A; needs G,F,H
B1: cell-b-001; produces B; needs S,R,O
B2: cell-b-002; produces B; needs U,Y,J
B3: cell-b-003; produces B; needs Y,L,J
B4: cell-b-004; produces B; needs Z,L,X
C1: cell-c-001; produces C; needs I,K,E
C2: cell-c-002; produces C; needs I,K,M
C3: cell-c-003; produces C; needs K,E,A
C4: cell-c-004; produces C; needs L,I,D
C5: cell-c-005; produces C; needs O,T,D
C6: cell-c-006; produces C; needs P,V,Q
C7: cell-c-007; produces C; needs R,H,G
D1: cell-d-001; produces D; needs G,J,S
D2: cell-d-002; produces D; needs S,G,Q
D3: cell-d-003; produces D; needs H,V,P
D4: cell-d-004; produces D; needs Z,M,F
D5: cell-d-005; produces D; needs N,L,Z
D6: cell-d-006; produces D; needs T,P,L
D7: cell-d-007; produces D; needs V,Z,O
D8: cell-d-008; produces D; needs F,Y,X
D9: cell-d-009; produces D; needs S,Q,H
E1: cell-e-001; produces E; needs A,J,O
E2: cell-e-002; produces E; needs M,Z,V
E3: cell-e-003; produces E; needs P,T,N
E4: cell-e-004; produces E; needs C,J,K
E5: cell-e-005; produces E; needs S,I,X
E6: cell-e-006; produces E; needs I,G,Z
E7: cell-e-007; produces E; needs J,G,O
