J4 ## L2 .. .. M1 .. P2 B3 .. ## ## L1 .. L4
F2 ## O3 Q4 .. R1 ## .. .. H1 E3 V3 *C E5 ##
## F6 .. *7 ## S3 .. O1 V2 *E *2 ## .. ## ##
## .. U4 ## E1 K2 E4 .. X2 .. L3 B4 ## T1 ..
N2 .. .. *8 .. U2 .. ## J3 .. .. .. Y2 N4 N1
.. *F *1 S2 F4 V1 .. T5 .. *A G2 Q1 .. *6 ..
.. ## .. A2 .. *B .. *4 *3 C1 ## N5 W1 Y3 *H
B5 ## N3 .. I1 .. ## .. H2 .. Y5 ## *5 ## P3
## I2 .. .. ## .. D1 B7 Y1 *D B6 X3 X4 ## ##
.. G3 G1 F3 ## T3 F1 .. ## E2 U1 ## K1 U3 Q2
## .. R2 D2 Z1 .. ## .. K3 Y4 .. ## ## S1 J1
.. J2 ## R3 .. T6 I3 .. .. .. *9 .. .. .. U5
.. Q5 .. *I B1 P1 M2 T2 .. .. O4 .. X1 .. ..
## .. .. *G ## O2 ## T4 Q6 A1 Z2 Q3 F5 B2 ##

Legend:
*1: red-myco-001; red-myco; needs S,O,G,C
*2: red-myco-002; red-myco; needs A,J,F,B
*3: red-myco-003; red-myco; needs W,U,E,G
*4: red-myco-004; red-myco; needs E,V,M,A
*5: red-myco-005; red-myco; needs R,I,L,D
*6: red-myco-006; red-myco; needs O,F,J,K
*7: red-myco-007; red-myco; needs T,Q,F,H
*8: red-myco-008; red-myco; needs V,E,A,W
*9: red-myco-009; red-myco; needs Y,G,H,B
*A: red-myco-010; red-myco; needs N,L,Z,S
*B: red-myco-011; red-myco; needs P,B,Q,H
*C: red-myco-012; red-myco; needs D,C,K,O
*D: red-myco-013; red-myco; needs G,W,Z,Y
*E: red-myco-014; red-myco; needs G,O,V,H
*F: red-myco-015; red-myco; needs X,D,U,C
*G: red-myco-016; red-myco; needs R,B,P,O
*H: red-myco-017; red-myco; needs H,X,Y,S
*I: red-myco-018; red-myco; needs F,R,D,I
A1: cell-a-001; produces A; needs Q,S,B
A2: cell-a-002; produces A; needs B,R,Z
B1: cell-b-001; produces B; needs F,V,Y
B2: cell-b-002; produces B; needs N,Q,E
B3: cell-b-003; produces B; needs G,N,F
B4: cell-b-004; produces B; needs G,D,W
B5: cell-b-005; produces B; needs D,P,Y
B6: cell-b-006; produces B; needs Z,A,X
B7: cell-b-007; produces B; needs F,T,P
C1: cell-c-001; produces C; needs M,T,J
D1: cell-d-001; produces D; needs B,L,V
D2: cell-d-002; produces D; needs E,X,I
E1: cell-e-001; produces E; needs G,J,F
E2: cell-e-002; produces E; needs M,T,V
E3: cell-e-003; produces E; needs G,N,S
E4: cell-e-004; produces E; needs G,Y,U
E5: cell-e-005; produces E; needs I,D,Z
F1: cell-f-001; produces F; needs T,G,X
F2: cell-f-002; produces F; needs J,Q,E
F3: cell-f-003; produces F; needs I,S,N
