## J8 E5 VA ## W3 L5 ## ## .. J4 ## I6 .. S4 .. ## .. ## I1
.. K5 ## .. ## L3 .. T6 P4 J1 X2 Y2 ## *9 K3 ## S2 *P R3 ..
Q7 A2 .. .. ## L2 *H ## M2 *c .. ## *6 ## X1 ## ## Q9 X5 X6
.. .. .. .. ## ## .. L6 .. *4 ## ## .. .. K2 X7 ## .. Y3 M5
*T .. *5 G4 .. B2 W2 .. B4 ## ## .. .. C4 V4 *R .. A4 V5 *Z
Q2 Y4 F9 V7 .. ## .. .. .. B6 O4 S3 N2 *M T2 F3 H4 R1 .. ##
.. E2 ## ## *S ## .. R4 .. ## U1 Z5 U2 .. F2 O2 .. D2 *V ##
## N3 W7 ## ## VB T5 *b BA K7 H6 .. .. ## .. H3 D5 *8 E4 ##
## Z4 W1 *N *a ## V3 ## .. W4 WC A5 C2 *Y ## F6 ## ## *G QA
WA J9 QC *J H5 ## R5 T3 .. W9 *B C6 ## A3 WE ## F7 Q3 ## N1
## .. *3 X8 WD ## .. ## .. P2 R2 .. .. Q8 G1 L1 ## B8 N4 ##
.. *U D4 .. .. I3 .. I2 .. W5 ## .. *C S1 H1 .. D3 V8 *O O6
M1 A7 L7 .. F5 Z1 J5 V2 O5 ## J3 G8 .. Z7 .. J7 Z3 .. E7 X9
O1 .. ## W6 Q6 *2 ## ## .. *K Y5 *L I5 .. O3 K6 ## Z2 ## X3
M4 .. B1 .. *X ## F8 M6 W8 ## ## *W *Q A1 X4 .. B9 J2 *0 P3
.. ## I4 B7 WB L4 ## L8 E6 K4 .. H2 D1 *F J6 U3 F4 B5 ## ..
S7 ## *A G7 C1 A6 Y1 K1 ## T4 *I F1 FA Q5 *7 ## I7 .. ## QB
## .. .. *1 .. ## P5 P1 N5 BB Q1 .. .. .. .. .. O7 ## .. B3
S6 .. .. C5 *D Z6 G3 G2 .. .. JA ## C3 G5 .. G6 .. .. E3 ..
## Q4 BC ## *E ## S5 ## .. ## M3 ## V9 .. .. E1 V6 T1 Y6 V1

Legend:
*0: red-myco-036; red-myco; needs N,Y,M,B
*1: red-myco-001; red-myco; needs P,Z,U,A
*2: red-myco-002; red-myco; needs Q,G,T,J
*3: red-myco-003; red-myco; needs V,A,Z,C
*4: red-myco-004; red-myco; needs Z,J,L,E
*5: red-myco-005; red-myco; needs J,T,I,A
*6: red-myco-006; red-myco; needs Y,N,C,S
*7: red-myco-007; red-myco; needs G,T,K,Y
*8: red-myco-008; red-myco; needs Q,J,C,Z
*9: red-myco-009; red-myco; needs W,L,Y,J
*A: red-myco-010; red-myco; needs Y,U,R,B
*B: red-myco-011; red-myco; needs N,K,A,B
*C: red-myco-012; red-myco; needs J,P,W,S
*D: red-myco-013; red-myco; needs Y,O,W,U
*E: red-myco-014; red-myco; needs Y,A,P,R
*F: red-myco-015; red-myco; needs W,J,L,B
*G: red-myco-016; red-myco; needs K,H,F,R
*H: red-myco-017; red-myco; needs L,R,X,C
*I: red-myco-018; red-myco; needs F,U,Y,K
*J: red-myco-019; red-myco; needs L,Q,G,K
*K: red-myco-020; red-myco; needs K,J,Z,Q
*L: red-myco-021; red-myco; needs T,E,I,H
*M: red-myco-022; red-myco; needs H,Q,F,X
*N: red-myco-023; red-myco; needs M,Z,C,I
*O: red-myco-024; red-myco; needs R,K,B,Z
*P: red-myco-025; red-myco; needs K,F,Y,O
*Q: red-myco-026; red-myco; needs T,V,G,M
*R: red-myco-027; red-myco; needs F,R,I,S
*S: red-myco-028; red-myco; needs D,Z,M,T
*T: red-myco-029; red-myco; needs G,Q,N,R
*U: red-myco-030; red-myco; needs C,I,N,J
*V: red-myco-031; red-myco; needs D,X,G,M
*W: red-myco-032; red-myco; needs A,D,J,Z
*X: red-myco-033; red-myco; needs R,J,M,G
*Y: red-myco-034; red-myco; needs Y,L,R,K
*Z: red-myco-035; red-myco; needs M,N,T,Q
*a: red-myco-037; red-myco; needs V,M,H,B
*b: red-myco-038; red-myco; needs F,T,Y,E
*c: red-myco-039; red-myco; needs Y,N,P,F
A1: cell-a-001; produces A; needs C,S,W
A2: cell-a-002; produces A; needs W,G,J
A3: cell-a-003; produces A; needs V,Y,S
A4: cell-a-004; produces A; needs V,Z,B
A5: cell-a-005; produces A; needs B,Y,Q
A6: cell-a-006; produces A; needs M,T,Q
A7: cell-a-007; produces A; needs V,F,H
B1: cell-b-001; produces B; needs T,J,S
B2: cell-b-002; produces B; needs C,D,G
B3: cell-b-003; produces B; needs N,V,K
B4: cell-b-004; produces B; needs W,R,M
B5: cell-b-005; produces B; needs Q,S,E
B6: cell-b-006; produces B; needs W,Q,M
B7: cell-b-007; produces B; needs O,J,K
B8: cell-b-008; produces B; needs Q,H,K
B9: cell-b-009; produces B; needs Q,A,Z
BA: cell-b-010; produces B; needs Q,J,Y
BB: cell-b-011; produces B; needs K,Z,D
BC: cell-b-012; produces B; needs R,J,Q
C1: cell-c-001; produces C; needs I,T,O
C2: cell-c-002; produces C; needs W,Z,Y
C3: cell-c-003; produces C; needs E,F,J
C4: cell-c-004; produces C; needs R,Y,B
C5: cell-c-005; produces C; needs S,D,Z
