## Q6 .. .. .. H3 ## ## M8 LC *M M4 ## .. S2 C3 .. *L I2 Y2
*4 L9 P8 .. T5 .. ## .. U6 *b ## K5 .. ## .. R6 .. ## N5 I1
.. *S ## .. U3 .. R2 C2 *V .. *7 F7 *D P3 C1 .. .. S4 J3 LG
W7 D8 *9 .. .. J4 X1 *K ## B7 F8 B1 R1 ## .. ## .. F6 N1 G9
## W4 W5 P1 .. H8 A3 N3 W6 ## .. LE ## N2 .. ## ## *H G1 A4
Y4 .. *A S1 *6 .. K3 G4 ## ## D2 .. *0 *X W3 .. .. *P K1 LD
.. O2 F5 ## *N .. T1 LB ## ## U1 V2 T4 S7 E2 I4 ## .. Z4 V3
X7 ## ## *G A5 F2 .. X3 HB M5 T6 L4 .. .. E6 J6 .. .. T3 ..
J2 .. .. ## ## N7 L6 *1 B6 .. .. ## ## O5 .. .. M6 *E ## D3
## P5 *F O4 D5 F4 *Q ## W1 .. V1 *J .. Z3 ## ## *T .. A1 *W
## .. *5 H7 Y1 .. M1 .. .. R5 .. P4 .. .. X2 G3 *3 T2 ## *B
Q2 .. G5 Z2 G7 W9 R3 ## ## U5 .. ## ## H2 B3 .. .. .. X5 ..
E4 ## ## J5 D1 W8 P2 .. *Y ## S8 .. M7 G8 M2 E1 ## ## .. Q5
## T7 H4 .. P7 F3 N6 ## ## B8 O3 Y6 ## ## N8 V5 .. ## *8 ..
## Y5 S5 ## L8 E7 *Z ## Y3 J1 S6 ## ## E5 .. Q3 .. *c X4 LF
.. D6 D4 B4 .. X6 *R *a ## I5 ## .. B5 .. .. G6 E3 V4 .. ##
H5 ## U4 L3 *O K2 Q4 Z6 B9 ## H6 .. V6 ## *2 .. I3 W2 B2 O1
A6 C4 ## L5 L2 ## .. Z1 ## *C .. A2 S3 U2 N4 K4 ## H9 ## G2
.. Q1 *I .. WA H1 .. ## .. HA .. ## Y7 M3 ## ## ## .. ## ..
## ## L7 ## L1 .. LH ## .. R4 D7 LA .. *U P6 ## I6 Z5 F1 R7

Legend:
*0: red-myco-036; red-myco; needs A,P,O,C
*1: red-myco-001; red-myco; needs P,U,Q,Y
*2: red-myco-002; red-myco; needs K,Q,W,S
*3: red-myco-003; red-myco; needs L,W,G,U
*4: red-myco-004; red-myco; needs E,J,Y,K
*5: red-myco-005; red-myco; needs L,A,R,U
*6: red-myco-006; red-myco; needs S,P,U,G
*7: red-myco-007; red-myco; needs N,O,F,X
*8: red-myco-008; red-myco; needs F,K,V,Z
*9: red-myco-009; red-myco; needs K,D,X,O
*A: red-myco-010; red-myco; needs F,P,X,M
*B: red-myco-011; red-myco; needs A,Q,B,E
*C: red-myco-012; red-myco; needs A,C,D,S
*D: red-myco-013; red-myco; needs U,I,D,C
*E: red-myco-014; red-myco; needs T,Q,E,S
*F: red-myco-015; red-myco; needs H,X,J,K
*G: red-myco-016; red-myco; needs Y,V,N,O
*H: red-myco-017; red-myco; needs Z,Y,F,Q
*I: red-myco-018; red-myco; needs Q,W,N,U
*J: red-myco-019; red-myco; needs O,Z,B,N
*K: red-myco-020; red-myco; needs A,P,F,H
*L: red-myco-021; red-myco; needs O,D,P,N
*M: red-myco-022; red-myco; needs Y,F,G,P
*N: red-myco-023; red-myco; needs K,V,G,L
*O: red-myco-024; red-myco; needs M,B,I,U
*P: red-myco-025; red-myco; needs J,Q,C,G
*Q: red-myco-026; red-myco; needs B,T,V,G
*R: red-myco-027; red-myco; needs N,V,X,L
*S: red-myco-028; red-myco; needs J,I,P,L
*T: red-myco-029; red-myco; needs H,F,U,I
*U: red-myco-030; red-myco; needs L,N,E,M
*V: red-myco-031; red-myco; needs Q,I,E,N
*W: red-myco-032; red-myco; needs T,I,E,C
*X: red-myco-033; red-myco; needs J,P,V,Q
*Y: red-myco-034; red-myco; needs M,C,I,B
*Z: red-myco-035; red-myco; needs D,W,Z,T
*a: red-myco-037; red-myco; needs I,U,S,M
*b: red-myco-038; red-myco; needs K,P,I,F
*c: red-myco-039; red-myco; needs Q,J,A,X
A1: cell-a-001; produces A; needs W,S,M
A2: cell-a-002; produces A; needs Q,T,X
A3: cell-a-003; produces A; needs L,N,R
