candidate,won,first_win_tick,best_10_tick_flow,best_10_tick_swaps,total_swaps,total_reactions,sustained_ticks,active_cells,glowing_cells,non_glowing_required_cells,missing_required_resources,non_glowing_cell_ids,final_score,connected_cells,layout_score,diagnostics
0,false,-1,13.50,135,10254,4446,0,16,7,9,0,cell-a-001|cell-d-001|cell-f-001|cell-f-002|cell-g-001|cell-h-001|cell-i-001|cell-l-001|red-myco-002,16008,16,1750976,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-d-001,cell-f-001,cell-f-002,cell-g-001,cell-h-001,cell-i-001,cell-l-001,red-myco-002;missingResources=none;strong=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-g-001,cell-h-001,cell-j-001,cell-k-001,red-myco-001]|[cell-f-001,cell-i-001,cell-k-002,cell-l-001]|[cell-f-002]|[red-myco-002];weak=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-g-001,cell-h-001,cell-j-001,cell-k-001,red-myco-001]|[cell-f-001,cell-i-001,cell-k-002,cell-l-001]|[cell-f-002]|[red-myco-002]"
1,false,-1,16.20,162,11884,5843,0,16,8,8,0,cell-a-001|cell-d-001|cell-f-001|cell-g-001|cell-h-001|cell-i-001|cell-l-001|red-myco-002,32744,16,1796044,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-d-001,cell-f-001,cell-g-001,cell-h-001,cell-i-001,cell-l-001,red-myco-002;missingResources=none;strong=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-g-001,cell-h-001,cell-j-001,cell-k-001,red-myco-001]|[cell-f-001,cell-f-002,cell-i-001,cell-k-002,cell-l-001]|[red-myco-002];weak=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-g-001,cell-h-001,cell-j-001,cell-k-001,red-myco-001]|[cell-f-001,cell-f-002,cell-i-001,cell-k-002,cell-l-001]|[red-myco-002]"
2,false,-1,13.60,136,10297,3817,0,16,6,10,0,cell-a-001|cell-c-001|cell-d-001|cell-f-002|cell-g-001|cell-h-001|cell-i-001|cell-k-002|cell-l-001|red-myco-002,7454,16,1747427,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-c-001,cell-d-001,cell-f-002,cell-g-001,cell-h-001,cell-i-001,cell-k-002,cell-l-001,red-myco-002;missingResources=none;strong=[cell-a-001,cell-b-001,cell-c-001,cell-e-001,cell-g-001,cell-h-001,cell-j-001,cell-k-001,red-myco-001]|[cell-d-001,cell-f-001,cell-f-002,cell-i-001,cell-k-002,cell-l-001]|[red-myco-002];weak=[cell-a-001,cell-b-001,cell-c-001,cell-e-001,cell-g-001,cell-h-001,cell-j-001,cell-k-001,red-myco-001]|[cell-d-001,cell-f-001,cell-f-002,cell-i-001,cell-k-002,cell-l-001]|[red-myco-002]"
3,false,-1,14.00,140,11213,5909,0,16,10,6,0,cell-a-001|cell-c-001|cell-d-001|cell-i-001|cell-j-001|cell-l-001,32563,16,1751425,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-c-001,cell-d-001,cell-i-001,cell-j-001,cell-l-001;missingResources=none;strong=[cell-a-001,cell-b-001,cell-c-001,cell-e-001,cell-g-001,cell-h-001,cell-j-001,cell-k-001,red-myco-001,red-myco-002]|[cell-d-001,cell-f-001,cell-f-002,cell-i-001,cell-k-002,cell-l-001];weak=[cell-a-001,cell-b-001,cell-c-001,cell-e-001,cell-g-001,cell-h-001,cell-j-001,cell-k-001,red-myco-001,red-myco-002]|[cell-d-001,cell-f-001,cell-f-002,cell-i-001,cell-k-002,cell-l-001]"
4,false,-1,15.90,159,11470,4567,0,16,6,10,0,cell-a-001|cell-d-001|cell-f-001|cell-f-002|cell-g-001|cell-h-001|cell-i-001|cell-j-001|cell-l-001|red-myco-002,17414,16,1692116,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-d-001,cell-f-001,cell-f-002,cell-g-001,cell-h-001,cell-i-001,cell-j-001,cell-l-001,red-myco-002;missingResources=none;strong=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-g-001,cell-h-001,cell-j-001,cell-k-001,red-myco-001]|[cell-f-001,cell-f-002,cell-i-001,cell-k-002,cell-l-001]|[red-myco-002];weak=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-g-001,cell-h-001,cell-j-001,cell-k-001,red-myco-001]|[cell-f-001,cell-f-002,cell-i-001,cell-k-002,cell-l-001]|[red-myco-002]"
5,false,-1,13.30,133,9943,4074,0,16,7,9,0,cell-a-001|cell-d-001|cell-f-001|cell-f-002|cell-g-001|cell-h-001|cell-i-001|cell-l-001|red-myco-002,11468,16,1753021,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-d-001,cell-f-001,cell-f-002,cell-g-001,cell-h-001,cell-i-001,cell-l-001,red-myco-002;missingResources=none;strong=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-g-001,cell-h-001,cell-j-001,cell-k-001,red-myco-001]|[cell-f-001,cell-f-002,cell-i-001,cell-k-002,cell-l-001]|[red-myco-002];weak=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-g-001,cell-h-001,cell-j-001,cell-k-001,red-myco-001]|[cell-f-001,cell-f-002,cell-i-001,cell-k-002,cell-l-001]|[red-myco-002]"
6,false,-1,15.00,150,11865,5629,0,16,8,8,0,cell-a-001|cell-d-001|cell-f-001|cell-g-001|cell-h-001|cell-i-001|cell-l-001|red-myco-002,30110,16,1888619,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-d-001,cell-f-001,cell-g-001,cell-h-001,cell-i-001,cell-l-001,red-myco-002;missingResources=none;strong=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-g-001,cell-h-001,cell-j-001,cell-k-001,red-myco-001]|[cell-f-001,cell-f-002,cell-i-001,cell-k-002,cell-l-001]|[red-myco-002];weak=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-g-001,cell-h-001,cell-j-001,cell-k-001,red-myco-001]|[cell-f-001,cell-f-002,cell-i-001,cell-k-002,cell-l-001]|[red-myco-002]"
7,false,-1,16.30,163,12943,7021,0,16,10,6,0,cell-a-001|cell-f-001|cell-g-001|cell-h-001|cell-i-001|red-myco-002,47030,16,1749983,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-f-001,cell-g-001,cell-h-001,cell-i-001,red-myco-002;missingResources=none;strong=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-f-002,cell-g-001,cell-h-001,cell-i-001,cell-j-001,cell-k-001,cell-k-002,cell-l-001,red-myco-001]|[red-myco-002];weak=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-f-002,cell-g-001,cell-h-001,cell-i-001,cell-j-001,cell-k-001,cell-k-002,cell-l-001,red-myco-001]|[red-myco-002]"
8,false,-1,16.70,167,12951,6781,0,16,9,7,0,cell-a-001|cell-f-001|cell-g-001|cell-h-001|cell-i-001|cell-j-001|red-myco-002,43248,16,1736800,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-f-001,cell-g-001,cell-h-001,cell-i-001,cell-j-001,red-myco-002;missingResources=none;strong=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-f-002,cell-g-001,cell-h-001,cell-i-001,cell-j-001,cell-k-001,cell-k-002,cell-l-001,red-myco-001]|[red-myco-002];weak=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-f-002,cell-g-001,cell-h-001,cell-i-001,cell-j-001,cell-k-001,cell-k-002,cell-l-001,red-myco-001]|[red-myco-002]"
9,false,-1,13.90,139,10977,5421,0,16,7,9,0,cell-a-001|cell-c-001|cell-d-001|cell-g-001|cell-h-001|cell-i-001|cell-j-001|cell-l-001|red-myco-002,26707,16,1705237,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-c-001,cell-d-001,cell-g-001,cell-h-001,cell-i-001,cell-j-001,cell-l-001,red-myco-002;missingResources=none;strong=[cell-a-001,cell-b-001,cell-c-001,cell-e-001,cell-g-001,cell-h-001,cell-j-001,cell-k-001,red-myco-001]|[cell-d-001,cell-f-001,cell-f-002,cell-i-001,cell-k-002,cell-l-001]|[red-myco-002];weak=[cell-a-001,cell-b-001,cell-c-001,cell-e-001,cell-g-001,cell-h-001,cell-j-001,cell-k-001,red-myco-001]|[cell-d-001,cell-f-001,cell-f-002,cell-i-001,cell-k-002,cell-l-001]|[red-myco-002]"
10,false,-1,14.50,145,10150,4479,0,16,6,10,0,cell-a-001|cell-d-001|cell-f-001|cell-f-002|cell-g-001|cell-h-001|cell-i-001|cell-j-001|cell-l-001|red-myco-002,16291,16,1638600,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-d-001,cell-f-001,cell-f-002,cell-g-001,cell-h-001,cell-i-001,cell-j-001,cell-l-001,red-myco-002;missingResources=none;strong=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-g-001,cell-h-001,cell-j-001,cell-k-001,red-myco-001]|[cell-f-001,cell-f-002,cell-i-001,cell-k-002,cell-l-001]|[red-myco-002];weak=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-g-001,cell-h-001,cell-j-001,cell-k-001,red-myco-001]|[cell-f-001,cell-f-002,cell-i-001,cell-k-002,cell-l-001]|[red-myco-002]"
